PID,audio,headphones,SDMT
PPT_15,no_audio,S,37
PPT_22,no_audio,H,55
PPT_21,no_audio,H,40
PPT_20,no_audio,H,36
PPT_20,no_audio,H,30
PPT_05,white_noise,S,30
PPT_08,music,S,9
PPT_18,music,H,31
PPT_21,music,H,34
PPT_13,no_audio,S,44
PPT_26,no_audio,H,38
PPT_12,white_noise,S,26
PPT_25,no_audio,H,55
PPT_28,no_audio,H,43
PPT_18,no_audio,H,41
PPT_25,no_audio,H,55
PPT_07,music,S,40
PPT_10,no_audio,S,45
PPT_17,no_audio,H,28
PPT_13,music,S,37
PPT_20,white_noise,H,50
PPT_05,white_noise,S,19
PPT_29,no_audio,H,35
PPT_24,music,H,29
PPT_24,white_noise,H,52
PPT_01,music,S,26
PPT_10,white_noise,S,53
PPT_12,white_noise,S,29
PPT_29,white_noise,H,24
PPT_09,no_audio,S,39
PPT_26,music,H,19
PPT_06,white_noise,S,37
PPT_22,no_audio,H,44
PPT_20,music,H,25
PPT_03,no_audio,S,36
PPT_06,white_noise,S,36
PPT_13,music,S,40
PPT_05,music,S,29
PPT_04,no_audio,S,31
PPT_13,white_noise,S,47
PPT_28,music,H,43
PPT_06,music,S,41
PPT_09,no_audio,S,27
PPT_08,no_audio,S,37
PPT_13,no_audio,S,47
PPT_16,music,H,52
PPT_12,no_audio,S,29
PPT_05,no_audio,S,30
PPT_04,white_noise,S,23
PPT_11,no_audio,S,22
PPT_29,music,H,16
PPT_15,music,S,27
PPT_29,no_audio,H,37
PPT_12,music,S,13
PPT_22,no_audio,H,45
PPT_23,white_noise,H,44
PPT_30,white_noise,H,54
PPT_02,music,S,18
PPT_17,no_audio,H,33
PPT_26,white_noise,H,28
PPT_12,no_audio,S,21
PPT_25,white_noise,H,50
PPT_12,no_audio,S,19
PPT_11,music,S,17
PPT_01,white_noise,S,36
PPT_10,no_audio,S,42
PPT_16,white_noise,H,42
PPT_30,no_audio,H,43
PPT_09,music,S,28
PPT_14,no_audio,S,17
PPT_01,white_noise,S,28
PPT_17,white_noise,H,44
PPT_04,no_audio,S,21
PPT_21,no_audio,H,42
PPT_23,no_audio,H,28
PPT_28,white_noise,H,59
PPT_01,white_noise,S,44
PPT_03,white_noise,S,28
PPT_21,no_audio,H,33
PPT_21,white_noise,H,57
PPT_22,music,H,34
PPT_01,no_audio,S,35
PPT_06,no_audio,S,34
PPT_03,music,S,30
PPT_03,no_audio,S,29
PPT_06,white_noise,S,25
PPT_05,music,S,24
PPT_19,white_noise,H,60
PPT_14,white_noise,S,21
PPT_06,music,S,23
PPT_20,white_noise,H,46
PPT_07,white_noise,S,38
PPT_10,no_audio,S,38
PPT_13,music,S,42
PPT_18,white_noise,H,51
PPT_17,music,H,10
PPT_02,no_audio,S,22
PPT_14,music,S,13
PPT_17,music,H,10
PPT_25,white_noise,H,53
PPT_10,white_noise,S,40
PPT_14,white_noise,S,23
PPT_12,white_noise,S,21
PPT_25,white_noise,H,55
PPT_02,no_audio,S,19
PPT_10,white_noise,S,42
PPT_06,music,S,32
PPT_04,no_audio,S,38
PPT_26,white_noise,H,44
PPT_19,white_noise,H,60
PPT_10,music,S,29
PPT_02,no_audio,S,23
PPT_28,music,H,31
PPT_30,white_noise,H,63
PPT_30,no_audio,H,47
PPT_04,music,S,19
PPT_21,no_audio,H,42
PPT_17,music,H,14
PPT_23,no_audio,H,36
PPT_15,no_audio,S,36
PPT_11,music,S,15
PPT_28,white_noise,H,60
PPT_15,music,S,31
PPT_19,no_audio,H,43
PPT_24,no_audio,H,52
PPT_22,white_noise,H,54
PPT_09,white_noise,S,37
PPT_30,music,H,26
PPT_10,music,S,38
PPT_06,no_audio,S,30
PPT_26,white_noise,H,43
PPT_15,white_noise,S,38
PPT_01,no_audio,S,35
PPT_08,white_noise,S,34
PPT_18,music,H,17
PPT_11,music,S,11
PPT_12,music,S,14
PPT_25,music,H,30
PPT_10,no_audio,S,47
PPT_19,no_audio,H,48
PPT_16,white_noise,H,48
PPT_26,no_audio,H,42
PPT_14,white_noise,S,20
PPT_16,music,H,47
PPT_09,no_audio,S,41
PPT_17,white_noise,H,36
PPT_29,no_audio,H,17
PPT_01,no_audio,S,49
PPT_20,white_noise,H,49
PPT_19,music,H,38
PPT_06,white_noise,S,30
PPT_15,no_audio,S,37
PPT_11,no_audio,S,32
PPT_08,music,S,17
PPT_23,white_noise,H,48
PPT_10,music,S,40
PPT_18,music,H,28
PPT_14,no_audio,S,10
PPT_06,music,S,23
PPT_21,no_audio,H,38
PPT_08,white_noise,S,40
PPT_11,white_noise,S,24
PPT_08,white_noise,S,36
PPT_26,white_noise,H,25
PPT_22,white_noise,H,58
PPT_09,music,S,37
PPT_30,no_audio,H,41
PPT_24,music,H,30
PPT_03,white_noise,S,36
PPT_18,music,H,23
PPT_10,no_audio,S,40
PPT_09,music,S,17
PPT_14,music,S,12
PPT_14,no_audio,S,15
PPT_09,white_noise,S,42
PPT_09,music,S,31
PPT_11,white_noise,S,37
PPT_13,white_noise,S,27
PPT_02,white_noise,S,27
PPT_13,white_noise,S,45
PPT_02,no_audio,S,27
PPT_02,white_noise,S,30
PPT_13,no_audio,S,38
PPT_28,white_noise,H,59
PPT_21,music,H,23
PPT_27,music,H,20
PPT_17,white_noise,H,47
PPT_07,white_noise,S,34
PPT_25,no_audio,H,48
PPT_11,no_audio,S,34
PPT_16,music,H,50
PPT_07,music,S,23
PPT_08,no_audio,S,43
PPT_23,music,H,26
PPT_30,music,H,21
PPT_22,music,H,32
PPT_21,white_noise,H,59
PPT_09,white_noise,S,38
PPT_14,no_audio,S,20
PPT_28,no_audio,H,34
PPT_19,music,H,39
PPT_08,no_audio,S,36
PPT_12,no_audio,S,27
PPT_19,music,H,48
PPT_03,white_noise,S,32
PPT_04,white_noise,S,34
PPT_24,no_audio,H,38
PPT_21,white_noise,H,38
PPT_17,music,H,13
PPT_27,music,H,20
