ppt,slength,condition,correct
sub_1,9,static,0
sub_1,8,static,0
sub_1,10,tap,1
sub_1,8,static,1
sub_1,8,static,1
sub_1,3,tap,1
sub_1,10,static,0
sub_1,6,tap,1
sub_1,12,tap,0
sub_1,7,tap,0
sub_2,3,static,1
sub_2,6,static,0
sub_2,8,static,0
sub_2,11,static,1
sub_2,3,tap,0
sub_2,8,static,0
sub_2,7,tap,1
sub_2,3,tap,0
sub_2,9,tap,0
sub_2,4,tap,0
sub_3,9,tap,1
sub_3,6,tap,1
sub_3,5,static,1
sub_3,7,tap,1
sub_3,10,static,0
sub_3,9,static,0
sub_3,4,tap,1
sub_3,8,tap,1
sub_3,8,static,1
sub_3,9,static,1
sub_4,13,static,0
sub_4,11,static,0
sub_4,5,static,0
sub_4,9,tap,0
sub_4,7,static,1
sub_4,5,tap,0
sub_4,8,tap,1
sub_4,4,tap,0
sub_4,6,static,0
sub_4,9,tap,1
sub_5,3,static,1
sub_5,5,tap,1
sub_5,14,tap,1
sub_5,4,tap,0
sub_5,6,static,0
sub_5,5,static,0
sub_5,6,static,1
sub_5,5,tap,1
sub_5,9,tap,1
sub_5,14,static,0
sub_6,13,tap,0
sub_6,5,static,1
sub_6,9,static,0
sub_6,5,tap,0
sub_6,6,static,0
sub_6,5,static,1
sub_6,3,static,0
sub_6,5,tap,1
sub_6,10,tap,1
sub_6,7,tap,0
sub_7,4,static,0
sub_7,9,static,0
sub_7,7,tap,1
sub_7,7,tap,0
sub_7,5,static,0
sub_7,10,tap,0
sub_7,5,static,1
sub_7,6,tap,0
sub_7,8,tap,1
sub_7,9,static,0
sub_8,5,tap,0
sub_8,8,tap,1
sub_8,7,static,0
sub_8,5,static,0
sub_8,4,tap,0
sub_8,6,tap,0
sub_8,11,static,0
sub_8,7,tap,0
sub_8,11,static,0
sub_8,8,static,0
sub_9,7,static,0
sub_9,7,tap,0
sub_9,6,static,0
sub_9,9,tap,0
sub_9,8,tap,1
sub_9,9,tap,0
sub_9,6,static,1
sub_9,3,tap,1
sub_9,9,static,1
sub_9,9,static,1
sub_10,4,static,1
sub_10,7,tap,1
sub_10,4,static,1
sub_10,11,static,1
sub_10,11,tap,0
sub_10,7,tap,1
sub_10,4,static,1
sub_10,6,tap,0
sub_10,8,static,1
sub_10,9,tap,1
sub_11,9,static,1
sub_11,9,static,0
sub_11,1,tap,1
sub_11,11,tap,1
sub_11,7,static,1
sub_11,9,tap,1
sub_11,6,tap,1
sub_11,5,tap,1
sub_11,6,static,0
sub_11,4,static,0
sub_12,7,static,0
sub_12,6,tap,1
sub_12,5,static,1
sub_12,7,tap,1
sub_12,10,tap,0
sub_12,5,static,1
sub_12,5,static,0
sub_12,4,tap,0
sub_12,5,tap,0
sub_12,8,static,1
