angle_degrees,rt_ms
69.23076923076923,882.99
3.0769230769230766,541.6
164.61538461538464,1618.78
153.84615384615384,1458.74
63.07692307692307,973.34
21.53846153846154,627.8
58.46153846153847,790.19
179.99999999999997,2626.9
181.53846153846152,1665.14
166.15384615384616,1940.05
172.30769230769232,1831
160,1520.01
67.69230769230768,836.34
53.84615384615385,679.77
96.92307692307692,1012.78
158.46153846153845,1974.35
76.92307692307692,961.52
175.38461538461536,1763.86
155.3846153846154,2283.08
173.84615384615384,1891.97
129.23076923076923,1650.59
81.53846153846153,1277.15
130.76923076923077,1349.07
64.61538461538461,703.48
40,592.42
35.38461538461539,718.44
110.76923076923076,1347.37
76.92307692307692,1004.32
98.46153846153845,1330.13
12.307692307692307,735.77
87.69230769230768,902.98
24.615384615384613,583.4
150.76923076923077,1671.81
90.76923076923076,1445.99
76.92307692307692,965.41
175.38461538461536,1841.24
20,847.57
192.3076923076923,2023.16
144.6153846153846,1617.94
189.23076923076923,1968.12
200,508
156.92307692307693,1982.31
138.46153846153845,1366.65
126.15384615384615,1468.55
143.07692307692307,1386.45
36.92307692307692,581.15
153.84615384615384,1563.92
87.69230769230768,1044.57
41.53846153846154,1080.84
73.84615384615384,858.69
113.84615384615384,1303.99
4.615384615384615,483.04
155.3846153846154,1394.1
81.53846153846153,994.92
95.38461538461537,1040.21
29.230769230769234,686.88
40,924.85
106.15384615384613,1490.99
52.307692307692314,765.34
49.230769230769226,813.87
143.07692307692307,1155.27
53.84615384615385,870.9
53,1532
167.6923076923077,2193.82
75.38461538461539,973.37
95.38461538461537,1001.44
130.76923076923077,1525.21
24.615384615384613,620.02
100,1158.88
81.53846153846153,1032.9
155.3846153846154,1487.93
141.53846153846155,1432.42
183.07692307692307,1812.17
127.69230769230768,1061.45
66.15384615384615,809.78
120,1266.5
95.38461538461537,994.39
136.92307692307693,1610.04
103.0769230769231,1318.9
12.307692307692307,604.36
67.69230769230768,825.92
132.3076923076923,1489.92
178.46153846153845,2149.16
80,1063.38
133.84615384615384,1494.22
92.3076923076923,1324.63
198.46153846153845,2760.5
43.07692307692308,684.94
172.30769230769232,1863.05
78.46153846153847,966.1
16.92307692307692,685.58
66.15384615384615,869.07
146.15384615384613,1287.27
187.69230769230768,2209.84
95.38461538461537,1075.08
47.692307692307686,590.15
132.3076923076923,1202.58
158.46153846153845,1830.42
49.230769230769226,720.74
13.846153846153845,564.99
