apeID,age,species,HiP,timepoint
Darren,13,chimp,8.92,1
Darren,16,chimp,10.6,2
Darren,19,chimp,7.96,3
Darren,22,chimp,8.92,4
Darren,25,chimp,9.88,5
Darren,28,chimp,9.4,6
Darren,31,chimp,9.16,7
Darren,34,chimp,8.44,8
Darren,37,chimp,9.4,9
Darren,40,chimp,10.6,10
Arron,13,chimp,7.24,1
Arron,16,chimp,7.24,2
Arron,19,chimp,9.4,3
Arron,22,chimp,8.2,4
Arron,25,chimp,8.68,5
Arron,28,chimp,6.76,6
Arron,31,chimp,7.72,7
Arron,34,chimp,8.2,8
Arron,37,chimp,8.92,9
Arron,40,chimp,8.44,10
Kenneth,13,chimp,7.24,1
Kenneth,16,chimp,7.72,2
Kenneth,19,chimp,8.44,3
Kenneth,22,chimp,8.44,4
Kenneth,25,chimp,6.52,5
Kenneth,28,chimp,6.04,6
Kenneth,31,chimp,9.16,7
Kenneth,34,chimp,8.2,8
Kenneth,37,chimp,7.72,9
Kenneth,40,chimp,7.48,10
Andres,13,chimp,7.48,1
Andres,16,chimp,8.44,2
Andres,19,chimp,8.44,3
Andres,22,chimp,8.68,4
Andres,25,chimp,8.92,5
Andres,28,chimp,10.12,6
Andres,31,chimp,11.56,7
Andres,34,chimp,9.4,8
Andres,37,chimp,9.4,9
Andres,40,chimp,8.68,10
Jahira,13,chimp,4.84,1
Jahira,16,chimp,7.96,2
Jahira,19,chimp,4.36,3
Jahira,22,chimp,5.32,4
Jahira,25,chimp,6.28,5
Jahira,28,chimp,7.48,6
Jahira,31,chimp,8.68,7
Jahira,34,chimp,6.76,8
Jahira,37,chimp,6.28,9
Jahira,40,chimp,7,10
Yoona,13,orangutan,3.88,1
Yoona,16,orangutan,6.04,2
Yoona,19,orangutan,4.84,3
Yoona,22,orangutan,5.08,4
Yoona,25,orangutan,5.8,5
Yoona,28,orangutan,5.32,6
Yoona,31,orangutan,6.28,7
Yoona,34,orangutan,7,8
Yoona,37,orangutan,5.08,9
Yoona,40,orangutan,6.04,10
Nawaar,13,chimp,9.64,1
Nawaar,16,chimp,7.48,2
Nawaar,19,chimp,8.92,3
Nawaar,22,chimp,10.12,4
Nawaar,25,chimp,6.52,5
Nawaar,28,chimp,8.68,6
Nawaar,31,chimp,8.92,7
Nawaar,34,chimp,10.84,8
Nawaar,37,chimp,8.2,9
Nawaar,40,chimp,10.36,10
Wade,13,orangutan,12.04,1
Wade,16,orangutan,12.04,2
Wade,19,orangutan,14.44,3
Wade,22,orangutan,10.84,4
Wade,25,orangutan,13.24,5
Wade,28,orangutan,13,6
Wade,31,orangutan,13.24,7
Wade,34,orangutan,11.56,8
Wade,37,orangutan,9.64,9
Wade,40,orangutan,10.12,10
Prerit,13,chimp,8.2,1
Prerit,16,chimp,6.04,2
Prerit,19,chimp,6.04,3
Prerit,22,chimp,5.32,4
Prerit,25,chimp,5.8,5
Prerit,28,chimp,5.32,6
Prerit,31,chimp,6.28,7
Prerit,34,chimp,6.04,8
Prerit,37,chimp,5.08,9
Prerit,40,chimp,9.16,10
Jemal,13,orangutan,8.92,1
Jemal,16,orangutan,8.2,2
Jemal,19,orangutan,7.96,3
Jemal,22,orangutan,8.2,4
Jemal,25,orangutan,9.4,5
Jemal,28,orangutan,7.24,6
Jemal,31,orangutan,9.4,7
Jemal,34,orangutan,8.68,8
Jemal,37,orangutan,8.68,9
Jemal,40,orangutan,8.68,10
Christopher,13,chimp,5.56,1
Christopher,16,chimp,4.84,2
Christopher,19,chimp,6.04,3
Christopher,22,chimp,6.28,4
Christopher,25,chimp,7.72,5
Christopher,28,chimp,5.08,6
Christopher,31,chimp,6.52,7
Christopher,34,chimp,4.36,8
Christopher,37,chimp,5.56,9
Christopher,40,chimp,7,10
Zahra,13,chimp,7,1
Zahra,16,chimp,7.48,2
Zahra,19,chimp,7.24,3
Zahra,22,chimp,7,4
Zahra,25,chimp,7,5
Zahra,28,chimp,5.32,6
Zahra,31,chimp,6.76,7
Zahra,34,chimp,7.72,8
Zahra,37,chimp,8.68,9
Zahra,40,chimp,6.52,10
Andrew,13,orangutan,12.76,1
Andrew,16,orangutan,13.96,2
Andrew,19,orangutan,13.24,3
Andrew,22,orangutan,12.76,4
Andrew,25,orangutan,13.72,5
Andrew,28,orangutan,13.72,6
Andrew,31,orangutan,12.04,7
Andrew,34,orangutan,12.76,8
Andrew,37,orangutan,13.96,9
Andrew,40,orangutan,13,10
Natane,13,chimp,9.4,1
Natane,16,chimp,10.12,2
Natane,19,chimp,9.4,3
Natane,22,chimp,11.32,4
Natane,25,chimp,9.4,5
Natane,28,chimp,11.08,6
Natane,31,chimp,10.12,7
Natane,34,chimp,10.36,8
Natane,37,chimp,11.08,9
