name,age,exploration_time
Ed Sheeran,8,13.1
Vince Gill,17,6.8
Jewel,13,12.8
Jaden Smith,18,8.9
Reba McEntire,16,1.1
Metallica,13,5.7
JoJo,11,3.6
Cole Swindell,21,8.9
Alejandro Fernández,3,5.6
Kid Rock,4,5.2
Maroon 5,11,12.3
BLACKBEAR,19,1.3
Little Big Town,11,3.7
Gary Allan,21,5.4
Meghan Trainor,3,0.4
Shakira,16,6.9
Panic! At the Disco,10,6.1
Randy Owen,8,12.3
Merle Haggard,11,12.8
Brothers Osborne,20,11.5
James Bay,19,0.5
Kelsea Ballerini,14,9.3
Ray Charles,5,10.4
Dan + Shay,10,11.6
Mariah Carey,15,7.5
Jamey Johnson,15,9.6
Josh Turner,14,10.5
Sean Paul,11,8
John Legend,11,9.1
Selena Gomez,7,13.3
George Strait,2,7
Brantley Gilbert,7,10
Luciano Pavarotti,11,13.6
Ariana Grande,18,5
The Oak Ridge Boys,19,3.9
Eminem,2,17.9
Trace Adkins,10,12.2
Dr. Dre,1,12.7
Mumford & Sons,7,12.6
Katy Perry,19,8.7
Gwen Stefani,4,12.8
Marvin Gaye,9,8.5
Akon,15,4.8
Dustin Lynch,19,7.6
Justin Timberlake,17,4.2
Kenny Chesney,9,4.6
Backstreet Boys,12,10.7
Ja Rule,18,2.6
A$AP Rocky,19,9
Wiz Khalifa,11,19.5
Justin Bieber,10,8.7
Britney Spears,14,9.5
The Pussycat Dolls,3,6.1
Rascal Flatts,13,11.7
Lil Wayne,20,12.6
Whitney Houston,23,10.1
Lil Fizz,5,33.1
Joe Jonas,18,10
Lady Antebellum,11,14
The XX,24,9.4
Kip Moore,15,11.3
Mason Noise,15,5.3
Rita Ora,17,7.6
Enrique Iglesias,22,8.3
Krystal Keith,22,8.8
Alan Jackson,17,12.3
Aaliyah,16,7
Jason Aldean,15,8.8
Ed Roman,17,6.3
Zedd,21,7.8
Justin Moore,11,12.3
Fall Out Boy,22,6.6
Travis Tritt,14,7.4
Gretchen Wilson,10,7.5
TLC,23,14.1
Brian Collins,22,9.7
Toby Keith,19,12.7
Darius Rucker,7,17.8
Canaan Smith,24,3.9
Barbra Streisand,17,9.5
Tim McGraw,19,13.1
Taylor Swift,8,10.9
Brooks & Dunn,23,9.5
Drake,10,17.3
Avenged Sevenfold,24,5.1
Florida Georgia Line,11,10.8
Jennifer Lopez,22,0
Conway Twitty,8,8.9
YonnieMcfly,9,6.5
Danielle Bradbery,15,8.4
Elle King,7,12.1
One Direction,15,9.6
Cher Lloyd,10,6.9
Tyga,8,8.7
Guns N' Roses,20,12.5
Charli XCX,8,16.5
Disclosure,17,8.4
Brett Eldredge,13,5.4
Alessia Cara,6,11
2Pac,14,16.7
Kanye West,8,12.6
Lady Gaga,16,8.7
The Vamps,13,11.5
SayWeCanFly,14,12.3
Meek Mill,6,14.2
Pitbull,19,9.7
Martina McBride,24,7.6
Zac Brown Band,5,7.6
