"ID","Dep1","Dep2","Dep3","Dep4","Dep5","Dep6","Avail1","Avail2","Avail3","Avail4","CAnx1","CAnx2","CAnx3","CAnx4","CDep1","CDep2","CDep3","CDep4"
1,2,2,2,1,2,2,2,3,3,2,2,3,3,3,2,3,2,2
2,4,4,4,3,4,3,3,3,3,4,4,4,3,4,3,5,4,5
3,3,4,3,5,4,2,3,5,4,4,4,4,3,3,4,3,4,5
4,3,3,4,3,3,2,2,2,3,3,2,2,3,3,2,3,3,2
5,2,2,3,3,3,3,4,5,5,4,3,3,4,3,4,4,3,4
6,2,2,3,3,3,1,4,3,2,3,2,2,2,2,3,4,2,2
7,4,4,5,4,3,4,4,4,4,3,3,3,4,4,3,4,2,4
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,5,4,3,4
9,3,4,3,3,3,4,2,4,4,4,3,3,4,1,3,2,2,3
10,3,3,3,3,4,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
11,4,3,4,4,4,3,4,3,4,3,4,3,3,3,2,4,4,4
12,3,3,3,2,3,4,4,4,4,3,3,3,3,4,3,4,3,4
13,3,3,3,3,3,3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA
14,3,4,3,3,4,4,3,3,3,3,4,3,4,4,4,4,3,2
15,3,3,4,3,4,4,3,2,3,3,4,3,3,4,4,4,5,3
16,3,3,3,4,3,3,3,2,2,3,3,3,3,3,4,2,4,3
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,5,4,4,5
18,3,2,2,3,2,3,3,4,3,2,3,4,3,4,2,2,2,4
19,3,2,4,3,3,3,2,3,4,3,3,3,3,3,5,4,3,3
20,3,3,3,3,3,2,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,3,4,3,4
22,3,4,4,5,5,3,3,4,3,2,5,4,3,4,3,3,4,3
23,3,3,4,4,5,4,3,4,3,4,2,3,4,3,3,3,3,3
24,2,1,1,2,2,2,3,4,3,3,3,2,1,2,1,1,2,1
25,3,3,4,4,4,2,2,3,3,4,4,3,4,3,4,4,4,2
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,4,4,4,5
27,3,4,4,5,3,4,2,3,3,1,4,3,4,4,2,2,4,3
28,2,2,3,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3
29,4,3,4,5,3,5,3,3,4,3,4,3,3,3,2,4,4,3
30,2,2,2,2,4,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
31,4,3,3,4,3,3,1,3,3,2,4,3,2,3,2,3,2,2
32,2,3,2,2,1,2,4,3,4,3,3,2,3,3,2,4,1,1
33,2,3,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
34,3,1,3,3,1,2,1,1,1,2,3,3,2,3,3,2,3,3
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,4,3,4
36,4,2,3,4,3,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
37,3,3,3,5,3,3,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA
38,4,3,3,4,4,3,1,2,2,3,3,3,3,2,3,4,4,3
39,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,4,3,1
40,3,3,3,3,3,4,3,4,4,4,3,3,4,4,3,3,2,3
41,4,3,4,3,4,3,4,4,4,2,4,4,3,4,4,4,5,4
42,3,3,3,3,3,3,2,1,2,2,3,3,2,3,4,3,3,3
43,2,2,3,4,3,4,3,3,4,3,2,2,2,1,3,3,3,3
44,1,2,3,3,3,3,3,3,3,4,3,4,3,3,3,4,4,3
45,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4
46,3,4,4,5,3,4,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA
47,4,5,4,5,5,5,4,3,3,2,4,5,4,5,4,4,4,4
48,3,4,3,4,3,3,3,5,3,3,4,3,2,4,4,2,3,4
49,2,3,3,4,2,3,2,3,4,3,3,2,2,2,3,3,3,4
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,4,3
51,4,2,4,4,4,3,2,2,2,3,4,4,3,2,2,2,3,2
52,3,3,5,4,4,4,3,3,4,3,4,4,3,3,4,5,4,5
53,2,1,3,3,3,1,1,3,2,2,3,2,2,2,2,2,2,1
54,4,2,4,5,4,4,3,4,4,2,3,2,2,3,3,4,4,3
55,3,2,4,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
56,2,2,3,3,3,1,4,3,4,3,2,2,2,2,3,3,3,4
57,3,3,3,3,2,2,2,3,3,3,2,3,4,3,2,3,3,4
58,2,2,4,3,2,2,2,3,3,2,2,3,2,2,2,3,2,3
59,4,3,4,4,3,3,4,4,3,2,2,3,2,2,4,3,3,3
60,2,2,2,3,2,3,3,3,3,3,3,3,1,3,2,4,3,3
61,3,2,4,4,3,3,3,4,4,4,5,3,4,4,4,5,4,4
62,2,3,3,2,3,4,2,3,3,3,1,1,1,1,2,2,2,2
63,3,2,5,4,3,2,2,2,2,3,4,3,1,3,3,3,3,4
64,5,3,4,4,3,4,3,5,4,3,3,2,4,3,3,4,4,4
65,3,3,3,4,4,4,2,3,3,2,3,3,3,2,3,4,3,4
66,4,3,4,3,2,4,3,3,2,2,4,3,3,3,3,4,4,3
67,2,1,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,3
68,3,3,3,3,3,3,3,3,3,4,2,2,3,2,3,4,3,4
69,3,3,5,4,4,3,4,4,4,4,3,3,4,3,3,4,2,3
70,3,2,4,4,3,2,1,3,2,3,2,3,2,3,3,4,3,2
