"PS1","PS2","PS3","PS4","PS5","PS6","FA1","FA2","FA3","FA4","CAnx1","CAnx2","CAnx3","CAnx4","CDep1","CDep2","CDep3","CDep4","ID"
3,2,3,3,3,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1
4,4,3,4,4,4,3,3,3,3,3,3,2,2,3,4,3,3,2
3,3,3,2,3,3,4,3,2,3,3,3,2,2,3,2,2,3,3
4,3,4,3,3,2,3,3,4,2,3,3,3,2,2,2,3,3,4
2,3,3,1,3,3,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,5
4,2,2,2,2,1,4,5,5,5,1,1,1,1,1,2,1,2,6
2,2,3,2,3,3,3,4,4,3,3,2,3,3,2,2,2,3,7
4,4,4,4,2,4,4,4,3,3,4,3,4,4,4,3,3,4,8
3,5,3,4,3,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,9
4,4,5,4,4,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,10
3,4,2,3,2,3,3,2,4,3,3,3,3,2,4,4,3,3,11
3,2,3,4,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,12
3,4,4,3,3,3,4,2,1,2,5,4,4,4,4,4,4,3,13
2,3,2,1,3,2,3,4,3,3,3,3,3,3,2,1,2,2,14
2,4,3,3,3,3,5,3,3,2,2,3,3,4,3,3,2,3,15
3,3,3,4,3,3,4,4,4,2,3,3,3,3,3,3,4,3,16
1,3,3,3,2,2,4,4,4,3,3,3,4,3,3,3,4,2,17
2,1,2,4,3,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,18
1,2,2,1,2,1,3,4,4,3,2,2,3,1,3,2,3,2,19
3,3,3,3,3,2,3,3,4,4,3,2,4,4,3,3,3,3,20
4,3,4,4,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,21
3,4,4,4,4,2,3,3,3,4,4,3,4,3,3,3,1,3,22
2,4,3,2,2,1,2,3,2,2,2,2,3,3,3,2,4,3,23
2,4,3,3,3,1,3,2,3,3,4,4,4,2,2,3,3,3,24
1,2,2,1,1,2,4,5,5,3,4,2,4,2,3,1,2,2,25
4,4,4,4,4,5,2,3,3,3,4,5,5,5,4,4,5,5,26
3,3,2,3,3,2,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,27
4,4,2,3,2,3,3,3,3,2,5,3,5,4,4,4,4,4,28
1,2,2,2,3,2,3,2,2,2,4,4,4,4,4,4,4,4,29
3,3,3,4,5,2,2,3,3,3,4,3,4,3,4,4,2,3,30
4,3,4,4,2,2,3,3,3,3,3,3,4,3,4,3,4,5,31
1,3,3,2,3,2,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,32
4,4,4,4,3,3,2,4,3,3,4,3,4,3,3,4,2,3,33
3,2,2,2,2,1,3,3,3,4,3,4,4,3,3,3,2,2,34
3,3,3,2,4,3,3,3,3,3,3,3,4,3,2,3,3,4,35
4,4,4,4,4,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,36
3,4,4,3,4,3,3,3,3,4,4,3,4,4,3,3,3,3,37
2,1,2,2,1,2,4,4,4,2,2,2,3,3,2,2,2,3,38
3,4,3,4,1,3,3,3,3,2,2,2,2,1,2,2,2,3,39
2,3,2,2,2,2,5,3,3,4,3,3,3,2,2,2,2,2,40
3,3,4,3,3,3,2,2,3,3,2,3,3,3,2,3,3,4,41
5,4,3,2,3,4,3,3,3,2,4,4,4,4,3,4,5,5,42
2,3,3,2,2,2,3,3,4,2,3,3,3,3,3,3,2,2,43
3,2,2,5,4,3,3,1,2,3,5,5,5,5,4,5,4,5,44
2,3,2,2,3,2,3,3,3,1,3,3,4,4,3,1,2,3,45
4,3,4,3,4,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,46
3,4,2,3,2,3,3,3,4,2,4,3,4,3,2,3,3,3,47
3,3,3,3,2,2,4,2,3,3,3,3,2,3,3,3,3,3,48
1,2,4,2,2,4,5,5,5,5,3,2,3,2,2,2,1,3,49
4,3,3,4,3,3,3,2,3,3,4,4,4,4,4,4,4,5,50
4,3,4,3,3,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,51
2,2,4,3,2,3,2,3,3,2,4,4,3,4,3,5,3,3,52
2,4,3,3,3,3,3,3,4,3,2,3,4,3,4,4,3,3,53
3,3,3,4,4,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,54
3,4,3,2,3,2,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,55
2,3,3,2,3,1,4,3,3,3,3,2,3,3,3,2,2,3,56
2,3,3,2,2,1,4,4,4,4,3,3,2,1,3,3,3,3,57
3,4,4,3,2,3,3,2,2,3,3,3,4,2,3,4,2,4,58
2,2,2,2,3,2,5,5,5,4,1,1,2,2,2,1,2,2,59
3,4,3,3,4,2,3,4,2,2,4,3,4,3,4,3,5,4,60
1,2,2,2,2,2,4,4,4,4,2,3,1,2,2,3,2,1,61
3,4,4,4,3,3,3,3,3,3,5,4,5,4,4,4,4,4,62
3,4,3,2,3,3,3,3,3,4,4,4,4,4,4,3,3,3,63
3,3,3,3,2,3,5,5,4,2,3,2,3,4,2,2,3,3,64
2,2,1,2,3,2,3,3,4,3,2,3,3,4,2,2,2,2,65
2,3,3,2,3,2,5,4,2,3,3,2,3,2,2,2,2,2,66
1,2,2,1,2,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,67
3,4,4,3,4,3,2,3,3,2,4,4,5,5,4,5,4,4,68
3,3,3,2,3,3,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,69
3,4,4,3,3,1,3,3,3,3,3,3,2,3,3,2,3,3,70
4,4,4,4,2,3,3,4,5,3,3,4,4,3,3,3,3,2,71
3,2,2,1,1,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,72
2,3,2,4,2,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,73
3,4,4,2,3,3,3,3,3,4,4,4,4,3,4,4,3,3,74
4,3,5,3,4,3,2,2,2,2,4,4,2,3,4,3,3,3,75
3,2,3,3,2,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,76
3,4,5,5,3,3,2,1,3,2,4,3,4,2,4,4,3,3,77
3,3,3,3,2,2,4,3,2,3,3,2,3,2,3,1,3,2,78
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
2,3,5,3,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,80
3,4,4,4,3,2,4,5,5,4,2,3,3,3,3,3,3,2,81
3,4,3,4,4,3,3,2,2,3,5,4,5,3,4,3,3,4,82
3,4,3,4,3,4,2,2,2,4,5,4,5,4,4,5,4,5,83
4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,2,4,84
2,3,3,1,3,3,3,4,4,3,3,2,3,2,2,1,2,2,85
3,3,3,2,3,3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,86
3,3,4,2,3,3,4,4,3,4,2,3,2,2,4,2,3,5,87
3,3,3,3,3,3,3,3,4,3,2,2,3,2,2,3,2,3,88
4,4,3,3,3,3,3,3,4,1,3,3,3,4,4,4,3,5,89
3,2,3,4,2,2,2,1,1,2,3,3,5,3,4,5,4,4,90
4,4,5,3,4,4,2,3,1,3,2,4,4,4,3,3,4,2,91
3,4,4,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,92
2,2,3,3,2,3,3,2,3,2,3,3,3,2,4,3,4,3,93
3,4,4,3,3,4,2,2,2,2,4,3,4,3,4,3,3,4,94
4,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,95
2,3,2,3,3,4,3,3,1,2,5,4,5,4,3,4,4,4,96
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
4,2,4,3,4,3,3,2,3,2,3,3,3,2,3,3,3,2,98
2,3,2,2,2,3,4,3,3,3,3,2,4,2,3,3,2,2,99
2,3,3,1,2,1,4,4,4,3,4,3,3,3,2,3,3,3,100
2,3,2,2,2,2,2,2,2,2,4,3,4,4,4,3,3,3,101
1,3,4,3,3,3,4,2,2,1,4,3,4,3,3,4,3,4,102
2,2,2,2,3,2,3,3,3,4,2,2,2,1,3,2,1,2,103
3,4,5,4,3,5,2,1,2,2,5,4,5,5,5,4,4,4,104
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,3,4,3,105
2,2,2,3,2,2,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,106
2,2,2,3,3,2,2,3,2,2,4,4,3,3,3,3,3,3,107
3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,108
2,2,2,2,3,3,4,3,4,5,2,2,3,1,2,2,2,2,109
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,4,3,4,110
2,3,3,3,2,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,111
3,2,2,2,2,2,4,4,3,4,2,3,3,2,2,3,2,3,112
3,5,4,3,3,3,4,2,3,2,5,4,4,4,4,4,5,5,113
3,4,3,3,3,3,3,3,2,3,4,3,4,4,5,4,4,3,114
