PID,educ,neuro,O,C,E,A,N,acc_rate
ppt1,ND,Pic,0.001,-0.191,-1.792,1.644,-0.132,75
ppt2,PG,Desc,-1.253,-1.044,1.006,0.751,0.446,43
ppt3,UG,Desc,0.06,1.074,-1.158,-0.042,-1.591,47
ppt4,UG,Pic,-0.619,0.593,-1.123,-2.997,-1.336,47
ppt5,PG,Desc,0.561,-1.373,1.087,0.742,-0.168,29
ppt6,ND,Pic,0.594,1.578,0.69,0.661,-3.213,80
ppt7,ND,Desc,-0.612,1.497,-0.135,0.986,-0.962,69
ppt8,PG,Pic,0.27,-0.77,-0.178,-0.959,1.231,49
ppt9,UG,None,0.558,0.612,-0.703,-1.033,1.246,35
ppt10,PG,Desc,0.263,-0.873,-1.113,-0.006,0.59,44
ppt11,ND,Desc,1.98,0.456,0.768,1.399,1.154,66
ppt12,ND,Pic,0.37,-1.919,-0.32,-2.088,-1.208,82
ppt13,PG,Desc,-0.4,-0.517,-1.25,0.785,0.498,40
ppt14,UG,Desc,-0.589,1.896,1.182,0.676,1.304,47
ppt15,PG,Pic,-0.94,-0.307,-1.727,-0.06,-1.06,49
ppt16,UG,Desc,2.087,1.018,-0.656,0.965,-0.706,54
ppt17,PG,Pic,0.136,-0.737,-0.087,-2.321,-0.572,39
ppt18,UG,None,-0.655,-1.168,-0.036,1.774,0.771,46
ppt19,ND,Desc,-0.103,-1.047,0.849,-2.071,0.706,56
ppt20,ND,None,-0.045,-1.001,-0.744,0.166,-2.091,55
ppt21,ND,None,0.33,0.156,1.318,-0.235,0.024,51
ppt22,ND,Pic,0.267,-0.195,1.363,-0.526,-0.439,85
ppt23,UG,Pic,-1.075,1.612,0.145,-1.161,0.848,47
ppt24,ND,Pic,0.69,-0.367,0.528,-0.623,-1.305,69
ppt25,UG,Desc,1.177,0.653,-1.199,-0.116,1.757,51
ppt26,ND,None,-1.471,0.955,-0.16,0.302,-1.085,57
ppt27,UG,None,-0.462,1.111,-0.823,2.321,-0.421,51
ppt28,ND,Pic,-0.443,0.916,-0.299,-0.954,0.117,62
ppt29,UG,Pic,-0.929,-1.759,-0.756,2.211,-0.538,44
ppt30,PG,Desc,0.988,2.351,-1.291,0.295,3.64,37
ppt31,PG,None,-0.177,-0.453,-0.488,1.135,0.994,47
ppt32,ND,Pic,-0.135,0.677,-1.787,-0.277,0.871,79
ppt33,PG,Pic,-0.545,-0.422,0.398,1.213,1.124,52
ppt34,PG,Pic,-0.389,1.169,-1.826,-0.82,-0.301,19
ppt35,UG,Desc,-0.506,1.324,0.331,0.814,-1.557,39
ppt36,ND,Pic,0.611,0.246,-0.385,-0.062,0.772,88
ppt37,PG,Pic,-0.331,0.602,0.728,0.556,-0.09,38
ppt38,ND,Pic,2.173,-0.53,0.222,-0.367,-0.564,86
ppt39,UG,None,1.767,-0.008,-1.593,-0.648,2.106,44
ppt40,UG,Pic,1.208,-2.343,1.096,0.676,-1.312,70
ppt41,UG,Pic,0.457,-0.018,-0.238,-0.487,2.26,69
ppt42,ND,None,0.821,0.434,-0.501,-1.412,-0.767,59
ppt43,PG,None,-2.285,1.351,-0.967,0.351,0.17,44
ppt44,ND,Pic,-0.304,-0.156,-0.246,1.215,-0.407,72
ppt45,PG,Desc,0.571,0.011,1.417,-0.927,0.196,33
ppt46,ND,Pic,0.153,-0.352,2.002,0.32,0.814,83
ppt47,UG,Pic,-1.424,-0.026,-0.422,0.505,-0.153,57
ppt48,UG,Pic,0.208,0.646,1.754,0.065,-1.289,67
ppt49,ND,None,-2.215,-0.701,-0.395,0.081,-0.009,49
ppt50,UG,Desc,-0.215,1.092,-0.843,-0.172,-1.857,35
