"Player","Position","Team","TotalMoney","YearlySalary"
"Hjalte Froholdt","RG","Patriots",3.243,0.811
"Marshall Newhouse","LT","Patriots",0.93,0.93
"Jarrett Stidham","QB","Patriots",3.156,0.789
"Chase Winovich","43DE","Patriots",3.827,0.957
"Ja'Whaun Bentley","ILB","Patriots",2.764,0.691
"Devin Singletary","RB","Bills",3.898,0.975
"Matt Slater","WR","Patriots",5,2.5
"Nate Ebner","S","Patriots",5,2.5
"Isaiah Wynn","LT","Patriots",11.442,2.86
"Joe Cardona","LS","Patriots",4.31,1.078
"Alex Gray","TE","Falcons",1.08,0.54
"Dont'a Hightower","43OLB","Patriots",35.5,8.875
"Brandon Bolden","RB","Patriots",3.7,1.85
"Derek Rivers","43DE","Patriots",3.305,0.826
"Malik Gant","S","Patriots",1.765,0.588
"Sam Beal","CB","Giants",4.082,1.021
"Sony Michel","RB","Patriots",9.627,2.407
"Adam Butler","43DT","Patriots",1.67,0.557
"Keionta Davis","43DE","Patriots",1.665,0.555
"Matt LaCosse","TE","Patriots",2.8,1.4
"Nathan Shepherd","34DE","Jets",3.876,0.969
"James Develin","FB","Patriots",3.6,1.8
"Ryan Izzo","TE","Patriots",2.529,0.632
"Rex Burkhead","RB","Patriots",9.75,3.25
"Devine Ozigbo","RB","Jaguars",1.76,0.587
"Brandon King","43OLB","Patriots",3.5,1.75
"Damien Harris","RB","Patriots",3.631,0.908
"Phillip Dorsett","WR","Patriots",2.6,2.6
"Lawrence Guy","43DT","Patriots",14.4,3.6
"Julian Edelman","WR","Patriots",15.5,7.75
"Korey Cunningham","LT","Patriots",2.529,0.632
"Gunner Olszewski","WR","Patriots",1.758,0.586
"Deon Yelder","TE","Chiefs",1.05,0.525
"James Ferentz","LG","Patriots",0.72,0.72
"Danny Shelton","43DT","Patriots",1.03,1.03
"Stephon Gilmore","CB","Patriots",65,13
"Jakob Johnson","FB","Patriots",1.08,0.54
"Justin Bethel","CB","Patriots",2.93,1.465
"Cre'Von LeBlanc","CB","Eagles",1.3,1.3
"Yodny Cajuste","LT","Patriots",3.482,0.871
"Terrence Brooks","S","Patriots",3.25,1.625
"Shaquille Mason","RG","Patriots",45,9
"Deatrich Wise","43DE","Patriots",2.981,0.745
"Treyvon Hester","34DE","Redskins",0.645,0.645
"Shilique Calhoun","43OLB","Patriots",0.72,0.72
"Jonathan Jones","CB","Patriots",21,7
"Nick Folk","K","Patriots",1.03,1.03
"Joejuan Williams","CB","Patriots",6.627,1.657
"Mohamed Sanu","WR","Patriots",32.5,6.5
"Cody Kessler","QB","Patriots",0.72,0.72
