"country","laureates10_million","chocolate","nobellaureates","population_2018"
"Switzerland",32.771,8.8,28,8544034
"Sweden",30.052,8.1,30,9982709
"Austria",25.138,7.9,22,8751820
"Denmark",24.329,7.9,14,5754356
"Norway",24.284,6.6,13,5353363
"Ireland",14.572,5.8,7,4803748
"Germany",13.245,5.7,109,82293457
"United States",11.721,5.6,383,326766748
"France",10.664,5.4,70,65233271
"Finland",9.021,5,5,5542517
"Belgium",8.697,4.9,10,11498519
"New Zealand",6.316,4.9,3,4749598
"Poland",4.986,4.9,19,38104832
"Australia",4.844,4.8,12,24772247
"Czech Republic",4.706,4.4,5,10625250
"Japan",2.202,4.3,28,127185332
"South Africa",1.742,1.2,10,57398421
"Russia",1.598,0.9,23,143964709
"China",0.064,0.1,9,1415045928
