"hospital","expcon","nurse","age","gender","experien","stress","Zstress","wardtype","hospsize"
1,"1",1,36,0,11,7,2.06532850131246,"general care","large"
1,"1",2,45,0,20,7,2.06532850131246,"general care","large"
1,"1",3,32,0,7,7,2.06532850131246,"general care","large"
1,"1",4,57,1,25,6,1.04440487238885,"general care","large"
1,"1",5,46,1,22,6,1.04440487238885,"general care","large"
1,"1",6,60,1,22,6,1.04440487238885,"general care","large"
1,"1",7,23,1,13,6,1.04440487238885,"general care","large"
1,"1",8,32,1,13,7,2.06532850131246,"general care","large"
1,"1",9,60,0,17,7,2.06532850131246,"general care","large"
1,"1",10,45,0,21,6,1.04440487238885,"special care","large"
1,"1",11,57,1,24,6,1.04440487238885,"special care","large"
1,"1",12,47,0,24,6,1.04440487238885,"special care","large"
1,"1",13,32,1,14,6,1.04440487238885,"special care","large"
1,"1",14,42,1,13,6,1.04440487238885,"special care","large"
1,"1",15,42,1,17,6,1.04440487238885,"special care","large"
1,"1",16,53,1,20,5,0.0234812434652409,"special care","large"
1,"1",17,60,0,28,5,0.0234812434652409,"special care","large"
1,"1",18,33,1,21,6,1.04440487238885,"special care","large"
1,"0",19,64,1,22,5,0.0234812434652409,"general care","large"
1,"0",20,37,0,17,5,0.0234812434652409,"general care","large"
1,"0",21,23,1,7,4,-0.997442385458368,"general care","large"
1,"0",22,61,1,20,4,-0.997442385458368,"general care","large"
1,"0",23,58,1,24,4,-0.997442385458368,"general care","large"
1,"0",24,52,1,20,4,-0.997442385458368,"general care","large"
1,"0",25,28,0,6,5,0.0234812434652409,"general care","large"
1,"0",26,52,1,17,5,0.0234812434652409,"general care","large"
1,"0",27,43,0,20,4,-0.997442385458368,"general care","large"
1,"0",28,64,0,32,4,-0.997442385458368,"special care","large"
1,"0",29,47,0,17,5,0.0234812434652409,"special care","large"
1,"0",30,62,1,27,4,-0.997442385458368,"special care","large"
1,"0",31,39,1,11,5,0.0234812434652409,"special care","large"
1,"0",32,46,1,20,5,0.0234812434652409,"special care","large"
1,"0",33,58,1,22,4,-0.997442385458368,"special care","large"
1,"0",34,34,0,14,5,0.0234812434652409,"special care","large"
1,"0",35,41,0,10,5,0.0234812434652409,"special care","large"
1,"0",36,56,1,17,5,0.0234812434652409,"special care","large"
2,"1",37,39,1,20,4,-0.997442385458368,"general care","medium"
2,"1",38,60,1,29,5,0.0234812434652409,"general care","medium"
2,"1",39,57,1,25,5,0.0234812434652409,"general care","medium"
2,"1",40,50,1,20,5,0.0234812434652409,"general care","medium"
2,"1",41,29,1,8,5,0.0234812434652409,"general care","medium"
2,"1",42,57,0,29,5,0.0234812434652409,"general care","medium"
2,"1",43,51,1,20,5,0.0234812434652409,"general care","medium"
2,"1",44,25,1,13,5,0.0234812434652409,"general care","medium"
2,"1",45,27,1,10,5,0.0234812434652409,"general care","medium"
2,"1",46,53,1,18,4,-0.997442385458368,"special care","medium"
2,"1",47,42,0,24,5,0.0234812434652409,"special care","medium"
2,"1",48,43,1,15,4,-0.997442385458368,"special care","medium"
2,"1",49,24,0,6,5,0.0234812434652409,"special care","medium"
2,"1",50,48,0,17,5,0.0234812434652409,"special care","medium"
2,"1",51,60,0,18,5,0.0234812434652409,"special care","medium"
2,"1",52,27,1,10,4,-0.997442385458368,"special care","medium"
2,"1",53,61,0,25,5,0.0234812434652409,"special care","medium"
2,"1",54,33,1,14,5,0.0234812434652409,"special care","medium"
2,"0",55,47,0,20,5,0.0234812434652409,"general care","medium"
2,"0",56,50,1,21,4,-0.997442385458368,"general care","medium"
2,"0",57,38,1,15,4,-0.997442385458368,"general care","medium"
2,"0",58,28,1,8,6,1.04440487238885,"general care","medium"
2,"0",59,33,1,11,5,0.0234812434652409,"general care","medium"
2,"0",60,52,1,21,4,-0.997442385458368,"general care","medium"
2,"0",61,53,0,17,6,1.04440487238885,"general care","medium"
2,"0",62,31,1,17,5,0.0234812434652409,"general care","medium"
2,"0",63,27,1,13,4,-0.997442385458368,"general care","medium"
2,"0",64,57,0,20,6,1.04440487238885,"special care","medium"
2,"0",65,47,1,20,5,0.0234812434652409,"special care","medium"
2,"0",66,41,1,17,4,-0.997442385458368,"special care","medium"
2,"0",67,64,1,28,4,-0.997442385458368,"special care","medium"
2,"0",68,45,1,24,5,0.0234812434652409,"special care","medium"
2,"0",69,42,0,20,5,0.0234812434652409,"special care","medium"
2,"0",70,25,1,8,5,0.0234812434652409,"special care","medium"
2,"0",71,34,1,18,5,0.0234812434652409,"special care","medium"
2,"0",72,36,1,17,5,0.0234812434652409,"special care","medium"
3,"1",73,55,1,25,4,-0.997442385458368,"general care","small"
3,"1",74,33,0,11,5,0.0234812434652409,"general care","small"
3,"1",75,51,1,21,4,-0.997442385458368,"general care","small"
3,"1",76,60,1,31,4,-0.997442385458368,"general care","small"
3,"1",77,24,1,7,4,-0.997442385458368,"general care","small"
3,"1",78,31,0,18,5,0.0234812434652409,"general care","small"
3,"1",79,58,1,21,4,-0.997442385458368,"general care","small"
3,"1",80,60,0,27,5,0.0234812434652409,"general care","small"
3,"1",81,29,0,14,5,0.0234812434652409,"general care","small"
3,"1",82,24,1,13,3,-2.01836601438198,"special care","small"
3,"1",83,24,1,10,4,-0.997442385458368,"special care","small"
3,"1",84,46,0,21,3,-2.01836601438198,"special care","small"
3,"1",85,43,1,25,3,-2.01836601438198,"special care","small"
3,"1",86,24,1,4,4,-0.997442385458368,"special care","small"
3,"1",87,45,0,18,4,-0.997442385458368,"special care","small"
3,"1",88,64,1,25,4,-0.997442385458368,"special care","small"
