"worksat","hp","op","conflict","burnout"
22,56,35,15,58
57,53,32,20,46
7,39,44,21,57
29,69,55,20,66
48,75,59,24,41
33,83,51,25,58
49,52,48,28,58
38,76,62,21,68
15,54,28,19,62
55,52,31,18,48
38,62,32,30,69
61,74,38,21,55
29,29,37,23,62
68,88,59,22,52
60,69,48,26,61
49,53,28,3,62
45,68,21,19,58
43,73,48,15,58
38,46,29,18,57
29,62,34,20,58
13,41,24,21,46
47,55,47,27,63
47,70,39,18,47
37,36,35,21,59
30,22,33,22,67
20,58,75,22,82
45,56,41,23,49
42,64,12,10,55
51,36,34,22,62
44,55,49,18,56
22,57,44,20,75
27,50,33,16,54
31,50,39,16,39
49,50,34,19,60
52,49,21,21,54
47,60,45,22,56
20,49,45,24,57
31,51,48,14,61
19,64,31,27,55
48,82,76,27,56
49,80,48,22,54
37,65,56,21,70
51,71,42,19,58
41,99,55,18,60
30,64,52,15,56
24,43,44,18,70
40,69,41,15,75
40,43,30,27,62
55,45,41,18,58
33,65,40,17,65
17,41,43,17,69
32,67,16,16,59
30,76,55,27,69
27,53,33,26,80
44,65,30,24,65
60,87,47,20,46
14,61,50,25,61
35,26,27,15,73
55,73,40,31,50
35,38,57,23,62
50,59,42,15,69
36,61,24,23,73
20,68,44,20,63
45,62,41,22,56
37,65,61,25,71
58,59,26,22,57
55,78,33,13,46
64,85,30,23,71
39,46,48,26,59
51,66,46,21,58
35,54,55,23,57
44,62,33,15,76
48,68,52,15,76
35,49,34,24,46
65,87,51,19,56
72,69,58,16,70
30,48,40,18,72
35,64,25,19,71
65,51,32,18,47
47,54,13,18,50
35,68,46,24,60
35,48,22,22,57
52,63,36,16,40
43,54,39,15,53
59,65,32,18,63
44,54,37,10,71
16,44,26,18,65
51,59,28,21,48
59,70,29,9,59
53,68,31,20,49
70,90,69,18,59
41,70,36,26,44
39,57,27,22,59
24,40,34,15,67
42,49,55,23,57
19,60,29,19,78
32,73,40,21,73
36,61,48,18,65
40,48,41,15,63
38,69,35,20,69
