mobility,balance,endurance,flexibility,strength,coordination,fine_motor,respiratory
587,23.69,13.07,11,43,1.615,20.82,429
594,23.79,12.89,9,33,1.558,20.81,493
554,29.14,14.28,12,50,1.687,22,521
525,17.93,16.64,8,20,1.617,20.09,495
541,17.54,19.95,9,43,1.446,20.64,723
540,21.68,16.25,10,40,1.507,20.05,541
593,21.26,17.76,9,30,1.625,21.24,594
512,14.43,15.56,9,30,1.371,18.3,600
447,13.16,11.32,7,22,1.452,18.82,452
472,14.01,13.13,8,33,1.158,17.42,439
421,10.84,16.86,9,25,1.049,14.55,553
557,21.2,13.93,10,36,1.44,19.45,541
432,12.74,14.73,9,27,1.047,15.26,564
628,17.02,15.75,11,36,1.775,21.5,618
455,17.92,12.52,9,30,1.343,17.99,499
525,17.42,16.45,9,33,1.512,19.55,550
674,24.57,18.51,11,49,1.797,23.65,688
526,14.51,13.26,8,36,1.333,20.25,471
546,20.41,12.57,12,34,1.353,16.65,514
489,22.83,15.06,8,38,1.488,21.41,452
577,14.19,14.04,9,20,1.516,17.9,608
460,11.78,18.44,8,29,1.284,17.8,760
614,23.21,13.66,10,39,1.766,22.23,335
543,30.2,13.12,10,43,1.671,22.01,455
639,22.07,17.04,10,48,1.625,23,555
602,27.85,11.74,11,45,1.805,22.93,619
581,19.58,17.54,9,37,1.563,21.68,698
415,19.95,12.93,9,32,1.384,18.19,407
697,20.17,14.5,9,36,1.857,24.38,516
501,19.27,12,9,39,1.279,18.67,491
493,13.12,19.55,9,26,1.295,17.21,667
539,22.16,17.31,11,38,1.429,19.16,577
450,14.27,12.98,7,20,1.257,17.25,449
520,23.05,16.12,8,37,1.813,23.18,700
582,21.54,14.11,11,38,1.752,21.17,624
605,14.44,14.75,8,27,1.418,19.7,564
580,22.85,16.33,11,37,1.474,19.22,457
497,17.93,12.62,10,36,1.218,17.36,470
614,19.86,15.66,10,33,1.775,21.26,683
540,15.39,14.84,9,34,1.516,19.46,585
639,23.8,13.57,9,38,1.52,21.78,500
506,15.19,16.71,7,24,1.488,19.4,562
638,24.15,13.15,11,40,1.921,22.93,493
632,21.8,12.18,10,34,1.683,21.21,433
639,22.2,16.2,11,36,1.624,20.94,629
579,21.44,18.97,11,41,1.411,19.51,590
371,12.43,15.8,8,24,0.916,14.14,562
504,19.89,16.77,9,36,1.263,18.64,602
428,17.54,16.5,7,26,1.198,17.52,701
616,25.22,19.01,11,41,1.527,20.5,707
634,30.75,19.05,12,46,1.884,23.62,710
617,24.02,16.57,9,38,1.775,23.08,549
603,17.85,17.58,9,34,1.48,20.44,662
629,28.41,15.58,10,43,1.737,22.97,484
570,15.13,19.32,10,28,1.291,17.36,717
462,8.86,17.27,8,30,1.228,17.44,597
672,22.49,16.66,11,34,1.846,22.51,630
541,19.27,15.86,9,34,1.495,20.11,491
381,11.31,11.6,7,32,0.909,15.94,402
633,28.79,18.33,12,58,1.568,22.61,703
572,17.65,16.52,9,35,1.431,20.04,595
348,11.27,16.07,7,19,0.992,14.36,568
574,22.18,14.07,10,30,1.659,20.72,500
468,18.16,15.46,8,22,1.511,18.94,638
569,17.6,13.28,9,28,1.678,20.79,512
408,12.46,19.74,8,20,0.873,13.81,693
569,20.5,13.92,9,35,1.631,21.29,599
560,18.14,16.98,8,30,1.735,21.91,625
616,26.48,16.58,12,51,1.697,22.07,484
617,25.81,14.48,11,44,1.764,22.45,593
520,18.4,9.96,10,42,1.362,18.93,260
599,21.68,13.5,10,37,1.911,23.01,457
721,31.31,16.88,11,43,2.073,25.8,685
536,18.98,15.09,9,29,1.676,20.16,559
435,8.64,14.59,7,20,1.142,16.55,563
434,7.24,17.33,8,21,0.842,13.33,640
606,20.44,13.94,10,42,1.515,20.77,527
547,23.17,12.64,11,42,1.659,20.95,494
565,19.78,15.24,8,31,1.73,22.16,519
564,15.83,14.14,9,32,1.48,20.06,518
679,23.64,17.53,12,48,1.833,22.91,625
522,19.8,12.5,10,32,1.403,18.44,418
574,22.13,8.86,11,45,1.394,19.5,323
550,17.66,12.01,8,31,1.59,21.72,463
593,18.58,13.28,10,42,1.486,21.1,448
604,23.06,14.58,8,39,1.669,23.45,537
550,16.1,15.35,8,36,1.202,18.94,583
666,23.82,12.25,11,46,1.711,22.92,505
772,25.88,13.83,13,44,1.864,23.17,469
485,11.79,14,7,22,1.185,17.31,385
528,25.85,21.49,9,36,1.576,21.44,781
638,14.32,12.63,9,34,1.476,20.59,486
486,15.34,18.05,8,27,1.217,17.39,687
496,20.18,14.8,9,33,1.5,19.4,581
597,25.15,17.54,10,42,1.708,22.02,685
382,14.81,13.18,9,29,1.162,15.52,522
557,22.18,17.07,9,34,1.66,21.51,611
584,17.97,14.07,11,36,1.438,19.1,507
625,27.34,16.65,11,51,1.66,22.98,715
601,26.14,15.2,11,44,1.622,21.65,560
530,22.09,16.93,8,41,1.303,20.48,606
619,21.63,21.83,9,40,1.685,22.95,736
586,22.95,18.25,9,35,1.45,20.46,720
594,22.24,14.67,10,40,1.571,20.83,508
698,27.5,16.37,10,48,1.976,25.66,573
607,28.06,13.4,9,41,1.471,21.75,566
557,12.08,15.23,10,23,1.07,15.19,444
451,10.59,11.84,8,22,1.106,15.53,328
597,20.33,12.65,10,38,1.789,22.28,482
610,16.89,14.47,10,29,1.697,20.45,558
565,22.53,12.77,10,37,1.526,20.27,511
688,30.52,15.34,12,58,1.714,24.2,635
575,12.99,12.42,9,32,1.264,18.27,457
565,18.68,17.35,9,33,1.431,19.82,566
538,22.59,13.47,9,36,1.402,19.86,479
424,17.68,18.36,7,20,1.472,18.36,684
531,15.71,14.08,9,37,1.405,19.58,548
534,18.77,8.6,9,30,1.572,20.31,294
486,21.06,15.78,9,33,1.217,17.78,606
589,25.96,11.69,10,42,1.809,23.35,490
504,19.09,14.92,11,39,1.334,18.05,560
511,10.98,15.89,9,25,1.324,16.85,483
603,23.34,20.49,11,47,1.452,20.26,703
555,18.21,15.83,10,38,1.248,18.54,559
630,24.77,16.21,10,40,1.898,23.67,641
492,19.13,13.18,9,35,1.455,19.73,486
622,19.49,14.8,9,38,1.561,21.94,589
562,22.44,10.53,11,42,1.341,18.87,446
539,25.24,11.62,9,34,1.818,22.31,472
646,26.18,11.39,13,47,1.857,22.23,447
475,16.35,14.29,9,27,1.34,17.54,489
603,22.82,18.91,10,44,1.554,21.92,676
493,17.62,16.99,9,31,1.477,19.13,559
504,20.52,13.73,9,37,1.31,18.93,464
436,16.24,16.31,9,27,1.102,15.49,648
555,20.21,11.7,7,27,1.639,21.75,524
529,22.48,14.99,10,37,1.449,19.72,498
403,9.19,18.36,6,23,1.077,16.94,729
480,16.75,10.69,9,28,1.373,18.01,430
601,25.53,14.86,9,43,1.682,23.41,627
473,15.43,16.09,8,20,1.658,19.61,653
539,16.87,15.6,10,29,1.233,16.82,488
508,14.86,16.99,10,32,1.137,16.64,543
651,20.95,13.82,11,41,1.583,20.79,531
505,17.19,11.95,8,29,1.54,19.8,489
456,19.96,12.69,9,30,1.301,17.6,570
443,11.21,12.37,8,27,0.946,15.17,497
426,9.43,18.17,7,23,0.997,15.4,619
668,28.49,10.42,11,42,2.042,24.32,398
580,25.33,16.25,10,39,1.814,22.36,597
611,24.05,17.61,11,44,1.519,21.16,562
508,14.72,16.17,10,29,1.111,15.88,684
577,23.8,17.24,10,33,1.835,22.23,619
462,14.21,12.91,8,27,1.12,16.28,443
610,23.11,13.89,10,39,1.62,21.53,487
468,27.08,14.93,9,39,1.409,19.85,589
724,36.93,15.65,12,51,2.087,26.03,486
500,20.39,15.64,9,33,1.286,18.21,506
620,20.45,12.84,10,49,1.506,22.65,418
663,31.6,15.59,11,49,1.869,24.82,512
577,24.24,16.96,10,40,1.627,21.25,617
538,16.96,16.44,9,31,1.536,20.08,620
529,22.14,18.06,11,39,1.395,18.28,611
518,17.05,14.67,9,32,1.363,18.88,489
577,18.19,13.55,9,34,1.491,20.01,506
550,20.02,16.12,11,38,1.379,17.83,645
581,21.34,9.89,10,38,1.568,20.58,381
485,21.45,12.35,10,34,1.676,20.11,427
464,22.78,19.16,9,34,1.283,18,571
701,23.47,10.45,10,35,1.932,23.49,332
656,18.18,12.42,9,31,1.876,22.77,386
607,17.93,11.85,9,33,1.314,19.11,481
581,17.11,21.08,10,29,1.447,18.74,812
731,29.54,13.48,11,45,2.058,25.91,569
497,17.06,15.14,8,30,1.404,19.55,491
585,19.77,20,10,33,1.587,20.1,738
520,27.58,12.07,9,37,1.56,21.36,526
625,22.77,9.35,10,35,1.731,21.95,360
559,12.48,11.84,10,36,1.235,17.29,398
534,15.85,18.86,10,30,1.398,18.1,650
486,20.68,15.32,8,39,1.199,19.39,511
631,21.7,16.69,9,35,1.607,22.31,679
654,24.89,11.34,10,36,2.074,24.73,464
520,18.99,13.81,10,32,1.207,17,514
