age,anx,strategy,hr
40,0.21,CloseEyes,62.4
41,-0.57,CloseEyes,56.8
23,0.08,Cough,50.1
43,-0.68,CloseEyes,51
51,0.75,DeepBreath,61.7
38,-1.22,CloseEyes,52.9
40,0.07,Cough,55.2
42,0.44,DeepBreath,54.3
38,-1.36,CloseEyes,50.2
52,1.09,DeepBreath,59.6
55,1.11,DeepBreath,60.1
24,0.18,Cough,48.1
23,1.13,Cough,53.5
32,-1.3,CloseEyes,51.3
39,-0.81,CloseEyes,58.6
27,0.08,Cough,54
31,-0.46,Cough,46.5
28,0.73,DeepBreath,51.5
39,-1.18,CloseEyes,55.8
44,-1.18,CloseEyes,53.1
34,-0.11,Cough,51.3
36,-0.44,CloseEyes,53
25,-0.62,CloseEyes,49
32,0.01,CloseEyes,51.6
38,0.2,Cough,53.3
63,0.76,CloseEyes,68.8
42,0.33,CloseEyes,56.6
52,0.21,DeepBreath,52
31,1.93,DeepBreath,52.9
53,1.1,DeepBreath,57.7
57,1.54,DeepBreath,63.3
47,0.62,Cough,57.8
58,0.08,CloseEyes,68.6
41,1.5,DeepBreath,52
40,1.38,DeepBreath,56.7
24,1.09,DeepBreath,50.4
55,0.94,DeepBreath,57.5
41,0.47,Cough,53.4
58,1.2,DeepBreath,63.6
63,-0.2,DeepBreath,51.6
23,0.65,DeepBreath,47.4
24,0.24,Cough,50.6
36,0.1,Cough,52.6
37,0.18,CloseEyes,51.9
30,-0.59,CloseEyes,53
60,-0.32,CloseEyes,64.4
26,0.85,DeepBreath,45.9
55,-0.73,CloseEyes,57.6
53,-0.43,CloseEyes,60.6
34,1.78,DeepBreath,54.3
50,0.36,DeepBreath,55.3
34,-0.91,CloseEyes,47.7
49,2.32,DeepBreath,58
40,-0.5,CloseEyes,51.4
48,-0.89,CloseEyes,59.1
31,0.42,Cough,54.5
26,-1.86,CloseEyes,50.6
35,1.41,DeepBreath,48.8
41,0.76,DeepBreath,51.4
48,0.37,DeepBreath,57.6
53,0.85,Cough,60.6
57,1.36,DeepBreath,63.3
39,-1.29,CloseEyes,49.3
35,1.25,Cough,55
60,0.84,DeepBreath,60.5
61,1.23,DeepBreath,61.1
37,0.45,DeepBreath,48.8
24,-0.74,CloseEyes,48.5
43,1.13,CloseEyes,62.9
50,0.16,CloseEyes,59.9
23,1.2,DeepBreath,49.8
40,-0.56,CloseEyes,52.5
64,-0.4,CloseEyes,63.5
64,-0.17,CloseEyes,60.7
54,0.7,CloseEyes,56.7
25,0.14,CloseEyes,52.5
28,0.37,CloseEyes,53.4
50,0.28,Cough,53.3
38,-0.29,DeepBreath,55.7
42,-1.21,CloseEyes,51.2
63,1.17,Cough,60.9
27,1.53,DeepBreath,51.9
22,0.43,CloseEyes,50.1
27,0.64,Cough,50.5
48,0.08,CloseEyes,59.7
23,0.21,CloseEyes,53.9
53,1.25,DeepBreath,57.6
49,0.12,Cough,61
35,-0.6,CloseEyes,52.4
36,0.2,Cough,52
34,0.41,Cough,53.3
39,-0.1,CloseEyes,62.1
29,-0.22,Cough,49.6
29,0.1,DeepBreath,48.5
55,-0.42,CloseEyes,58.5
56,0.49,Cough,56.1
56,-0.24,Cough,54.3
54,1.6,DeepBreath,63.3
47,-0.31,DeepBreath,52.4
39,1.17,DeepBreath,58.8
35,0.24,DeepBreath,52.2
22,1.64,DeepBreath,49.5
46,-0.05,Cough,54.1
29,1.26,DeepBreath,52.9
58,-0.08,Cough,64.3
51,-0.42,CloseEyes,56.2
40,0.28,CloseEyes,58.9
44,-0.36,CloseEyes,49.8
47,0.36,Cough,52
44,0.77,Cough,57.3
62,0.73,Cough,60.5
31,-0.35,Cough,48.2
