age,education,religion,politics,climate_change,doc_condition,doc_length,global_warming,behaviour
45,HS,Yes,right-leaning,47,positive,5.5,1,58
74,HS,No,right-leaning,47,neutral,1,0,39
53,PG,Yes,left-leaning,33,neutral,9.5,1,46
51,UG,No,right-leaning,49,neutral,10,1,50
64,PG,Yes,right-leaning,51,positive,8.5,0,57
31,UG,No,unknown,40,negative,4,1,64
42,HS,No,right-leaning,48,positive,7.5,1,50
38,HS,No,unknown,41,positive,3,1,53
67,PG,Yes,right-leaning,43,positive,5,0,48
58,PG,Yes,right-leaning,52,positive,2,0,49
29,UG,Yes,right-leaning,54,positive,6,1,64
40,UG,No,left-leaning,41,negative,8.5,1,64
28,UG,No,left-leaning,37,positive,5,1,66
36,PG,No,right-leaning,49,neutral,2,1,47
29,UG,Yes,unknown,32,negative,10,1,74
54,UG,Yes,right-leaning,53,negative,9,1,80
26,UG,No,right-leaning,52,neutral,3,1,54
73,UG,Yes,right-leaning,46,negative,1,0,41
24,UG,No,left-leaning,41,positive,4.5,1,35
58,UG,Yes,right-leaning,43,positive,8.5,1,32
62,HS,Yes,right-leaning,53,neutral,7.5,1,49
47,UG,Yes,left-leaning,39,neutral,6,1,41
29,UG,Yes,left-leaning,41,neutral,8,0,75
61,UG,Yes,left-leaning,39,negative,8.5,1,90
73,PG,Yes,right-leaning,53,positive,4.5,0,70
19,UG,No,left-leaning,41,positive,6.5,0,57
46,HS,No,right-leaning,51,positive,2.5,1,36
46,UG,No,right-leaning,47,neutral,2,1,40
37,HS,No,left-leaning,37,negative,1,0,37
28,HS,No,right-leaning,51,positive,6.5,1,11
44,UG,Yes,left-leaning,48,neutral,4,1,49
59,UG,Yes,right-leaning,43,positive,7.5,0,29
36,UG,No,left-leaning,31,neutral,7,1,48
54,HS,No,right-leaning,48,neutral,3.5,1,56
25,UG,Yes,left-leaning,34,positive,2,1,56
31,UG,No,left-leaning,40,negative,2.5,1,51
36,PG,No,left-leaning,36,positive,8,0,39
48,HS,Yes,right-leaning,59,neutral,7,1,51
66,PG,No,right-leaning,51,negative,5,1,65
69,HS,Yes,left-leaning,42,neutral,8.5,0,47
72,HS,Yes,right-leaning,52,positive,5,0,48
53,HS,Yes,left-leaning,44,negative,6.5,0,68
29,UG,Yes,right-leaning,48,neutral,7,1,50
32,HS,No,right-leaning,52,neutral,8,1,38
21,UG,No,right-leaning,49,positive,9,0,54
30,PG,No,unknown,34,negative,1.5,1,100
61,HS,Yes,right-leaning,50,negative,6,0,80
22,PG,No,left-leaning,32,positive,8.5,0,26
48,PG,Yes,left-leaning,36,neutral,7,0,41
45,HS,Yes,right-leaning,52,negative,2.5,0,58
25,UG,Yes,unknown,36,negative,8,0,93
41,UG,No,right-leaning,52,positive,4,1,51
59,PG,Yes,left-leaning,37,negative,9,0,67
50,UG,Yes,left-leaning,43,positive,9,1,66
37,UG,No,left-leaning,48,positive,2.5,1,58
40,HS,No,right-leaning,46,positive,7,0,56
22,UG,No,right-leaning,52,negative,6,1,61
24,UG,No,unknown,46,positive,5,1,73
39,UG,Yes,right-leaning,47,negative,9.5,1,71
54,HS,Yes,right-leaning,54,neutral,1,1,38
45,UG,No,left-leaning,42,negative,10,1,100
51,HS,No,right-leaning,47,positive,2,1,25
64,UG,No,left-leaning,46,negative,9.5,0,75
74,UG,Yes,right-leaning,51,negative,3,0,60
73,UG,Yes,right-leaning,57,positive,2.5,1,76
47,HS,Yes,left-leaning,38,positive,9,0,60
73,UG,Yes,right-leaning,52,positive,3.5,1,44
24,UG,Yes,left-leaning,42,negative,1,1,50
59,PG,Yes,left-leaning,41,positive,1.5,1,63
22,UG,Yes,right-leaning,50,negative,6.5,0,55
60,UG,Yes,right-leaning,49,positive,1.5,1,36
68,UG,Yes,unknown,38,negative,9,0,59
39,UG,No,left-leaning,38,negative,8.5,1,82
63,HS,Yes,right-leaning,47,negative,5,0,66
68,HS,Yes,right-leaning,48,negative,5.5,1,91
46,HS,Yes,right-leaning,43,negative,10,1,78
69,PG,No,right-leaning,52,neutral,2,1,53
19,UG,No,left-leaning,45,negative,3,1,47
29,UG,No,left-leaning,33,neutral,9,1,37
62,UG,Yes,left-leaning,40,negative,10,0,76
57,HS,Yes,right-leaning,42,neutral,4.5,0,33
46,PG,Yes,unknown,38,negative,1,0,62
72,PG,Yes,right-leaning,50,positive,4.5,0,63
21,UG,No,unknown,30,neutral,9,0,53
24,HS,No,left-leaning,38,positive,6,0,47
45,HS,No,unknown,36,positive,8,0,45
29,UG,Yes,left-leaning,44,neutral,9,1,55
24,UG,Yes,right-leaning,50,neutral,7,1,71
71,HS,No,right-leaning,52,neutral,7,1,54
61,HS,Yes,right-leaning,46,positive,9.5,0,65
52,HS,No,left-leaning,43,neutral,9,0,27
66,PG,Yes,left-leaning,40,negative,1.5,0,82
42,UG,Yes,right-leaning,51,positive,8.5,1,44
21,UG,No,left-leaning,35,neutral,3,1,55
71,HS,Yes,right-leaning,49,neutral,7.5,1,32
42,HS,No,unknown,45,neutral,9.5,1,44
40,UG,Yes,right-leaning,55,negative,9,1,68
31,UG,No,left-leaning,34,positive,3.5,1,30
70,HS,No,right-leaning,53,negative,5,0,41
55,HS,No,right-leaning,50,positive,7,0,36
72,HS,Yes,right-leaning,44,positive,3,0,53
40,PG,No,right-leaning,48,negative,3,1,72
43,UG,No,right-leaning,45,negative,3,1,56
19,UG,Yes,left-leaning,44,neutral,5.5,1,20
21,UG,No,unknown,44,negative,3,1,52
31,HS,No,left-leaning,45,positive,8.5,1,20
26,HS,Yes,right-leaning,50,neutral,4,0,33
29,HS,No,unknown,33,positive,1,1,52
50,UG,Yes,right-leaning,53,neutral,4.5,0,70
20,UG,Yes,left-leaning,47,neutral,1.5,1,35
62,UG,Yes,left-leaning,36,negative,10,1,86
19,UG,No,right-leaning,56,positive,1.5,1,54
64,HS,Yes,right-leaning,51,positive,8,0,87
54,PG,No,right-leaning,54,positive,1,1,31
64,UG,Yes,right-leaning,44,positive,3.5,1,51
