subjID,Mach_z,Psyc_z,Narc_z,PSMU
1,-0.61,0.378,0.054,0
2,-0.061,-0.146,0.709,0
3,-0.735,0.766,0.466,0
4,-0.672,-1.666,-2.066,0
5,0.358,-0.065,1.366,0
6,-1.144,0.649,-2.013,0
7,0.697,0.052,0.319,0
8,1.443,-0.123,0.241,0
9,0.349,-0.242,0.109,0
10,-0.391,0.241,0.791,0
11,-2.172,-1.998,-1.494,0
12,0.057,-0.096,0.872,0
13,-0.087,0.79,0.514,0
14,0.421,2.337,0.615,0
15,0.407,-0.619,1.376,0
16,-0.171,0.103,1.115,0
17,0.024,0.118,-2.647,0
18,-2.107,-1.495,-1.034,0
19,-1.179,-1.163,-1.028,0
20,-0.938,-0.747,-1.176,0
21,0.787,-0.597,0.736,1
22,-0.665,-0.771,-0.782,0
23,-0.142,-0.092,-0.796,0
24,1.216,2.254,1.648,1
25,-1.091,-0.961,0.445,1
26,0.447,0.502,1.289,0
27,-0.968,0.062,-0.508,0
28,1.404,2.053,0.331,0
29,0.691,0.825,0.294,0
30,1.553,0.479,0.737,0
31,0.234,-1.098,-0.623,0
32,-0.471,-0.019,-0.155,0
33,1.304,0.393,0.565,0
34,-1.688,-0.594,1.01,1
35,1.154,1.679,0.77,0
36,0.617,0.568,1.09,1
37,-0.454,0.418,-2.278,0
38,0.736,0.321,0.833,1
39,0.253,-0.663,-0.911,0
40,0.093,-0.618,0.593,0
41,-0.485,0.026,-0.172,0
42,-1.076,0.191,-0.232,0
43,-1.86,-1.195,-0.073,0
44,0.619,-0.176,-0.466,0
45,2.406,1.505,0.752,0
46,-1.703,0.362,-1.293,0
47,-0.287,-0.275,-0.822,0
48,-0.74,-0.867,0.257,0
49,-0.139,0.064,-0.059,0
50,-0.781,-1.019,0.132,0
51,0.399,-0.091,-0.18,0
52,-0.493,0.418,-0.174,0
53,0.47,0.004,0.623,0
54,1.642,1.54,-0.975,1
55,-1.399,-1.676,0.695,0
56,-1.618,-2.367,-1.761,0
57,0.081,0.39,0.551,0
58,0.857,1.203,1.085,1
59,-0.579,-0.656,-0.765,0
60,0.251,0.324,-0.17,0
61,1.031,-2.008,-0.018,1
62,0.666,0.558,0.01,0
63,-0.288,-0.91,0.562,1
64,0.481,0.204,-0.338,0
65,0.422,0.686,1.12,1
66,-2.202,-0.92,-0.283,0
67,0.754,2.221,1.681,0
68,1.358,-0.811,0.943,1
69,0.077,-0.098,-1.497,0
70,-0.552,-2.23,-1.137,1
71,0.711,-0.097,1.356,0
72,2.735,1.598,1.529,1
73,0.793,-0.201,-0.246,0
74,-0.317,0.78,-1.069,0
75,-0.041,1.051,-0.639,1
76,-0.356,-0.45,0.115,1
77,-0.066,0.64,0.077,0
78,1.139,0.4,0.143,1
79,-0.668,-0.256,-2.138,0
80,0.253,0.921,1.499,0
