"participant","happiness","job_sat"
"respondent_1",3,3
"respondent_2",3,4
"respondent_3",2,5
"respondent_4",4,5
"respondent_5",3,5
"respondent_6",4,4
"respondent_7",4,2
"respondent_8",5,5
"respondent_9",1,5
"respondent_10",3,4
"respondent_11",3,4
"respondent_12",4,3
"respondent_13",2,3
"respondent_14",5,4
"respondent_15",1,2
"respondent_16",4,1
"respondent_17",3,5
"respondent_18",4,5
"respondent_19",4,5
"respondent_20",4,5
"respondent_21",3,5
"respondent_22",3,4
"respondent_23",5,3
"respondent_24",3,2
"respondent_25",3,4
"respondent_26",4,5
"respondent_27",1,5
"respondent_28",3,5
"respondent_29",3,1
"respondent_30",3,5
"respondent_31",1,5
"respondent_32",2,5
"respondent_33",5,5
"respondent_34",2,5
"respondent_35",4,4
"respondent_36",4,2
"respondent_37",4,5
"respondent_38",3,4
"respondent_39",1,3
"respondent_40",4,5
"respondent_41",4,4
"respondent_42",5,2
"respondent_43",5,5
"respondent_44",2,5
"respondent_45",2,4
"respondent_46",4,3
"respondent_47",3,4
"respondent_48",4,5
"respondent_49",3,2
"respondent_50",3,5
"respondent_51",3,1
"respondent_52",2,5
"respondent_53",2,3
"respondent_54",3,4
"respondent_55",3,5
"respondent_56",3,5
"respondent_57",3,5
"respondent_58",4,5
"respondent_59",3,5
"respondent_60",2,5
"respondent_61",1,5
"respondent_62",4,5
"respondent_63",3,5
"respondent_64",4,5
"respondent_65",3,4
"respondent_66",2,5
"respondent_67",3,5
"respondent_68",4,5
"respondent_69",2,3
"respondent_70",4,4
"respondent_71",3,3
"respondent_72",2,3
"respondent_73",2,3
"respondent_74",5,4
