I need a bit of encouragement to get things started,I contact my friends,I express my emotions,I think of new things to do during the day,I am concerned about how my family feel,I find myself staring in to space,Before I do something I think about how others would feel about it,I plan my days activities in advance,When I receive bad news I feel bad about it,I am unable to focus on a task until it is finished,I lack motivation,I struggle to empathise with other people,I set goals for myself,I try new things,I am unconcerned about how others feel about my behaviour,I act on things I have thought about during the day,"When doing a demanding task, I have difficulty working out what I have to do",I keep myself busy,I get easily confused when doing several things at once,I become emotional easily when watching something happy or sad on TV,I find it difficult to keep my mind on things,I am spontaneous,I am easily distracted,I feel indifferent to what is going on around me
Often,Almost Always,Almost Always,Hardly Ever,Almost Always,Occasionally,Almost Always,Hardly Ever,Often,Often,Occasionally,Often,Occasionally,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Often,Almost Always,Often,Often,Often,Hardly Ever
Almost Always,Hardly Ever,Occasionally,Hardly Ever,NA,Always,NA,Often,NA,Often,Almost Always,Often,Occasionally,Often,Often,Often,Occasionally,Often,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally
Often,Occasionally,Occasionally,Hardly Ever,Occasionally,Occasionally,Often,Often,Hardly Ever,Almost Always,Occasionally,Often,Occasionally,Often,Hardly Ever,NA,Occasionally,Almost Always,Often,Hardly Ever,Often,Often,Often,NA
Hardly Ever,Occasionally,Almost Always,Occasionally,Almost Always,NA,Often,Often,NA,Often,Occasionally,Hardly Ever,Often,Often,NA,Almost Always,Occasionally,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Often,Occasionally
Occasionally,Hardly Ever,Occasionally,Never,Often,Often,Often,Occasionally,Occasionally,Often,Often,Often,Almost Always,Often,Hardly Ever,Hardly Ever,Often,Occasionally,Often,Occasionally,Almost Always,Occasionally,Often,Often
Occasionally,Occasionally,Almost Always,Always,Almost Always,Often,Almost Always,Almost Always,Always,Often,Almost Always,Hardly Ever,Occasionally,Almost Always,Often,Occasionally,Occasionally,Almost Always,Almost Always,Often,Hardly Ever,Often,Hardly Ever,Hardly Ever
Often,Often,Almost Always,Often,Often,Often,Often,Occasionally,Often,Occasionally,Hardly Ever,Occasionally,Often,Often,Often,Occasionally,Hardly Ever,Often,Often,Often,Hardly Ever,Almost Always,Often,Never
Often,Often,Almost Always,Always,Often,Almost Always,Almost Always,Almost Always,Hardly Ever,Occasionally,Never,Often,Often,Often,Occasionally,Almost Always,Often,Often,Often,Occasionally,Often,Often,Often,Hardly Ever
Hardly Ever,Often,Always,Often,Almost Always,Hardly Ever,Almost Always,Often,Occasionally,Often,Often,Occasionally,Often,Hardly Ever,Often,Often,Often,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Often,Hardly Ever
Often,Occasionally,Often,Hardly Ever,Often,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Hardly Ever,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Often
Often,Occasionally,Often,Almost Always,Often,Often,Always,Almost Always,Occasionally,Often,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Always,Almost Always,Often,Often,Almost Always,Occasionally,Almost Always
Always,Occasionally,Often,Almost Always,Always,Almost Always,Occasionally,Almost Always,[NO ENTRY],Hardly Ever,Often,Occasionally,Never,Often,Never,Almost Always,Occasionally,Often,Often,Often,Often,Often,Often,Occasionally
Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Almost Always,Often,Often,Often,Often,Always,Hardly Ever,Almost Always,Always,Always,Occasionally
Often,Occasionally,Occasionally,Often,Often,Often,Often,Often,Often,Never,Almost Always,Hardly Ever,Hardly Ever,Often,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Almost Always,Often,Often,Often
Often,Hardly Ever,Often,Often,Often,Occasionally,Often,Often,Occasionally,Hardly Ever,Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Often,Occasionally
Hardly Ever,Occasionally,Occasionally,Always,Almost Always,Often,Occasionally,Often,Hardly Ever,Almost Always,Never,Often,Occasionally,Often,Often,Almost Always,Often,Often,Hardly Ever,Hardly Ever,Hardly Ever,Almost Always,Never,Almost Always
Occasionally,Occasionally,Almost Always,Occasionally,Occasionally,Often,Often,Hardly Ever,Occasionally,Often,Almost Always,Often,Often,Often,Occasionally,Occasionally,Occasionally,Often,Often,Often,Often,Occasionally,Often,Occasionally
Occasionally,Occasionally,Occasionally,Often,Hardly Ever,Almost Always,Occasionally,Often,Often,Hardly Ever,Almost Always,Almost Always,Often,Always,Often,Often,Often,Often,Always,Hardly Ever,Never,Occasionally,Almost Always,Hardly Ever
Occasionally,Occasionally,Often,Occasionally,Often,Often,Almost Always,Occasionally,Occasionally,Almost Always,Occasionally,Hardly Ever,Often,Occasionally,Never,Often,Often,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Often,Occasionally
Occasionally,Occasionally,Hardly Ever,Hardly Ever,Often,Often,Occasionally,Often,Occasionally,Often,Almost Always,Almost Always,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Often,Occasionally,Often,Occasionally,Occasionally,Hardly Ever
Occasionally,Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Often,Occasionally,Always,Occasionally,Almost Always,Often,Often,Often,Often,Occasionally,Hardly Ever,Often,Hardly Ever,Occasionally,Often,Hardly Ever,Occasionally
Always,Hardly Ever,Almost Always,Often,Almost Always,Almost Always,Almost Always,Occasionally,Almost Always,Often,Always,NA,Occasionally,Hardly Ever,NA,Occasionally,Often,Often,Almost Always,Often,Often,Often,Almost Always,Occasionally
Occasionally,Hardly Ever,Often,Often,Almost Always,Occasionally,Often,Occasionally,Almost Always,Almost Always,Occasionally,Occasionally,Almost Always,Often,Occasionally,Almost Always,Occasionally,Often,Occasionally,Often,Almost Always,Always,Hardly Ever,Occasionally
Often,Occasionally,Often,Hardly Ever,Almost Always,Occasionally,Almost Always,Often,Often,Often,Occasionally,Occasionally,Often,Hardly Ever,Almost Always,Almost Always,Occasionally,Often,Occasionally,Almost Always,Often,Almost Always,Often,Often
Hardly Ever,Occasionally,Often,Hardly Ever,Often,Hardly Ever,Always,Often,Often,Often,Occasionally,Almost Always,Always,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally
Often,Hardly Ever,Hardly Ever,Occasionally,Occasionally,Almost Always,Occasionally,Often,Never,Often,Almost Always,Almost Always,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Hardly Ever,Often,Always
Hardly Ever,Often,Often,Almost Always,Occasionally,Hardly Ever,Occasionally,Always,Often,Often,Occasionally,Occasionally,Often,Almost Always,Often,Occasionally,Occasionally,Often,Never,Occasionally,Occasionally,Almost Always,Often,Occasionally
Occasionally,Occasionally,Almost Always,Often,Often,Often,Always,Always,Almost Always,Occasionally,Often,Often,Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Often,Almost Always,[NO ENTRY],Occasionally,Occasionally,Always,Hardly Ever
Often,Often,Often,Often,Almost Always,Often,Often,Occasionally,Often,Occasionally,Occasionally,Hardly Ever,Often,Often,Often,Often,Almost Always,Occasionally,Always,Often,Almost Always,Occasionally,Almost Always,Occasionally
Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Occasionally,Often,Hardly Ever,Often,Occasionally,Occasionally,Often,Occasionally,Often,Almost Always,Often,Often,Hardly Ever,Occasionally,Occasionally,Often,Occasionally,Often
Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Almost Always,Often,Occasionally,Hardly Ever,Occasionally,Almost Always,Occasionally,Never,Often,Often,Occasionally,Occasionally,Often,Almost Always,Hardly Ever,Often,Almost Always
Occasionally,Often,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Often,Almost Always,Almost Always,Almost Always,Occasionally,Often,Almost Always,Often,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Almost Always,Occasionally
Hardly Ever,Almost Always,Always,Almost Always,Occasionally,Never,Almost Always,Often,Often,Almost Always,Occasionally,Often,Almost Always,Often,Hardly Ever,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Often,Never,Occasionally
Hardly Ever,Occasionally,Occasionally,Almost Always,Occasionally,Often,Occasionally,Almost Always,Hardly Ever,Almost Always,Never,Almost Always,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Often
Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Often,Almost Always,Almost Always,Often,Hardly Ever,Often,Often,Hardly Ever,Often,Often,Often,Often,Hardly Ever,Often,Occasionally,Always,Hardly Ever,Hardly Ever,Occasionally
Often,Often,Hardly Ever,Occasionally,Often,Almost Always,Often,Almost Always,Occasionally,Often,Often,Often,Often,Often,Occasionally,Occasionally,Often,Often,Often,Occasionally,Often,Hardly Ever,Occasionally,Occasionally
Hardly Ever,Always,Often,Often,Often,Almost Always,Often,Occasionally,Often,Occasionally,Often,Hardly Ever,Often,Often,Occasionally,Often,Occasionally,Always,Occasionally,Occasionally,Often,Often,Never,Often
Hardly Ever,Occasionally,Almost Always,Occasionally,Almost Always,Occasionally,Always,Always,Often,Never,Often,Occasionally,Occasionally,Often,Never,Often,Often,Often,Almost Always,Occasionally,Often,Occasionally,Occasionally,Occasionally
Almost Always,Never,Often,Hardly Ever,Often,Almost Always,Often,Never,Occasionally,Hardly Ever,Almost Always,Almost Always,Hardly Ever,Never,Often,Hardly Ever,Often,Never,Always,Occasionally,Always,Hardly Ever,Often,Often
Occasionally,Occasionally,Occasionally,Always,Occasionally,Almost Always,Occasionally,Almost Always,Often,Almost Always,Often,Almost Always,Always,Occasionally,Occasionally,Hardly Ever,Occasionally,Often,Often,Occasionally,Often,Almost Always,Occasionally,Often
Often,Hardly Ever,Almost Always,Almost Always,Almost Always,Hardly Ever,Always,Almost Always,Always,Always,Occasionally,Hardly Ever,Always,Almost Always,Occasionally,Almost Always,Often,Often,Often,Almost Always,Hardly Ever,Always,Occasionally,Never
Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Often,Often,Occasionally,Never,Almost Always,Almost Always,Often,Occasionally,Occasionally,Often,Occasionally,Often,Hardly Ever,Always,Hardly Ever,Almost Always,Never,Almost Always,Almost Always
Occasionally,Hardly Ever,Often,Often,Hardly Ever,Occasionally,Often,Often,Often,Often,Never,Always,Occasionally,Often,Often,Often,Hardly Ever,Often,Never,Hardly Ever,Occasionally,Occasionally,Occasionally,Hardly Ever
Often,Hardly Ever,Often,Often,Often,Almost Always,Almost Always,Often,Often,Hardly Ever,Occasionally,Often,Almost Always,Occasionally,Often,Often,Occasionally,Often,Often,Almost Always,Often,Almost Always,Always,Hardly Ever
Hardly Ever,Occasionally,Almost Always,Often,Almost Always,Often,Often,Almost Always,Hardly Ever,Almost Always,Occasionally,Hardly Ever,Often,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Often,Almost Always,Occasionally,Almost Always,Occasionally,Hardly Ever
Often,Hardly Ever,Hardly Ever,Often,Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Almost Always,Almost Always,Almost Always,Occasionally,Occasionally,Often,Hardly Ever,Almost Always,Hardly Ever,Often,Often,Hardly Ever,Often
Often,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Often,Often,Often,Occasionally,Often,Hardly Ever,Often,Often,Never,Often,Often,Often,Hardly Ever,Often,Hardly Ever,Always,Always
Occasionally,Often,Almost Always,Often,Often,Often,Almost Always,Occasionally,Often,Almost Always,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Occasionally,Never,Occasionally,Hardly Ever,Often,Occasionally,Almost Always,Hardly Ever,Hardly Ever
Hardly Ever,Often,Often,Almost Always,Almost Always,Occasionally,Always,Always,Often,Often,Occasionally,Occasionally,Almost Always,Often,Hardly Ever,Occasionally,Often,Often,Occasionally,Occasionally,Often,Never,Hardly Ever,Often
Occasionally,Often,Often,Often,Occasionally,Hardly Ever,Often,Almost Always,Occasionally,Almost Always,Often,Occasionally,Often,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally
Often,Often,Occasionally,Often,Occasionally,Hardly Ever,Occasionally,Often,Hardly Ever,Almost Always,Often,Often,Occasionally,Almost Always,Often,Almost Always,Often,Occasionally,Almost Always,Hardly Ever,Almost Always,Occasionally,Often,Occasionally
Often,Hardly Ever,Often,Often,Often,Often,Occasionally,Almost Always,Occasionally,Occasionally,Almost Always,Often,Often,Occasionally,Often,Occasionally,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Often,Occasionally
NA,Hardly Ever,Occasionally,Occasionally,Occasionally,Often,Occasionally,Always,NA,Often,Often,Almost Always,Often,Occasionally,Always,Often,Occasionally,Occasionally,NA,Hardly Ever,Almost Always,NA,Hardly Ever,Almost Always
Often,Hardly Ever,NA,NA,Often,[NO ENTRY],Often,Occasionally,Occasionally,Hardly Ever,Always,Always,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Occasionally,Occasionally,NA,NA,Occasionally,Often,Often
