id,age,sex,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
R_81EQzblpzdfwJcw,18,Male,right,Wednesday_AM,myself_first,visual_first,14,18,12,18,17,,,28,5,
R_2OHbU0iNw9XRm5s,18,Female,right,Wednesday_AM,myself_first,visual_first,9,21,17,15,17,,,20,2,15
R_2TNnnWsDfkp0ISv,18,Female,right,Wednesday_AM,partner_first,visual_first,30,,,16,5,15,,18,27,25
R_3wHL7mqrkOzXIlw,19,Female,right,Wednesday_AM,myself_first,visual_first,25.1,28.4,23.7,7.4,7.3,,,,,
R_74vAn9kFP0SqrYt,18,Female,right,Wednesday_AM,partner_first,visual_first,16.9,21.5,17.6,5.1,10,19.6,,10.9,,
R_8PtEVJlyNJ2ULzu,18,Male,right,Wednesday_AM,partner_first,visual_first,17,21.7,18.9,19.9,16,11,21.7,26.2,26.2,
R_8nVLPlLpeip4nbe,18,Male,right,Wednesday_AM,myself_first,visual_first,19.2,17.5,18.5,14,9,,23.1,9.5,17.4,15.8
R_8Q79gpQGHacwogh,18,Male,right,Wednesday_AM,partner_first,visual_first,,,,19,22,7,12,21,27,10
R_8fn0wdAqgsaCjq9,18,Female,right,Wednesday_AM,partner_first,auditory_first,24,25,26,14,22,,,,,
R_8chbOw7ohInYhfm,18,Female,right,Wednesday_AM,myself_first,visual_first,14,,,,,19.5,,,,
R_8CoYqowGAEeh8yJ,18,Female,right,Wednesday_AM,partner_first,,11,7,10,14,22,,2.6,16,,
R_8OPNI5jgNwirN7J,21,Male,right,Wednesday_AM,partner_first,visual_first,30,,21,20,28,,,,18,
R_8AVtyPhLDmhjz4l,18,Female,right,Wednesday_AM,myself_first,visual_first,28,,17,26,10,3,,21,23,
R_27Ha308H1dRpMKj,17,Female,right,Wednesday_AM,myself_first,visual_first,13,22,7,9,23,12,,21,26,
R_8spEwbP9Rltqbzz,18,Female,right,Wednesday_AM,partner_first,auditory_first,,,,,,2,6.5,,20,
R_8zdapObrxpBXygh,18,Female,right,Wednesday_AM,partner_first,visual_first,7,20,10,1,13,19,,23,3,7
R_21qyYZ0xTzqowX7,18,Female,right,Wednesday_AM,partner_first,visual_first,15,18,25,17,8,,,18,,4
R_8OAix8CXp9kh70t,18,Female,right,Wednesday_AM,partner_first,visual_first,19,14.5,,20,12,,4,11,17.5,
R_8MRw1flN9nHFaFP,17,Female,right,Wednesday_AM,partner_first,,21,29,25,26,22,,,,,16
R_23wwyhIdjHmBZzb,18,Female,right,Wednesday_AM,partner_first,visual_first,11,10,18,12,14,,17,,13, 
R_2D60QDRdDWNgkqw,20,Female,right,Wednesday_AM,myself_first,visual_first,17.5,16.6,13.2,16.2,15.5,6,22.5,25,27,22.4
R_8e27kPILl8V4GcF,19,Female,left,Wednesday_AM,partner_first,visual_first,20,18.4,13.7,13.2,15.7,1.5,29,15.8,16.1,19
R_8F43DEVwabhwDrX,18,Male,right,Wednesday_AM,myself_first,auditory_first,24,11.5,14,3,20,2,6.5,,20,
R_8MSfKZhlUGgrC1m,18,Female,right,Wednesday_AM,partner_first,auditory_first,20,,4,2,2,24,14,3,20,20
R_83dygxqRSjYAhPA,32,Female,right,Wednesday_AM,partner_first,auditory_first,24,11,14,3,20,2,6.5,,20,
R_8TCd1SlImJC4xT4,18,Female,right,Wednesday_AM,myself_first,visual_first,16,27,14.5,28.5,21.5,4,,3,15,
R_2LkhMfJtaImHprV,17,Male,right,Wednesday_AM,partner_first,visual_first,23,3.5,6.5,18,,4,16,0.1,7.5,5.5
R_8LAJgv5iKxqx6et,18,Male,right,Wednesday_AM,partner_first,visual_first,,29,16.5,35,,,,,,29
R_2fvBKP7Vg9hcFDK,17,Prefer not to say,right,Wednesday_AM,partner_first,visual_first,21,13,10.5,15,2,,,,25,1
R_8RgRxVgZDzD4K7K,18,Female,right,Wednesday_AM,myself_first,visual_first,23,,22.8,10,,13,,1,26,4
R_8HnurfW3FkrEJLQ,18,Female,right,Wednesday_AM,partner_first,visual_first,17.6,11.5,5.7,10.3,3.2,3.1,4.1,7.9,8.9,1.4
R_8NBymRHAMBk9XX3,19,Female,right,Friday_AM,myself_first,visual_first,8,20,19,15,18,27,,18,9,10
R_8vAz0c6VzxRwjAt,19,Female,right,Friday_AM,partner_first,auditory_first,10,23,14,16,12,1,8,27,6,
R_2g14aDSn4dodeNK,20,Female,right,Friday_AM,myself_first,visual_first,30,,16,30,19,,15,,,
R_8dYXop3ImmLzwDl,19,Female,right,Friday_AM,partner_first,visual_first,7,19,17,14,14,,8,28,7,15
R_2IxONiWf7VrTyox,18,Female,right,Friday_AM,myself_first,auditory_first,18,13,27,22,17,27.5,,15,29,28
R_2yd5vefcouoX5GI,18,Female,right,Friday_AM,partner_first,visual_first,,15,18,3.3,4.8,20.2,9.1,24.1,15.1,16.2
R_8S3lqFF0D2d3SIg,18,Female,right,Friday_AM,myself_first,visual_first,13.5,14,11.5,15,10,14,16,20,,
R_8duKe2bO48DMYf4,19,Male,right,Friday_AM,partner_first,visual_first,9,19,6,5,12,,20,6,15,6
R_89h8sxrflZWUcRS,18,Female,right,Friday_AM,myself_first,auditory_first,12,6.5,10,10,8.04,16,5,,1,
R_8o3WXJqFUGYoHDP,18,Male,right,Friday_AM,myself_first,visual_first,21,11,11,17,17,10,14,,7,
R_8YG8BQUICubqTYn,19,Male,right,Friday_AM,partner_first,visual_first,19,16.5,9.5,12.5,8,16,17,21,,1
R_2LYlsADJ5HnY281,17,Male,right,Friday_AM,myself_first,visual_first,16,15,14,11.5,15,25,18,18,16,7
R_80Gjw7foQzlJR5C,19,Male,left,Friday_AM,partner_first,,20,10,15,,11,4,24,,25,
R_2BInAAMR6QRT3qx,19,Female,right,Friday_AM,partner_first,auditory_first,8,10,4,9,10,10,14,,7,
R_8NR5H4al171plC8,48,Female,right,Friday_AM,partner_first,visual_first,23,22,21,,6,5,,,,
R_2MKl3t72MRDV5zW,35,Female,right,Friday_AM,myself_first,visual_first,6,7,12,2,6,6,,25,,10
R_8Y4CjGvVuK1AU7n,17,Female,right,Friday_AM,myself_first,visual_first,17,19,12.5,16,11.5,11,21.5,22,7,21
R_20o3V4l4ab2serG,18,Female,right,Friday_AM,partner_first,visual_first,20,13,20,18,16,5.5,22,7.5,14,19
R_8meKAbgvDtBPd,35,Female,right,Friday_AM,myself_first,visual_first,18,10,13,18,9,15,15,10,16,17
R_2qvCnDwcGm8TRKh,17,Female,right,Friday_AM,myself_first,visual_first,15,9,14,6,4,5,7,13,11,14
R_8HkmX1Tgb803c2W,18,Male,right,Friday_AM,partner_first,visual_first,18,23,20,18,6,5,6,26,,
R_2hA6dQjmT28i0vg,20,Female,right,Friday_AM,myself_first,visual_first,14,24,8,,,12,10,7,,
R_8EalrsocLF48YQR,17,Female,right,Friday_AM,myself_first,visual_first,25,18,17,22,19,27,,22,21,
R_8oc0KGHhzjbY3ff,18,Female,right,Friday_AM,myself_first,visual_first,21,8,28,26,15,20,23,13,15,15
R_81MAHv0IXy6g3K1,18,Female,right,Friday_PM,partner_first,auditory_first,15,14.5,12,15,20,27,16,8,17,5
R_2jTrJPOkjgWulEt,19,Female,right,Friday_PM,myself_first,visual_first,17,14.6,15,20.5,14.6,21.5,14,11.3,7,2
R_2TOhb6OWVv4LyXN,18,Female,right,Friday_PM,myself_first,visual_first,13.2,27.8,12,16.3,19,,,18,23,15.2
R_8ohGOhgrjHNcXCF,18,Female,right,Friday_PM,myself_first,auditory_first,,16,20,16,19,,,20.5,,
R_2d5qyn1LvsdygUl,19,Female,right,Friday_PM,partner_first,auditory_first,16,18,19,9,13,,10,18,,
