"ppt","rt","height"
1,435.5,168
2,503.3,164
3,678.5,169
4,421.2,168
5,535,159
6,436.5,161
7,428,174
8,403,177
9,484.2,169
10,500.1,166
11,536.9,181
12,454.6,172
13,514.1,160
14,577.5,169
15,396.2,178
16,433.4,168
17,471.9,169
18,640,168
19,722.6,179
20,486.2,171
21,372.9,172
22,926.3,165
23,639.2,164
24,579.5,158
25,519.1,181
26,425.8,183
27,582,181
28,481.7,179
29,501.3,175
30,352.7,165
31,755.2,180
32,339.8,160
33,616.7,148
34,421.3,171
35,500.7,179
36,664.6,167
37,413.4,179
38,452.4,168
39,695.6,176
40,592.8,178
41,414.5,164
42,465.2,175
43,570.7,164
44,539.7,167
45,477.3,199
46,480.8,167
47,473,176
48,485.3,174
49,459.5,166
50,546.6,174
51,404,167
52,520.1,160
53,462.4,167
54,527.6,171
55,512.1,181
56,351.3,174
57,440.4,164
58,532.2,170
59,458.1,165
60,448,180
61,436.4,176
62,501.3,165
63,590.6,175
64,420.4,166
65,749.8,173
66,566.7,164
67,831.3,177
68,443.5,169
69,460.1,163
70,748.2,162
71,384.9,182
72,649.9,161
73,376.4,179
74,641.8,161
75,379,182
76,704.4,169
77,540.8,178
78,408,167
79,630,172
80,424.3,156
81,497.3,164
82,521.4,176
83,365.6,172
84,414.8,174
85,671.4,165
86,558.1,167
87,644.9,172
88,579.9,183
89,657.2,164
90,447.7,169
91,571.2,165
92,589.6,165
93,403.8,177
94,500.5,172
95,411.9,172
96,687.5,165
97,736.4,171
98,844.3,168
99,616.2,176
100,774.2,176
101,501.5,172
102,421.1,176
103,805.1,159
104,569.5,174
105,372.1,173
106,420.9,177
107,564.3,166
108,403.8,170
109,387.9,189
110,391.4,175
111,506.6,180
112,457.3,177
113,478.5,158
114,566.7,171
115,610.9,177
116,473.8,170
117,411.8,173
118,399.2,173
119,734.6,175
120,480.6,165
121,360.9,175
122,360.1,167
123,594.2,174
124,563.7,171
125,518.3,168
126,631.4,173
127,775.6,158
128,629.6,176
129,439.6,156
130,526.6,176
131,477.4,167
132,975.6,168
133,647.3,169
134,463.7,165
135,349.5,170
136,643.2,184
137,416.4,172
138,397.9,161
139,537.3,166
140,607.6,169
141,324.3,160
142,611.5,155
143,588.9,170
144,459.1,183
145,390.3,174
146,464.2,168
147,516.1,172
148,368.5,168
149,547.3,166
150,436.1,152
151,696.6,169
152,779.4,172
153,809,153
154,654.5,165
155,410.3,168
156,585.4,166
157,403.9,163
158,637.3,167
159,485.1,180
160,452.4,166
161,690.5,164
162,729.8,166
163,378.7,178
164,642.9,178
165,664.7,172
166,558.7,173
167,928.7,172
168,510.4,174
169,485.9,170
170,689.6,161
171,436.6,167
172,608,169
173,815.2,171
174,479.4,171
175,452.1,166
176,523.1,170
177,778.8,175
178,497.7,150
179,465.7,169
180,594.4,168
181,808.9,159
182,394.2,164
183,610.8,178
184,415.9,164
185,398,180
186,755.8,166
187,444.6,178
188,478.3,160
189,745.2,166
190,387.3,168
191,553.7,177
192,586.3,164
193,557.2,167
194,433.9,168
195,522.2,167
196,630.7,159
197,550.1,169
198,401.7,177
199,347.8,161
200,620,170
201,667.2,162
202,525.3,184
203,465.4,161
204,515,173
205,410.2,168
206,583.8,171
207,513.1,180
208,644.7,164
209,442,160
210,530.8,170
211,616.9,160
212,441,172
213,557.4,170
214,420.2,156
215,598,177
216,409.4,172
217,427.2,153
218,832.1,172
219,645.6,177
220,469.9,184
