motiv,funding,schoolid,grade
6.78,5.51,North West Community Campus,41.89
5.13,5.51,North West Community Campus,45.14
6.11,5.51,North West Community Campus,33.01
4.29,5.51,North West Community Campus,29.86
7.640000000000001,5.51,North West Community Campus,19.78
6.39,5.51,North West Community Campus,53.87
4.59,5.51,North West Community Campus,40.13
5.89,5.51,North West Community Campus,59.58
7.88,5.51,North West Community Campus,54.17
4.88,5.51,North West Community Campus,37.91
5.27,5.51,North West Community Campus,66.58
6.11,5.51,North West Community Campus,42.05
6.51,5.51,North West Community Campus,53.53
5.93,5.51,North West Community Campus,19.94
5.99,5.51,North West Community Campus,52.84
5.02,5.51,North West Community Campus,51.58
7.73,5.51,North West Community Campus,61.32
6.17,5.51,North West Community Campus,29.79
6.35,5.51,North West Community Campus,28.33
5.09,5.51,North West Community Campus,33.97
7.02,5.51,North West Community Campus,64.45
5.96,5.51,North West Community Campus,53.79
6.51,5.51,North West Community Campus,39.03
5.37,5.51,North West Community Campus,39.83
5.78,5.51,North West Community Campus,46.79
6.85,5.51,North West Community Campus,42.55
5.05,5.51,North West Community Campus,33.16
6.74,5.51,North West Community Campus,73.19
5.13,5.51,North West Community Campus,66.91
6.34,5.51,North West Community Campus,43.64
4.21,5.62,Paisley Grammar School,64.76
5.55,5.62,Paisley Grammar School,45.66
5.88,5.62,Paisley Grammar School,32.54
4.82,5.62,Paisley Grammar School,36.6
3,5.62,Paisley Grammar School,37.44
4.08,5.62,Paisley Grammar School,45.46
3.92,5.62,Paisley Grammar School,35.94
6.1899999999999995,5.62,Paisley Grammar School,46.87
3.79,5.62,Paisley Grammar School,26.97
4.29,5.62,Paisley Grammar School,31.41
6.87,5.62,Paisley Grammar School,37.18
3.9,5.62,Paisley Grammar School,43.17
5.24,5.62,Paisley Grammar School,28.23
4.89,5.62,Paisley Grammar School,26.07
6.58,5.62,Paisley Grammar School,56.11
4.53,5.62,Paisley Grammar School,43.67
2.82,5.62,Paisley Grammar School,59.67
5.23,5.62,Paisley Grammar School,51.3
4.89,5.62,Paisley Grammar School,19.42
6.26,5.62,Paisley Grammar School,28.41
4.51,5.62,Paisley Grammar School,43.26
4,5.62,Paisley Grammar School,23.84
3.8899999999999997,5.62,Paisley Grammar School,57.46
5.48,5.62,Paisley Grammar School,23.02
4.85,5.62,Paisley Grammar School,33.92
5.58,5.62,Paisley Grammar School,45.04
4.26,5.62,Paisley Grammar School,37.08
6.38,5.62,Paisley Grammar School,45.67
5.6,5.62,Paisley Grammar School,60.52
4.5,5.62,Paisley Grammar School,49.49
7.23,4.74,Strathaven Academy,54.37
8.48,4.74,Strathaven Academy,59.05
7.21,4.74,Strathaven Academy,59.71
6.92,4.74,Strathaven Academy,58.59
6.39,4.74,Strathaven Academy,54.35
7.2,4.74,Strathaven Academy,52.16
5.87,4.74,Strathaven Academy,51.23
7.83,4.74,Strathaven Academy,43.96
6.3100000000000005,4.74,Strathaven Academy,42.74
4.84,4.74,Strathaven Academy,45.72
6.9,4.74,Strathaven Academy,38.19
6.4,4.74,Strathaven Academy,50.17
7.08,4.74,Strathaven Academy,70.83
5.99,4.74,Strathaven Academy,35.93
8.54,4.74,Strathaven Academy,48.26
9.620000000000001,4.74,Strathaven Academy,84.33
4.93,4.74,Strathaven Academy,54.27
5.88,4.74,Strathaven Academy,62.67
7.16,4.74,Strathaven Academy,32.86
8.6,4.74,Strathaven Academy,69.55
7.720000000000001,4.74,Strathaven Academy,59.07
7.09,4.74,Strathaven Academy,65.48
7.54,4.74,Strathaven Academy,50.87
6.03,4.74,Strathaven Academy,58.27
6.67,4.74,Strathaven Academy,73.92
7.18,4.74,Strathaven Academy,63.37
5.51,4.74,Strathaven Academy,65.66
8.21,4.74,Strathaven Academy,49.87
7.83,4.74,Strathaven Academy,69.57
6.73,4.74,Strathaven Academy,51.6
5.7,5.1,Gleniffer High School,23.91
2.94,5.1,Gleniffer High School,24.21
4.87,5.1,Gleniffer High School,64.45
6.29,5.1,Gleniffer High School,26.32
4.8,5.1,Gleniffer High School,45.99
4.6,5.1,Gleniffer High School,51.41
4.5,5.1,Gleniffer High School,59.56
3.75,5.1,Gleniffer High School,35.01
5.06,5.1,Gleniffer High School,39.56
3.35,5.1,Gleniffer High School,39.9
5.63,5.1,Gleniffer High School,41.79
4.23,5.1,Gleniffer High School,27.37
5.11,5.1,Gleniffer High School,41.48
5.75,5.1,Gleniffer High School,47.7
5.13,5.1,Gleniffer High School,45.43
4.94,5.1,Gleniffer High School,43.02
4.1,5.1,Gleniffer High School,27.21
7.6899999999999995,5.1,Gleniffer High School,56.18
4.1,5.1,Gleniffer High School,48.87
3.05,5.1,Gleniffer High School,16.3
6.08,5.1,Gleniffer High School,47.49
2.81,5.1,Gleniffer High School,39.53
3.94,5.1,Gleniffer High School,29.35
5.57,5.1,Gleniffer High School,53.79
4.71,5.1,Gleniffer High School,54.1
4.03,5.1,Gleniffer High School,35.91
4.83,5.1,Gleniffer High School,47.67
4.76,5.1,Gleniffer High School,46.37
5.54,5.1,Gleniffer High School,29.52
5.29,5.1,Gleniffer High School,36.49
4.45,4.79,Balfron High School,51.52
4.28,4.79,Balfron High School,39.84
3.6799999999999997,4.79,Balfron High School,32.36
4.63,4.79,Balfron High School,60.58
4.55,4.79,Balfron High School,36.06
4.86,4.79,Balfron High School,52.22
