schoolid,ABS,year,childid,siblings
school27,0.08336198391684162,17,child16,yes
school11,0.602032557554346,18,child15,no
school8,-0.2035778101486258,13,child18,yes
school12,1.757469878841489,17,child4,yes
school27,0.839032353486079,17,child14,yes
school21,0.14642152596307606,17,child18,yes
school22,2.623333847059035,18,child12,no
school10,0.681915283204085,13,child15,yes
school30,-0.6344670156346072,13,child18,yes
school18,-0.3123448604404541,12,child8,no
school6,0.6478686512205855,16,child10,no
school25,0.598112070791173,17,child8,no
school13,-0.02992499449395077,18,child16,yes
school29,0.927067122504566,18,child10,no
school23,1.5819939980133735,18,child15,yes
school26,1.2327125093873987,18,child5,no
school8,0.6635696650954608,16,child11,yes
school30,-0.3082738790770531,12,child10,yes
school13,0.9363743498726901,17,child16,yes
school22,-1.217116607386384,13,child17,no
school22,-0.594969451549578,14,child7,yes
school9,0.8108494211889105,16,child8,yes
school21,-1.6870037364794868,18,child13,yes
school18,0.14331458644025902,15,child7,yes
school9,-0.5466895297472061,13,child6,no
school23,0.99268760482608,15,child4,no
school25,1.069727191381547,13,child7,yes
school4,-0.34974161891227334,18,child7,no
school17,0.2623430016678882,12,child18,no
school13,1.7382673602988308,12,child2,yes
school15,-0.009449849538728721,18,child12,no
school22,-1.0995726669861503,13,child2,no
school2,-1.5052164276845654,12,child13,no
school15,-1.0999839724810208,15,child14,no
school25,0.689735942714922,18,child17,no
school11,-0.8267256005761314,13,child13,yes
school29,-0.49140118487352197,17,child12,no
school1,-1.2195688288116264,14,child9,no
school28,-0.2290125406231601,16,child3,no
school5,1.6744430171881735,18,child11,no
school20,1.9735063398483774,12,child16,yes
school23,2.027589172114439,12,child8,yes
school8,-0.1388267469715384,16,child18,yes
school4,-0.4667459101901304,12,child16,no
school4,-0.10608405321181481,15,child1,yes
school14,0.7819695911513,15,child7,no
school26,1.0582455018121424,16,child1,no
school13,2.334708387551878,15,child15,yes
school25,0.8733058777897796,12,child20,no
school30,1.1070639017866877,13,child17,yes
school18,-0.4781213077929527,18,child3,no
school21,-0.712009976324899,15,child11,yes
school9,0.6229984703414349,17,child2,yes
school5,0.3792962647715087,13,child1,yes
school22,-0.5768483272996012,16,child15,no
school26,-0.6267123488939952,17,child10,no
school26,1.4683149954797925,13,child16,no
school22,-0.8269069977280801,15,child2,no
school29,0.25728771085849195,18,child2,no
school30,-0.8700324041343089,18,child12,no
school19,2.1633266993874862,18,child19,no
school16,0.8897539977272471,17,child3,yes
school25,1.426656581886313,16,child18,no
school5,1.3827799377927863,14,child15,yes
school30,-1.308441638658599,18,child9,yes
school27,1.8004570393780543,18,child9,no
school10,-0.40607789816139783,16,child3,no
school9,1.127440135178666,16,child16,yes
school5,0.4817269537001889,12,child2,no
school3,-1.8833742944612668,12,child15,yes
school22,-3.479266772519318,12,child9,no
school16,-0.9613344960321903,13,child18,yes
school24,-0.39237972798769394,12,child7,no
school14,0.5997828492352614,18,child17,yes
school16,-2.029493945620728,14,child4,no
school5,0.3977904119882432,18,child15,yes
school8,1.6114692716678485,17,child13,yes
school1,-2.01313907504547,13,child4,yes
school3,-0.16263747914725973,12,child7,no
school20,-0.4553279160710985,17,child12,no
school10,-0.24894640344699964,14,child11,no
school17,0.8251253353230701,17,child9,yes
school25,-0.08587014533252897,14,child1,no
school27,-0.21523533081077748,16,child16,yes
school3,0.14592785787586812,15,child15,yes
school30,-0.2233644026328989,16,child9,yes
school11,-1.8658719184211652,13,child8,yes
school19,0.5195546083527091,16,child12,no
school19,0.39976463390577177,14,child18,yes
school10,0.4283787963926587,13,child10,no
school5,-0.0865903183396214,16,child18,yes
school9,1.1370950053617073,13,child10,yes
school29,-0.8934077162036655,16,child19,yes
school25,9.746158288788599e-4,15,child2,yes
school7,0.42921519181935414,14,child14,yes
school28,0.21741162801885533,16,child8,yes
school15,0.860353383669438,15,child1,yes
school25,2.185537109750708,15,child16,yes
