v5,v6,kstot,age,male,toomuchscience,solveprob
1,2,12,35,1,2,0
2,2,11,34,0,1,1
3,2,7,40,0,,
4,2,9,32,0,3,0
5,2,6,35,0,3,1
6,2,11,67,1,,
7,2,9,37,0,1,0
9,2,8,44,0,,
10,2,5,63,1,2,1
11,2,6,36,1,1,1
13,2,7,24,1,3,1
14,2,9,50,0,,
15,2,12,57,1,0,2
17,2,10,64,1,3,1
19,2,11,31,0,3,0
21,2,8,28,1,1,1
22,2,8,41,0,2,2
23,2,8,34,1,,
25,2,8,24,0,,
26,2,11,68,0,0,0
27,2,8,58,1,4,0
28,2,8,55,1,,
29,2,10,83,0,,
30,2,9,53,0,,
31,2,8,16,0,,
32,2,10,70,1,,
33,2,11,19,0,4,1
34,2,9,38,0,2,1
35,2,9,53,0,,
36,2,5,72,0,1,0
37,2,9,53,0,3,0
38,2,9,50,0,,
39,2,12,52,0,,
41,2,11,67,1,0,3
42,2,7,27,0,,
43,2,13,37,1,1,3
44,2,9,38,1,0,0
45,2,11,54,0,2,2
46,2,12,17,1,,
47,2,9,57,0,,
48,2,11,32,1,,
49,2,12,59,1,1,1
50,2,10,47,0,,
51,2,12,30,1,,
52,2,11,48,1,,
53,2,10,38,1,,
54,2,12,25,1,,
55,2,10,69,0,2,1
56,2,12,51,1,,
57,2,7,45,0,,
58,2,6,45,0,,
59,2,7,47,1,1,1
60,2,9,70,1,4,0
64,2,9,16,0,4,0
66,2,10,73,1,,
67,2,9,51,1,,
68,2,12,39,1,0,0
69,2,12,31,0,,
70,2,13,18,0,1,0
71,2,8,21,1,4,1
72,2,4,69,1,1,3
73,2,9,52,0,,
74,2,9,60,1,3,1
75,2,9,32,0,3,2
76,2,10,37,1,0,1
77,2,7,57,0,2,1
78,2,11,40,1,,
79,2,10,38,1,,
80,2,12,19,1,1,0
82,2,6,32,1,3,3
83,2,7,16,1,0,1
84,2,11,24,1,2,1
85,2,9,44,1,0,1
86,2,12,50,1,1,1
87,2,9,28,0,,
88,2,11,19,0,,
89,2,13,41,1,3,1
90,2,10,28,0,1,1
91,2,11,73,1,,
92,2,10,60,1,1,0
94,2,11,33,1,,
95,2,9,54,0,1,1
98,2,11,40,0,0,0
100,2,7,54,1,,
103,2,12,52,1,,
104,2,8,51,1,4,0
105,2,11,58,0,,
106,2,7,46,1,,
107,2,8,33,1,,
108,2,10,40,1,1,2
109,2,9,38,0,2,3
110,2,9,19,0,2,1
111,2,9,53,0,,
113,2,12,16,0,0,1
114,2,10,56,1,,
115,2,5,46,1,,
116,2,13,25,0,,
118,2,11,40,0,,
119,2,10,58,1,1,1
120,2,11,37,0,,
121,2,11,45,0,,
122,2,3,15,0,,
123,2,9,53,1,1,1
124,2,12,55,1,3,0
125,2,10,66,0,,
127,2,12,41,1,3,1
128,2,10,19,1,,
130,2,10,17,1,4,0
131,2,9,50,1,,
133,2,9,33,0,,
134,2,11,40,1,,
135,2,7,39,1,,
136,2,7,53,0,,
137,2,10,57,1,3,0
138,2,12,59,1,1,0
139,2,7,67,1,,
140,2,9,44,1,,
141,2,9,37,1,1,0
142,2,9,45,0,,
144,2,8,17,1,,
145,2,8,32,1,0,0
146,2,11,47,1,2,0
148,2,9,58,1,3,2
149,2,12,17,0,1,1
152,2,8,54,1,0,4
153,2,13,25,1,3,4
154,2,9,27,1,2,3
155,2,12,29,1,,
156,2,9,45,1,4,0
157,2,10,38,1,4,0
158,2,8,28,0,0,1
159,2,10,30,0,,
160,2,10,30,1,,
161,2,10,31,1,,
162,2,9,48,0,2,1
163,2,10,44,0,2,1
164,2,13,33,1,3,0
165,2,7,38,1,1,1
166,2,9,28,0,,
167,2,8,47,0,2,1
168,2,8,66,0,0,1
169,2,7,41,0,,
170,2,4,25,0,,
171,2,9,27,1,,
172,2,11,25,1,1,1
173,2,11,31,0,,
174,2,12,20,1,,
175,2,10,18,0,3,0
176,2,7,66,0,,
177,2,11,71,1,2,3
178,2,10,48,1,,
179,2,9,42,1,3,1
180,2,13,32,1,3,0
181,2,11,49,1,,
182,2,11,17,0,3,0
183,2,12,30,1,,
184,2,12,36,1,3,1
186,2,7,35,1,,
187,2,11,23,1,,
188,2,13,28,1,,
189,2,12,53,1,,
190,2,13,34,1,1,0
191,2,12,24,1,,
192,2,12,43,1,1,1
193,2,12,21,0,,
194,2,7,51,1,,
195,2,5,41,1,,
196,2,8,35,0,,
197,2,5,42,1,2,3
198,2,5,23,1,,
199,2,9,57,1,3,2
200,2,6,61,1,2,3
201,2,8,58,0,,
202,2,8,48,1,,
204,2,7,47,0,,
205,2,7,28,0,,
206,2,8,37,1,,
207,2,6,57,1,,
208,2,6,48,0,2,2
210,2,9,37,1,,
211,2,12,23,1,3,1
212,2,8,45,1,3,1
213,2,7,35,1,,
214,2,5,48,1,,
215,2,7,35,1,3,2
216,2,8,30,0,,
217,2,6,32,0,,
218,2,12,76,1,1,0
219,2,10,51,1,,
221,2,8,54,1,,
222,2,7,29,0,,
225,2,10,19,0,,
226,2,9,53,1,0,0
227,2,10,36,0,,
228,2,12,26,0,0,4
230,2,10,38,0,4,0
231,2,8,28,1,,
232,2,10,27,1,,
233,2,11,29,0,,
234,2,10,41,1,,
235,2,11,47,1,,
236,2,5,57,0,,
237,2,11,72,0,3,1
239,2,7,36,0,,
240,2,13,19,1,,
241,2,11,73,0,2,0
242,2,11,19,1,,
244,2,13,56,1,1,0
246,2,13,70,0,2,0
248,2,13,37,1,,
249,2,10,22,1,3,1
252,2,13,40,1,,
253,2,10,78,0,,
255,2,9,29,1,,
257,2,11,17,0,0,0
258,2,10,67,1,,
261,2,7,57,0,1,3
262,2,11,56,1,1,0
263,2,12,60,1,0,0
264,2,12,57,1,,
265,2,12,64,1,,
266,2,6,45,0,,
267,2,12,44,0,,
268,2,8,27,0,2,0
270,2,11,46,1,1,1
272,2,9,51,0,0,1
274,2,12,68,1,,
275,2,10,62,0,,
276,2,12,27,1,,
278,2,9,55,0,,
279,2,11,56,0,,
280,2,10,75,1,2,0
281,2,8,54,1,0,0
282,2,8,52,0,4,0
283,2,9,36,0,,
284,2,9,25,1,2,1
285,2,7,18,1,1,3
286,2,7,52,0,,
287,2,12,52,1,,
288,2,8,59,0,1,1
290,2,8,21,1,,
293,2,12,53,1,0,0
294,2,11,53,1,1,1
296,2,11,21,0,,
297,2,12,19,0,1,2
298,2,10,31,0,2,1
299,2,8,64,0,3,2
300,2,10,47,0,1,0
301,2,13,46,1,2,0
302,2,13,39,1,,
303,2,10,60,1,3,1
304,2,7,63,0,0,0
305,2,10,58,0,,
306,2,8,50,0,2,1
307,2,11,46,0,,
309,2,10,53,0,,
310,2,8,37,1,4,1
311,2,7,59,0,,
313,2,11,32,0,,
314,2,9,71,1,,
315,2,10,54,1,1,1
316,2,12,51,0,2,2
318,2,13,35,1,,
319,2,10,72,1,,
320,2,9,73,0,,
321,2,12,29,1,,
322,2,10,42,1,,
323,2,7,55,1,0,1
324,2,12,42,0,2,1
325,2,10,23,0,,
326,2,8,42,0,3,1
327,2,12,27,1,,
328,2,12,24,0,3,1
329,2,9,65,0,3,1
330,2,11,20,0,2,1
331,2,11,36,0,1,2
333,2,8,26,0,1,1
334,2,6,57,0,,
335,2,8,54,1,,
336,2,6,40,0,,
337,2,9,41,0,,
338,2,12,60,1,0,0
340,2,12,36,0,,
341,2,10,37,1,,
343,2,11,56,1,,
344,2,9,47,0,,
345,2,11,41,1,,
346,2,11,32,0,,
347,2,11,44,1,,
350,2,8,33,1,0,1
351,2,8,55,0,,
352,2,8,16,0,3,0
355,2,11,54,0,,
356,2,8,46,0,2,0
358,2,9,56,1,,
359,2,13,42,1,0,1
360,2,10,46,1,,
362,2,6,66,1,3,3
363,2,13,56,1,,
364,2,12,58,1,,
365,2,11,56,0,,
366,2,12,48,1,3,0
367,2,9,73,1,,
368,2,10,38,0,,
369,2,9,38,0,,
371,2,6,51,0,,
372,2,8,25,0,0,0
373,2,10,22,1,2,4
374,2,12,62,1,0,0
375,2,11,63,1,1,0
376,2,13,37,0,1,0
378,2,13,53,1,,
380,2,10,65,1,,
381,2,13,54,1,,
382,2,9,72,1,,
383,2,7,67,1,3,1
384,2,13,62,1,2,0
386,2,5,66,1,3,1
387,2,9,43,1,4,2
388,2,8,57,1,,
389,2,10,66,0,2,1
391,2,7,71,1,2,2
392,2,10,45,1,1,1
393,2,9,28,0,,
394,2,1,42,0,,
395,2,7,49,1,0,0
396,2,10,24,1,,
397,2,11,32,1,4,1
399,2,8,42,0,1,2
400,2,11,68,1,1,2
402,2,10,58,1,1,1
403,2,8,36,1,,
404,2,7,71,1,,
405,2,6,69,0,2,0
406,2,8,71,1,2,0
409,2,11,69,1,,
410,2,9,62,1,2,3
411,2,8,40,1,2,3
412,2,9,48,1,,
413,2,8,61,0,,
414,2,11,44,0,2,1
415,2,12,46,1,,
417,2,10,59,0,3,0
418,2,9,49,1,1,0
419,2,4,38,0,0,0
420,2,5,45,0,,
421,2,6,43,1,,
422,2,7,46,0,2,2
423,2,9,50,0,,
424,2,7,38,1,2,1
425,2,5,52,1,3,0
426,2,6,59,0,1,0
427,2,10,60,1,,
428,2,5,74,1,2,4
429,2,3,48,0,,
430,2,6,37,1,,
431,2,6,63,1,2,0
432,2,11,40,1,,
433,2,8,60,1,,
434,2,8,24,0,0,4
435,2,9,32,0,1,1
436,2,7,41,0,4,1
437,2,9,46,1,3,1
438,2,8,47,0,0,0
439,2,6,44,0,,
440,2,9,48,1,0,2
441,2,9,79,1,,
443,2,7,63,0,1,1
444,2,10,41,0,1,1
445,2,11,30,0,3,3
446,2,8,52,0,1,3
447,2,8,62,1,,
448,2,8,34,1,,
449,2,10,46,1,,
450,2,8,77,0,,
451,2,9,56,0,,
452,2,4,75,1,,
453,2,8,53,0,1,1
454,2,11,20,1,,
455,2,7,27,1,3,1
456,2,13,35,0,0,0
457,2,5,40,1,2,1
458,2,11,66,1,,
459,2,6,50,1,,
460,2,4,22,0,,
461,2,8,73,1,1,1
462,2,4,15,0,3,2
463,2,10,22,0,,
464,2,12,41,0,,
465,2,7,50,0,2,2
466,2,11,43,0,,
468,2,7,41,0,3,2
469,2,10,54,1,,
470,2,12,16,1,,
471,2,9,16,0,,
472,2,11,63,1,4,0
473,2,10,63,0,,
474,2,11,23,1,2,1
475,2,12,20,0,1,1
476,2,7,51,0,,
477,2,9,17,0,3,0
478,2,9,17,1,2,1
479,2,9,55,1,2,1
480,2,10,42,0,1,0
481,2,12,16,1,2,0
482,2,6,42,1,3,1
483,2,11,43,1,,
484,2,7,36,1,,
485,2,11,30,1,,
486,2,11,36,1,,
487,2,9,17,0,,
488,2,7,48,1,,
489,2,10,40,1,1,1
490,2,5,74,1,,
491,2,4,77,1,3,2
492,2,3,54,1,2,0
493,2,7,16,1,,
495,2,10,34,0,3,1
497,2,9,32,0,,
498,2,5,38,0,,
499,2,6,42,0,,
500,2,9,54,0,0,1
501,2,6,74,1,,
502,2,10,39,0,,
503,2,8,58,0,,
504,2,9,63,1,,
505,2,11,33,1,,
506,2,9,58,0,2,0
507,2,10,32,1,,
508,2,10,70,1,1,1
509,2,10,71,0,,
510,2,11,45,1,,
511,2,8,72,0,4,0
512,2,8,58,1,,
513,2,11,72,0,,
514,2,12,15,1,,
515,2,12,62,0,,
516,2,11,50,0,2,1
517,2,11,29,0,,
518,2,11,40,1,,
519,2,11,21,1,,
520,2,13,28,1,1,1
521,2,9,72,1,,
522,2,11,43,0,3,1
523,2,11,54,0,,
524,2,11,47,0,2,0
525,2,8,54,1,1,1
526,2,11,38,0,,
527,2,8,33,1,,
528,2,8,23,1,,
529,2,10,21,0,,
530,2,11,22,1,,
531,2,5,55,1,3,2
533,2,10,79,1,3,0
535,2,8,64,0,,
536,2,6,47,0,3,1
537,2,10,22,1,,
538,2,6,85,1,,
539,2,8,54,1,4,4
540,2,6,41,0,,
541,2,13,19,0,1,1
542,2,11,46,0,2,0
543,2,7,71,1,1,3
544,2,9,37,0,3,0
549,2,7,21,0,,
550,2,9,41,0,,
551,2,8,34,0,3,0
552,2,10,25,0,,
553,2,8,81,1,,
555,2,10,27,1,0,1
556,2,5,31,0,0,0
557,2,5,21,0,,
558,2,6,30,0,2,0
559,2,10,68,1,3,0
560,2,4,48,1,2,0
561,2,9,59,1,,
562,2,7,58,1,,
563,2,10,18,1,,
564,2,5,81,1,4,0
565,2,10,57,0,,
566,2,9,16,1,1,1
567,2,7,56,1,2,1
568,2,8,21,0,,
570,2,7,19,0,,
572,2,8,54,1,1,0
573,2,7,54,1,,
575,2,11,28,0,,
576,2,9,36,0,1,1
577,2,7,54,0,,
578,2,10,20,0,2,1
579,2,9,57,0,,
580,2,11,30,1,,
581,2,12,50,1,,
582,2,9,35,0,3,2
583,2,13,16,0,1,1
584,2,6,60,1,2,1
585,2,13,58,0,1,0
586,2,12,41,1,1,1
587,2,11,57,0,,
588,2,10,77,1,3,1
589,2,5,40,1,,
590,2,8,53,0,1,1
591,2,9,79,1,3,1
592,2,10,58,0,3,1
593,2,6,40,0,3,1
594,2,9,37,0,,
595,2,11,64,1,3,0
596,2,9,70,1,3,2
597,2,11,70,0,,
598,2,9,31,1,0,0
599,2,7,18,0,,
600,2,8,51,0,2,1
601,2,10,24,0,1,1
602,2,10,51,1,2,0
603,2,9,43,0,4,2
605,2,11,15,1,,
606,2,7,32,0,3,0
607,2,6,75,1,4,3
608,2,8,62,1,1,0
609,2,8,63,1,,
610,2,12,27,1,,
611,2,12,63,1,1,0
612,2,9,18,0,2,1
613,2,11,17,1,,
614,2,9,53,1,,
620,2,7,18,1,4,1
621,2,8,36,0,,
622,2,8,70,1,1,1
623,2,9,50,0,1,1
624,2,5,27,0,,
625,2,11,74,1,0,0
626,2,7,49,0,0,1
627,2,9,53,0,,
628,2,11,40,1,1,0
629,2,8,15,1,1,0
630,2,8,26,1,1,0
631,2,4,29,0,2,2
632,2,10,58,1,,
633,2,6,35,1,2,2
634,2,13,48,1,,
637,2,10,18,1,,
638,2,10,43,0,2,1
639,2,11,23,1,1,2
640,2,7,19,0,,
641,2,8,77,1,,
