"year","position","name","count"
1975,1,"SMITH",2719
1975,2,"BROWN",1970
1975,3,"WILSON",1886
1975,4,"ROBERTSON",1796
1975,5,"CAMPBELL",1749
1975,6,"STEWART",1675
1975,7,"THOMSON",1658
1975,8,"ANDERSON",1511
1975,9,"SCOTT",1194
1975,10,"MACDONALD",1146
1975,11,"REID",1115
1975,12,"MURRAY",1114
1975,13,"CLARK",1042
1975,14,"TAYLOR",1016
1975,15,"ROSS",946
1975,16,"YOUNG",904
1975,17,"PATERSON",903
1975,18,"WATSON",888
1975,19,"MITCHELL",869
1975,20,"FRASER",852
1975,NA,"",NA
1980,1,"SMITH",2676
1980,2,"BROWN",1937
1980,3,"WILSON",1888
1980,4,"CAMPBELL",1779
1980,5,"THOMSON",1696
1980,6,"ROBERTSON",1567
1980,7,"STEWART",1519
1980,8,"ANDERSON",1506
1980,9,"SCOTT",1160
1980,10,"MACDONALD",1140
1980,11,"MURRAY",1131
1980,12,"REID",1050
1980,13,"CLARK",1000
1980,14,"TAYLOR",990
1980,15,"ROSS",938
1980,16,"YOUNG",926
1980,17,"PATERSON",891
1980,18,"WATSON",886
1980,19,"WALKER",830
1980,20,"HENDERSON",818
1980,NA,"MORRISON",818
1985,1,"SMITH",2706
1985,2,"BROWN",1941
1985,3,"WILSON",1708
1985,4,"CAMPBELL",1632
1985,5,"ROBERTSON",1606
1985,6,"THOMSON",1578
1985,7,"STEWART",1565
1985,8,"ANDERSON",1404
1985,9,"SCOTT",1169
1985,10,"MURRAY",1113
1985,11,"MACDONALD",1056
1985,12,"REID",1053
1985,13,"TAYLOR",988
1985,14,"CLARK",969
1985,15,"YOUNG",949
1985,16,"WATSON",892
1985,17,"WALKER",861
1985,18,"MORRISON",853
1985,19,"ROSS",840
1985,20,"MITCHELL",832
1985,NA,"",NA
1990,1,"SMITH",2562
1990,2,"BROWN",1876
1990,3,"WILSON",1654
1990,4,"STEWART",1535
1990,5,"THOMSON",1518
1990,6,"CAMPBELL",1456
1990,7,"ROBERTSON",1443
1990,8,"ANDERSON",1414
1990,9,"SCOTT",1097
1990,10,"MACDONALD",1051
1990,11,"MURRAY",1019
1990,12,"REID",995
1990,13,"TAYLOR",963
1990,14,"CLARK",903
1990,15,"YOUNG",834
1990,16,"ROSS",829
1990,17,"WATSON",815
1990,18,"MORRISON",812
1990,19,"MITCHELL",808
1990,20,"WALKER",799
1990,NA,"",NA
1995,1,"SMITH",2273
1995,2,"BROWN",1659
1995,3,"WILSON",1539
1995,4,"THOMSON",1373
1995,5,"ROBERTSON",1370
1995,6,"CAMPBELL",1361
1995,7,"STEWART",1278
1995,8,"ANDERSON",1187
1995,9,"MACDONALD",980
1995,10,"SCOTT",963
1995,11,"REID",936
1995,12,"MURRAY",914
1995,13,"TAYLOR",877
1995,14,"CLARK",826
1995,15,"MITCHELL",760
1995,16,"ROSS",746
1995,17,"WALKER",730
1995,18,"PATERSON",708
1995,19,"YOUNG",698
1995,20,"WATSON",696
1995,NA,"",NA
2000,1,"SMITH",2204
2000,2,"BROWN",1467
2000,3,"WILSON",1438
2000,4,"STEWART",1264
2000,5,"CAMPBELL",1251
2000,6,"ROBERTSON",1167
2000,7,"THOMSON",1163
2000,8,"ANDERSON",1092
2000,9,"SCOTT",873
2000,10,"MACDONALD",871
2000,11,"TAYLOR",848
2000,12,"REID",824
2000,13,"MURRAY",802
2000,14,"CLARK",792
2000,15,"MITCHELL",723
2000,16,"WATSON",679
2000,17,"WALKER",670
2000,18,"ROSS",657
2000,19,"MORRISON",653
2000,20,"YOUNG",625
2000,NA,"",NA
2005,1,"SMITH",2083
2005,2,"BROWN",1422
2005,3,"WILSON",1421
2005,4,"ROBERTSON",1188
2005,5,"THOMSON",1176
2005,6,"CAMPBELL",1168
2005,7,"STEWART",1143
2005,8,"ANDERSON",1084
2005,9,"TAYLOR",866
2005,10,"MURRAY",862
2005,11,"MACDONALD",833
2005,12,"SCOTT",822
2005,13,"CLARK",805
2005,14,"REID",752
2005,15,"ROSS",675
2005,16,"WALKER",667
2005,17,"YOUNG",664
2005,18,"PATERSON",661
2005,19,"MITCHELL",654
2005,20,"MORRISON",637
2005,NA,"",NA
2010,1,"SMITH",2037
2010,2,"BROWN",1374
2010,3,"WILSON",1283
2010,4,"CAMPBELL",1135
2010,5,"THOMSON",1103
2010,6,"ROBERTSON",1091
2010,7,"STEWART",1084
2010,8,"ANDERSON",1041
2010,9,"REID",845
2010,10,"SCOTT",817
2010,11,"MURRAY",810
2010,12,"TAYLOR",801
2010,13,"MACDONALD",785
2010,14,"CLARK",642
2010,15,"ROSS",639
2010,16,"YOUNG",639
2010,17,"WATSON",637
2010,18,"MORRISON",626
2010,19,"WALKER",621
2010,20,"MILLER",612
2010,NA,"PATERSON",612
2015,1,"SMITH",1929
2015,2,"BROWN",1438
2015,3,"WILSON",1352
2015,4,"STEWART",1186
2015,5,"THOMSON",1172
2015,6,"ROBERTSON",1158
2015,7,"CAMPBELL",1130
2015,8,"ANDERSON",1068
2015,9,"MURRAY",832
2015,10,"MACDONALD",823
2015,11,"TAYLOR",794
2015,12,"SCOTT",779
2015,13,"REID",771
2015,14,"CLARK",746
2015,15,"YOUNG",639
2015,16,"MORRISON",623
2015,17,"WALKER",619
2015,18,"ROSS",614
2015,19,"WATSON",595
2015,20,"GRAHAM",571
2015,NA,"",NA
