"license_issue_date","license_number","animals_name","species","primary_breed","secondary_breed","zip_code","weight_kg"
"December 07 2018","S150171","Norman","Dog","Boxer","Mix","69115",29.1456329022058
"February 09 2017","20666","Henry","Dog","Bichon Frise","Havanese","98031",23.6968364749363
"September 05 2018","8000658","Vega Williams","Dog","Mix",NA,"98037",21.1289213862584
"September 01 2018","730940","Molly","Dog","Australian Shepherd","Mix","98101",18.7025360842514
"December 20 2016","964607","Gremy","Dog","Chihuahua, Short Coat","Terrier","98101",20.356884822275
"June 27 2018","S117115","Shadow","Dog","Retriever, Labrador",NA,"98101",11.508215444394
"March 19 2018","S141621","Gaspode","Dog","Lhasa Apso",NA,"98101",23.2978549612715
"December 05 2016","82467","Juno","Dog","Basenji",NA,"98101",6.88839508653142
"July 10 2018","444211","Nelly","Dog","Pug","Beagle","98101",16.7789522226012
"December 08 2018","S123412","Wallingford","Dog","Schnauzer, Miniature","Terrier, Silky","98101",16.2393664755402
"August 26 2018","444317","Narla","Dog","Chihuahua, Short Coat",NA,"98101",29.9099659009741
"December 16 2018","956537","Friday","Dog","Havanese",NA,"98101",22.3526364670848
"November 08 2018","731014","Gemma","Dog","Retriever, Labrador","Poodle, Standard","98101",23.0647261238377
"October 10 2017","S136927","Hawk","Dog","Chow Chow",NA,"98101",21.9077033731302
"July 05 2018","S142280","Lucy","Dog","Shiba Inu",NA,"98101",21.4567611003444
"October 11 2017","820082","Keke","Dog","Chinese Shar-Pei","Doberman Pinscher","98101",30.1365195600051
"October 25 2018","829593","Rusty","Dog","Coton de Tulear",NA,"98101",22.7023303963622
"February 21 2018","S140453","Bear","Dog","Retriever, Golden","Poodle, Standard","98101",18.200293607648
"September 27 2018","S119960","Charlie","Dog","Terrier, Yorkshire","Bulldog, American","98101",14.7493761475298
"May 10 2017","S130739","Maxwell","Dog","Chihuahua, Short Coat","Dachshund, Standard Smooth Haired","98101",31.0580305288233
"October 21 2018","8002090","Madoka","Dog","Border Collie","Australian Cattle Dog","98101",21.4011851760672
"September 06 2018","8000712","Tiberius","Cat","Siberian",NA,"98101",4.73313840679665
"November 27 2018","S135817","Jade","Cat","Russian Blue",NA,"98101",4.45964702507736
"July 23 2018","S116961","Boo","Cat","Himalayan","Mix","98101",4.66275729576218
"August 11 2018","445210","Cricket","Cat","Maine Coon","Bengal","98101",4.63195020702722
"May 28 2017","273434","Knowlee","Cat","Domestic Longhair",NA,"98101",4.48500405185527
"September 26 2017","S100900","Sophie","Cat","Domestic Shorthair","Mix","98101",4.50572710075101
"December 03 2018","8003462","Spencer","Cat","Domestic Longhair","Mix","98101",4.23834476311561
"September 07 2017","571784","Julie","Cat","Domestic Shorthair",NA,"98101",4.57807138671944
"June 04 2018","S114782","Pumpkin","Cat","Domestic Shorthair","Mix","98101",4.33212799027759
"May 03 2018","S109674","Miss Emily","Cat","Domestic Longhair","Mix","98101",4.33665659260248
"October 25 2018","8002207","Snerfu","Cat","Maine Coon","Mix","98101",4.41728498818565
"January 31 2018","S139692","Sadie","Dog","Terrier, American Pit Bull","Mix","98102",22.6511117891403
"August 31 2018","727071","Rocky","Dog","Poodle, Standard","Retriever, Golden","98102",21.1328779909101
"January 16 2018","S126133","Pepper","Dog","Australian Cattle Dog",NA,"98102",25.5582804530687
"July 06 2017","437192","Tati","Dog","Poodle, Miniature","Maltese","98102",20.3849873846978
"March 07 2018","83704","Lucille","Dog","Bulldog",NA,"98102",20.4778534120234
"July 06 2018","S116225","Jonesy","Dog","Terrier, Jack Russell",NA,"98102",29.3472872869447
"August 18 2018","8000164","Lucy","Dog","Shiba Inu",NA,"98102",20.7513753359523
"February 22 2018","S140445","Milo","Dog","Retriever, Labrador","German Shepherd","98102",17.6076147007622
"July 03 2018","S145495","Rowan","Dog","Terrier, American Pit Bull","Beagle","98102",21.252477486578
"October 20 2018","S135890","Zac","Dog","Poodle, Standard","Retriever, Golden","98102",30.5172366470363
"September 29 2018","8001371","Kingston","Dog","Mixed Breed, Large (over 44 lbs fully grown)","Mix","98102",20.7567633132297
"August 25 2017","85250","Pepe","Dog","Pomeranian","Mix","98102",23.8657552131979
"January 06 2018","S108784","Milo","Dog","Dachshund, Miniature Smooth Haired","Mix","98102",22.5182879727515
"March 22 2018","S110853","Scout","Dog","Terrier",NA,"98102",30.8769407900808
"February 02 2018","S140233","Hooligan","Dog","Retriever, Labrador",NA,"98102",12.2682463192466
"April 17 2018","S142822","Mowgli","Dog","Retriever, Labrador",NA,"98102",24.0780747925186
"April 18 2018","210596","Poirot","Dog","Affenpinscher",NA,"98102",20.9322382216045
"July 29 2018","584571","Viejo","Dog","Shih Tzu",NA,"98102",22.5225260139114
"April 24 2018","S112770","Jeremy","Dog","Border Collie","Mix","98102",17.0991984592469
"March 01 2018","82283","Gozer","Dog","Havanese",NA,"98102",21.744209304057
"August 19 2018","586694","Max","Dog","Terrier, Rat",NA,"98102",23.2557883101037
"November 04 2018","S136912","Rupert","Dog","Australian Shepherd",NA,"98102",28.1151314752508
"April 11 2018","S141582","Misty","Dog","Shetland Sheepdog","Pomeranian","98102",19.6183999133852
"July 20 2018","S147169","Sami","Dog","Bichon Frise",NA,"98102",21.6371384294185
"April 10 2018","83858","Banjo","Dog","Norwegian Elkhound","Terrier","98102",21.1966620152275
"October 10 2018","8001742","Reva","Dog","Bernese Mountain Dog",NA,"98102",24.9255985860351
"April 20 2018","216519","Archimedes","Dog","Keeshond",NA,"98102",25.5657450670681
"August 16 2018","S146850","Winnie","Dog","Retriever, Golden",NA,"98102",11.605231108211
"July 18 2017","438540","Rose","Dog","Retriever, Labrador",NA,"98102",28.603597096258
"August 02 2018","436387","Teak","Dog","Australian Cattle Dog",NA,"98102",22.9312359838008
"October 27 2018","S135444","Benny","Dog","Chow Chow","German Shepherd","98102",10.2436044764077
"June 27 2018","S116946","Dash","Dog","Chihuahua, Short Coat",NA,"98102",15.4825982826069
"July 24 2017","70054","Nina","Dog","Xoloitzcuintli",NA,"98102",32.009934633756
"September 26 2018","8001311","Cedar","Dog","Australian Shepherd, Miniature","Mix","98102",21.6851229804102
"September 09 2018","S145317","Ceili","Dog","Retriever, Golden",NA,"98102",25.0030872350708
"April 10 2018","S129123","Dempsey","Dog","Mix","American Blue Heeler","98102",26.6958778959696
"January 24 2018","S139926","Gracie","Dog","Poodle, Standard",NA,"98102",18.2450281829164
"November 22 2017","S100935","Sherman","Dog","Terrier, Silky","Mix","98102",24.7060320191579
"January 10 2017","28324","Rue","Cat","Domestic Medium Hair",NA,"98102",3.93579810074369
"March 27 2018","133956","Woody","Cat","Domestic Shorthair",NA,"98102",3.88580688605348
"April 16 2018","142557","Rachel","Cat","LaPerm",NA,"98102",4.48290660862385
"August 10 2018","S102723","Molly","Cat","Domestic Shorthair",NA,"98102",4.04669647921407
"June 23 2017","964733","Watson","Cat","Domestic Shorthair","Mix","98102",4.31338056767069
"October 17 2018","S103640","Fare","Cat","Mix","Angora","98102",4.0988243622257
"October 08 2018","8001682","Pepper","Cat","Domestic Medium Hair","Mix","98102",4.49903657674663
"May 08 2017","277198","Stewie","Cat","Domestic Shorthair",NA,"98102",4.50284887628483
"December 30 2018","905176","Whiskers","Cat","Domestic Shorthair",NA,"98102",4.53086536102578
"March 12 2017","128002","Percival","Cat","Ragdoll",NA,"98102",4.513910163513
"September 08 2018","8000762","Luke","Cat","American Shorthair",NA,"98102",4.67165575656403
"December 09 2018","8003671","Clyde","Cat","Mix","Mix","98102",4.38392181109257
"April 10 2018","S142341","Bellatrix","Cat","Domestic Medium Hair",NA,"98102",4.39258665042692
"February 05 2018","S140325","Cherry","Cat","Domestic Shorthair",NA,"98102",4.69261483303656
"July 03 2018","S112676","Ouzo","Cat","Domestic Shorthair","Mix","98102",4.60389425931508
"June 10 2017","S130671","Timbus","Cat","Domestic Shorthair","Mix","98102",5.1074022979914
"July 05 2017","731268","Pepper","Cat","Domestic Shorthair",NA,"98102",4.2020244757762
"May 15 2018","77682","Wash","Cat","Domestic Shorthair",NA,"98102",3.67315178672224
"October 28 2018","8002261","Kyuss","Cat","Domestic Medium Hair",NA,"98102",4.48970984703726
"October 17 2017","833095","Esme","Cat","Domestic Medium Hair",NA,"98102",4.73887472676899
"April 25 2017","S130231","Farah","Cat","Egyptian Mau",NA,"98102",5.17725464877885
"July 31 2018","S147519","Oliver","Cat","Mix",NA,"98102",4.82392360389738
"April 25 2017","284855","Maxwell","Cat","Domestic Shorthair","Bengal","98102",4.42648902696248
"July 17 2018","S129706","Maple","Dog","Shepherd",NA,"98103",13.8126230878771
"November 01 2018","8002369","Cayman","Dog","Hound","Mix","98103",26.09874922499
"June 22 2018","422768","Buddy","Dog","Poodle, Miniature","Chihuahua, Short Coat","98103",15.214870273335
"May 02 2017","216537","Winston","Dog","Beagle",NA,"98103",24.45301215105
"September 29 2017","442592","Belle","Dog","Beagle","Mix","98103",20.4983491370709
