"student_id","type","time"
1,"Sound",40.77
2,"Colour",41.55
3,"Colour",34.38
4,"Standard",36.73
5,"Standard",33.04
6,"Sound",33.64
7,"Standard",32.93
8,"Standard",34.9
9,"Standard",30.31
10,"Standard",37.98
11,"Standard",38.86
12,"Colour",42.72
13,"Standard",32.25
14,"Standard",40.7
15,"Standard",37.65
16,"Sound",36.73
17,"Sound",43.13
18,"Colour",35.72
19,"Colour",40.1
20,"Colour",39.85
21,"Sound",31.06
22,"Colour",33.85
23,"Colour",44.53
24,"Sound",39.01
25,"Sound",39.33
26,"Standard",37.68
27,"Sound",33.99
28,"Sound",36.4
29,"Colour",37.84
30,"Sound",37.76
31,"Colour",39.1
32,"Colour",36.67
33,"Sound",33.57
34,"Sound",35.59
35,"Sound",35.75
36,"Colour",41.16
37,"Sound",37.21
38,"Standard",36.65
39,"Standard",36.92
40,"Standard",32.5
41,"Colour",38.16
42,"Colour",39.71
43,"Colour",40.48
44,"Standard",31.31
45,"Sound",38.41
46,"Sound",31.54
47,"Sound",35.84
48,"Colour",46.41
49,"Colour",35.38
50,"Standard",34.92
51,"Standard",30.68
52,"Sound",29.61
53,"Sound",34.69
54,"Standard",42.99
55,"Standard",35.04
56,"Sound",43.62
57,"Colour",32.76
58,"Colour",41.3
59,"Colour",40.71
60,"Standard",34.93
