"year","month","shark_attacks","temperature","ice_cream_sales","sr_temp","sr_heat"
2008,1,25,11.9,75,10.5,1
2008,3,32,17.2,90,18.1,4
2008,4,35,18.5,99,18.7,4
2008,5,38,19.4,99,22.4,5
2008,6,41,22.1,107,26.5,6
2008,7,43,25.1,101,23.1,5
2008,8,40,23.4,102,24.6,6
2008,9,38,22.6,90,22.4,5
2008,10,33,18.1,79,15.7,3
2008,11,31,16.4,58,16.5,3
2008,12,24,14.2,79,12,2
2009,1,21,11.4625281490386,70,13.5,2
2009,2,28,15.670675393194,83,12,2
2009,3,27,16.9385994210839,90,11.4,2
2009,4,40,18.5509479474276,94,17.2,4
2009,5,43,18.9283263601363,110,24.1,6
2009,6,40,22.0055685382336,109,22.6,5
2009,7,44,25.3561390541494,96,28.1,7
2009,8,43,23.3142572324723,98,22.4,5
2009,9,39,22.9682563219219,77,21.1,5
2009,10,29,18.2511279229075,94,14.5,3
2009,11,37,16.1198980737478,66,9.2,1
2009,12,25,14.3530650153756,73,16.9,3
2010,1,17,10.9781529284082,78,9.5,1
2010,2,26,15.6628416106105,79,14.1,3
2010,3,29,16.440247866977,77,16.5,3
2010,4,34,18.7229302020743,86,15.7,3
2010,5,43,19.5129480734468,107,15.8,3
2010,6,46,21.9757354047149,106,29,7
2010,7,37,25.1269873231649,105,21.2,5
2010,8,43,23.7820972176269,100,21.2,5
2010,9,45,23.5164067073725,75,17.9,4
2010,10,35,17.7746863381937,97,21.9,5
2010,11,34,16.5350705566816,67,22.6,5
2010,12,25,14.399152006954,66,17.5,4
2011,1,19,11.0883766057901,85,13.5,2
2011,2,21,15.7346106948331,84,14.3,3
2011,3,30,16.6400839968584,89,16.8,3
2011,4,39,18.767029705178,94,20.3,4
2011,5,36,19.5623267777264,102,14,3
2011,6,44,22.1115869848989,110,23.1,5
2011,7,44,24.9357639454305,108,26.9,7
2011,8,37,23.8393322287127,97,24.1,6
2011,9,46,23.5463380456902,79,23.6,6
2011,10,37,17.7012335940264,88,17,3
2011,11,29,16.5432923414744,71,15.1,3
2011,12,23,14.5683377834968,60,15.3,3
2012,1,26,10.9086080893874,79,11.8,2
2012,2,14,15.8731572072022,80,8.8,1
2012,3,37,16.7319546464831,94,17.1,3
2012,4,34,18.8745885447599,98,17.8,4
2012,5,38,19.4976161276922,95,17.2,4
2012,6,39,22.0791290333494,99,22.9,5
2012,7,42,24.9034498102032,98,26.1,6
2012,8,35,23.6909654222429,100,25.7,6
2012,9,44,23.5722479946911,73,26.9,7
2012,10,44,17.7664707138203,92,19.7,4
2012,11,25,16.6234401208349,77,17.2,4
2012,12,30,14.6394767369144,68,18.5,4
2013,1,26,10.6983475327119,82,7.5,1
2013,2,21,15.9469354543369,82,17.4,4
2013,3,42,16.908316394249,91,14.8,3
2013,4,29,18.7755993053876,97,17.6,4
2013,5,37,19.5725174126402,94,14.3,3
2013,6,32,22.2148181794304,108,19.4,4
2013,7,44,25.0428885462042,103,30,7
2013,8,31,23.6432454874832,103,24.1,6
2013,9,39,23.7007145891432,77,25.9,6
2013,10,49,17.6353757398389,101,17.3,4
2013,11,22,16.4304302737396,78,16.1,3
2013,12,28,14.7105856088083,64,14.9,3
2014,1,20,10.7348356446065,65,12.5,2
2014,2,19,15.9557293855492,77,14.7,3
2014,3,43,16.8137254162785,90,19.5,4
2014,4,25,18.8132718842477,95,18.2,4
2014,5,39,19.6498333121464,108,20,4
2014,6,27,22.1301990874577,105,23.4,5
2014,7,45,25.0962308910396,100,26.6,6
2014,8,36,23.7442675041873,102,24.8,6
2014,9,42,23.5852294285316,78,26.6,6
2014,10,50,17.7193830433488,89,21.1,5
2014,11,27,16.4725569388922,71,19.2,4
2014,12,32,14.6863911935035,67,13.6,2
