intermediate_zone,attendance,attainment,university
Abbeyhill,0.7156100000000001,6.0833333333,0.09005866666666666
Aberchirder and Whitehills,0.842322,5.40430390864,0.0624972
Aberdour and Auchtertool,0.8772725,5.840155677649999,0.14344025
Aberuthven and Almondbank,0.864848,5.929656298,0.1540992
Aboyne and South Deeside,0.87013,5.890370405985714,0.17693985714285715
Abronhill North,0.8110766666666667,5.376934456883333,0.06563216666666666
Abronhill South,0.7731520000000001,5.39053169056,0.08041240000000001
Airdrie North,0.635965,4.63214703425,0.0413855
Alexandra Parade,0.7490033333333334,5.551282051266667,0.058931000000000004
Allanton - Newmains Rural,0.8119525000000001,5.5245768627250005,0.07050225
Alloa North,0.8093966666666667,5.351969528055555,0.065347
Alloa South and East,0.70465,4.7257826238166665,0.0229185
Alloa West,0.865005,5.63113247864,0.075168
Alloway and Doonfoot,0.87761,6.3472603820875,0.176123375
Alness,0.72062,5.1486218314,0.04051075
Altonhill North and Onthank,0.7308216666666667,4.933496515983333,0.050430333333333334
"Altonhill South, Longpark and Hillhead",0.7560814285714286,4.445200302342857,0.027370000000000002
Alva,0.8000885714285714,5.5891499350142855,0.072857
Alyth,0.6992966666666667,5.50264550265,0.0671785
Anderston,0.783258,5.1393939394,0.033867166666666663
Angus Glens,0.882726,5.74060846564,0.1250338
Annan East,0.79848375,5.23016823665,0.064080875
Annan West,0.8106225,5.10444139195,0.07934475
Annandale East,0.861594,5.55439814816,0.0826422
Annandale West,0.89288,5.6224439776,0.08091475000000001
"Annbank, Mossblown and Tarbolton - the Coalfields",0.7747642857142857,5.313134142542857,0.06296314285714286
Anniesland East,0.877425,5.832058823525,0.1048244
Anniesland West,0.8144185714285714,5.1527573529375,0.088537125
Anstruther,0.8430233333333333,5.5560647526333335,0.09956733333333334
Arbroath Cliffburn,0.7857628571428572,5.216845088985714,0.068409
Arbroath Harbour,0.7516849999999999,5.079333764899999,0.046648
Arbroath Keptie,0.838215,5.75595238095,0.1158185
Arbroath Kirkton,0.8126371428571428,5.648720700971428,0.06900642857142857
Arbroath Landward,0.8275433333333333,6.013112491366667,0.08148133333333334
Arbroath Warddykes,0.7658128571428572,5.178416591471429,0.05499042857142857
Ardler and St Marys,0.771255,4.8764060587874996,0.057598
Ardrossan Central,0.72456,5.107847744375,0.033244750000000003
Ardrossan North East,0.764414,5.25904761904,0.0476258
Ardrossan North West,0.8560274999999999,5.890037593975,0.094781
Armadale,0.8059622222222222,5.5031542937,0.07003111111111111
Armadale South,0.78898375,5.333856778125,0.079123375
Arran,0.85648,5.860321583185714,0.09591614285714285
Arthurlie and Gateside,0.8838280000000001,5.72120042122,0.10658820000000001
Ashgill and Netherburn,0.7356900000000001,5.2329715700333335,0.08570233333333334
Ashgrove,0.7438450000000001,5.490476190475,0.0509078
Auchenback,0.790352,5.51093538038,0.08249100000000001
Auchinairn,0.7893683333333333,5.746924396633333,0.0860655
Auchinleck,0.7203425,5.111515235975,0.057833999999999997
Auchnagatt,0.9155575,5.468376068375,0.079489
Auchterarder,0.85517,5.53313353314,0.1229812
Auchterless and Monquhitter,0.8683449999999999,5.423313873625,0.08829575
Auchtermuchty and Gateside,0.81755,5.64980808082,0.100628
"Ayr North Harbour, Wallacetown and Newton South",0.6682266666666666,5.0691656790833335,0.038691833333333335
Ayr South Harbour and Town Centre,0.7963042857142857,5.9152241331285715,0.09691542857142857
Baberton and Juniper Green,0.906125,5.9612820512799995,0.1548216
Badenoch and Strathspey Central,0.7902083333333334,5.6693490460166664,0.058167833333333335
Badenoch and Strathspey North,0.8042066666666666,5.5925646038500005,0.08618533333333334
Badenoch and Strathspey South,0.8172280000000001,5.69456327986,0.1024982
Baillieston East,0.7953483333333333,5.707624451366667,0.09958716666666667
Baillieston West,0.782308,5.54780567134,0.07844000000000001
Balerno and Bonnington Village,0.92021,5.93392491165,0.1940885
Balfron and Drymen,0.9075650000000001,6.0343088394999995,0.14653483333333334
