genlab,PeBS
Z,148
Z,153
Y,123
Z,165
None,181
None,189
X,119
Y,116
None,155
X,150
Z,137
None,147
X,189
Y,131
None,117
X,105
Z,122
Z,129
Z,141
Z,114
Z,129
Y,160
Y,153
Z,114
X,141
Z,164
Z,125
Z,121
Z,145
X,138
None,136
None,144
Z,125
None,103
Y,133
X,138
Y,155
Z,178
Z,102
Boomer,184
X,124
Z,163
Z,156
Z,116
Z,147
Boomer,151
Z,161
Boomer,152
Z,161
Boomer,130
Y,130
Boomer,151
Z,140
Y,121
Boomer,143
Y,144
X,159
X,118
Y,159
Z,130
Z,114
None,102
Z,157
Y,122
Y,153
Y,187
None,152
X,118
Z,100
Y,150
Z,138
Boomer,104
X,90
Y,160
Z,128
Z,116
Z,139
Y,146
X,141
None,123
Z,179
Z,136
None,144
Z,158
Z,154
Y,163
Z,133
X,124
Z,110
Boomer,173
Y,165
Z,137
Boomer,148
Y,156
None,176
X,129
Z,145
None,160
None,103
X,137
Z,166
Z,117
Y,160
Y,148
Z,114
Y,94
Y,130
X,100
Y,159
X,161
Z,172
Y,142
X,100
X,151
X,152
X,124
Y,156
None,115
Z,123
Z,154
X,120
None,125
Boomer,102
Boomer,148
X,152
None,88
Y,168
None,193
X,162
Z,136
Y,139
Y,115
Z,145
Boomer,138
Z,167
Y,146
X,125
None,160
None,136
Y,149
Z,143
None,163
Y,142
Z,124
Y,100
X,141
None,158
Z,111
Z,138
Z,109
Boomer,137
Z,185
X,144
Z,162
None,125
Z,120
Z,129
Y,148
Y,120
X,132
Z,168
Z,164
Z,153
X,137
None,169
Z,119
Z,131
Z,125
Z,129
Z,136
None,138
Z,168
X,165
Boomer,146
None,111
Z,185
Y,170
Y,126
None,92
Y,114
Y,109
Y,89
Y,159
X,144
None,100
X,120
X,178
Z,144
None,134
Boomer,137
Y,180
Y,116
None,91
None,161
X,109
Y,135
Boomer,132
Z,119
X,132
Y,116
Y,106
X,158
X,146
None,153
Y,152
Y,111
None,138
Z,123
Y,128
X,120
Y,146
None,82
Y,174
Z,173
None,110
Boomer,126
None,131
Y,144
Y,157
Z,180
X,163
Y,88
Y,129
Z,117
Z,118
Y,141
Y,110
Z,100
X,162
Y,109
None,157
X,115
None,111
Z,159
Y,146
Y,138
None,142
X,167
Y,167
X,144
Z,131
None,162
Z,131
Y,166
X,128
Y,125
Y,133
Z,161
Z,198
Y,148
Z,131
Boomer,143
Boomer,144
Y,151
None,131
Boomer,171
Y,109
Z,123
None,147
Z,190
Z,140
Z,169
Z,147
X,151
None,133
Y,156
X,133
None,185
Z,168
X,120
Z,145
Z,123
Y,148
Z,137
Z,120
Z,120
Z,156
Z,172
Y,180
Z,161
None,93
X,201
None,135
Z,127
None,157
Z,138
Y,161
None,136
X,111
Z,160
Z,189
Y,146
X,126
Y,181
X,95
X,120
Z,127
Y,161
Y,145
X,147
Y,127
None,144
Z,117
X,176
Y,158
Z,82
Y,136
None,122
Z,150
Z,135
Boomer,176
Z,149
Z,101
None,140
X,92
None,138
None,115
Y,161
None,147
None,159
