ID,stress1,stress2,stress3,stress4,stress5,IQ1,IQ2,IQ3,IQ4,IQ5
1,1,2,1,2,1,21,18,5,1,31
2,2,2,1,2,2,14,2,4,5,10
3,1,1,1,2,1,21,21,6,4,11
4,2,1,1,2,1,24,30,9,4,21
5,2,2,2,2,2,31,44,33,29,20
6,2,2,2,2,2,11,15,24,2,6
7,2,2,1,2,2,14,12,10,8,13
8,2,2,1,2,2,24,29,11,22,19
9,1,2,1,2,1,15,10,0,6,14
10,2,2,1,2,1,26,20,13,22,32
11,3,3,2,3,2,36,22,9,13,28
12,1,2,1,2,2,32,11,6,7,19
13,2,1,1,2,1,20,17,12,24,10
14,1,1,1,2,2,33,21,8,0,15
15,1,1,1,2,1,19,6,3,5,13
16,1,2,2,2,1,21,22,7,16,25
17,2,2,1,2,2,20,18,6,11,14
18,1,1,1,2,1,22,19,10,9,31
19,1,2,1,2,2,19,22,12,14,15
20,1,2,1,2,2,11,8,2,1,33
21,1,2,1,2,1,15,11,1,2,15
22,3,2,2,3,2,20,15,13,2,18
23,1,2,1,2,1,18,7,8,1,27
24,1,2,1,2,2,17,5,10,1,9
25,1,2,1,1,1,22,11,0,4,14
26,2,1,1,2,1,10,10,2,4,7
27,2,2,1,2,2,20,13,21,41,41
28,1,2,1,2,2,38,34,8,8,21
29,2,1,1,2,1,29,30,18,21,20
30,1,2,1,2,1,11,5,0,6,16
31,2,2,1,2,2,16,17,23,15,12
32,2,2,2,2,1,19,16,2,1,14
33,2,3,2,2,2,52,37,51,17,29
34,2,3,2,3,2,26,30,39,22,33
35,1,2,1,2,1,36,28,40,37,33
36,2,2,1,2,2,28,17,6,18,21
37,1,2,2,2,2,27,15,8,6,31
38,1,2,2,2,2,13,11,1,4,17
39,1,1,1,2,1,21,32,11,19,30
40,2,1,2,2,1,10,13,13,2,9
41,2,2,1,2,1,13,7,1,0,13
42,1,1,1,2,2,29,15,6,7,13
43,2,2,1,1,1,30,17,10,11,26
44,2,2,1,2,2,19,17,1,18,33
45,1,1,1,2,1,18,9,0,1,9
46,1,2,1,2,1,21,17,2,6,12
47,2,2,1,2,1,15,16,2,4,12
48,2,2,1,2,2,30,34,15,8,19
49,2,2,2,2,2,52,49,18,43,26
50,1,2,1,2,2,9,0,0,0,10
51,2,2,1,2,2,14,7,11,1,12
52,1,2,1,2,1,30,20,9,0,30
53,1,2,1,2,1,32,15,6,7,20
54,1,2,1,2,1,19,23,10,8,22
55,2,2,2,2,3,28,33,14,3,13
56,2,1,1,2,1,35,18,28,21,29
57,1,1,1,2,1,18,18,11,12,34
58,2,2,2,2,2,35,19,11,2,25
59,2,2,1,2,2,12,13,1,2,13
60,2,2,1,2,2,33,15,9,20,17
61,2,2,2,2,2,19,20,5,38,24
62,2,3,2,2,2,21,11,14,0,17
63,1,2,1,2,2,19,15,3,5,17
64,1,2,1,2,2,34,25,21,10,25
65,1,2,1,2,1,15,9,0,2,14
66,1,2,1,2,1,13,7,0,3,16
67,2,2,1,2,2,27,21,3,9,14
68,2,2,1,2,1,20,16,10,2,14
69,1,1,1,1,1,14,9,0,1,19
70,2,3,1,2,2,15,10,0,7,12
71,2,2,2,2,2,25,39,11,4,22
72,2,1,1,2,1,14,8,2,1,7
73,2,2,1,3,2,18,7,11,2,16
74,2,2,1,2,1,12,15,0,4,22
75,2,2,1,2,2,25,35,22,13,50
76,2,2,1,2,2,13,18,7,9,26
77,2,2,1,2,2,35,31,6,14,31
78,2,2,1,2,2,17,14,6,4,17
79,1,2,1,2,2,24,23,9,11,20
80,2,2,1,2,1,28,17,16,17,24
81,2,2,1,2,2,38,29,7,16,18
82,1,2,1,2,2,21,13,4,0,10
83,1,2,1,3,3,36,31,8,9,22
84,2,2,1,2,2,13,5,2,0,14
85,1,2,1,2,2,17,19,10,1,17
86,1,2,2,2,1,27,32,12,11,28
87,1,1,1,2,2,25,20,46,9,11
88,1,2,1,2,1,19,19,7,6,18
89,2,3,1,2,3,27,19,17,21,21
90,2,3,1,2,2,32,34,17,34,26
91,1,2,1,2,2,12,22,0,1,15
92,2,2,1,2,2,36,27,19,28,22
93,2,2,2,2,2,29,18,19,13,22
94,2,2,1,2,1,21,12,6,1,34
95,1,2,1,2,1,17,11,1,0,14
96,1,2,1,2,1,23,24,6,7,25
97,2,2,1,2,2,29,12,4,1,20
98,1,2,2,2,3,22,12,7,4,14
99,1,3,1,3,2,17,16,12,22,21
100,3,2,2,2,2,10,9,10,17,13
101,1,1,1,2,1,31,29,15,20,32
102,2,2,2,2,2,40,31,43,22,22
103,2,2,2,3,2,28,30,0,3,16
104,2,2,1,2,1,26,21,9,13,14
105,1,2,1,2,1,19,6,3,0,13
106,2,2,1,2,1,25,13,8,22,36
107,1,1,1,2,2,16,15,3,1,12
108,2,2,1,2,2,22,15,14,2,35
109,1,1,1,2,1,11,15,9,3,18
110,2,2,1,2,2,46,34,16,13,39
111,1,1,1,2,1,21,14,3,2,20
112,1,1,1,2,2,42,26,11,4,24
113,1,2,1,2,1,33,54,35,9,25
114,1,2,1,2,1,17,21,27,14,21
115,1,2,1,2,2,18,20,1,10,20
116,1,1,1,2,1,15,9,4,10,18
117,2,2,1,2,2,10,7,5,7,18
118,2,2,1,2,2,29,17,11,4,22
119,2,2,2,2,2,24,14,26,46,40
120,2,2,2,3,2,18,15,8,5,23
121,2,2,1,2,2,17,11,7,6,5
122,1,2,2,2,1,19,17,1,0,16
123,1,1,1,2,1,26,8,12,22,34
124,1,2,1,2,1,14,10,4,18,13
125,2,2,1,2,2,12,8,2,0,12
126,1,2,2,2,2,38,31,3,9,17
127,1,2,1,2,2,57,23,8,16,15
128,2,3,2,3,3,43,38,6,13,33
129,1,1,2,2,1,9,4,2,0,1
130,2,2,1,2,1,12,7,10,1,11
131,2,2,1,2,1,19,9,17,7,15
132,2,2,1,2,2,35,23,11,7,29
133,3,2,1,3,2,14,12,2,0,10
134,2,2,1,2,2,8,9,0,1,12
135,1,2,2,2,1,15,11,3,17,15
136,2,2,1,2,1,15,7,1,0,8
137,2,2,2,3,2,39,20,10,12,24
138,2,2,1,2,1,12,6,0,1,7
139,1,2,1,1,1,18,20,18,8,19
140,2,1,1,2,2,20,21,10,4,15
141,1,1,1,2,1,17,14,3,2,21
142,2,2,1,2,2,24,17,7,12,40
143,1,2,2,2,2,14,15,1,10,12
144,2,2,1,2,2,26,23,42,27,37
145,2,2,1,2,2,22,19,12,5,36
146,2,2,1,2,2,16,6,9,7,21
147,1,2,2,3,3,33,36,13,19,23
148,2,2,1,2,2,23,20,7,14,40
149,1,2,1,2,1,17,7,0,5,9
150,1,1,1,2,2,43,43,18,33,34
151,2,2,2,2,2,32,48,29,22,48
152,2,2,2,2,2,25,9,10,2,31
153,2,2,2,2,2,16,27,4,8,20
154,2,1,1,2,2,21,24,9,8,25
155,1,1,1,2,1,22,19,3,1,13
156,1,1,1,2,1,22,14,6,3,15
157,2,2,1,2,2,25,19,26,19,12
158,2,2,1,2,2,23,27,11,3,25
159,2,2,1,2,2,23,11,17,7,15
160,2,2,1,2,1,16,7,2,5,16
161,1,1,1,2,2,23,27,2,1,29
162,2,2,2,2,2,53,46,15,42,44
163,1,2,1,2,2,18,10,1,4,17
164,2,2,1,2,2,9,18,3,3,9
165,1,2,1,2,2,21,34,15,18,15
166,2,1,1,1,1,16,11,1,5,10
167,1,2,1,2,1,19,23,15,14,16
168,2,2,1,2,1,23,17,5,13,23
169,3,2,2,2,2,38,33,5,18,36
170,2,2,1,2,1,23,25,20,21,25
171,3,2,1,2,3,24,21,9,10,24
172,1,3,1,2,2,32,11,16,9,29
173,1,1,1,2,1,34,16,8,15,21
174,2,3,1,2,1,38,27,22,12,27
175,1,2,2,2,2,30,15,2,6,15
176,1,2,1,2,1,26,17,22,19,25
177,2,2,1,2,1,19,20,5,25,36
178,1,2,1,2,2,42,26,22,6,21
179,1,1,1,2,1,17,16,13,25,22
180,1,2,1,2,1,24,20,15,13,44
181,1,2,1,2,2,29,23,21,14,30
182,2,3,2,2,2,26,18,19,29,30
183,2,2,1,2,2,29,18,10,13,32
184,2,2,2,3,1,18,13,11,14,34
185,2,2,1,2,2,37,35,12,20,34
186,2,2,1,2,2,14,7,2,0,15
187,1,2,1,2,2,17,18,1,6,23
188,2,2,1,2,2,9,6,4,15,12
189,1,1,1,2,1,49,25,13,2,17
190,2,2,1,2,2,49,33,18,1,28
191,1,1,1,2,1,22,17,25,1,18
192,2,3,2,3,2,22,12,8,12,19
193,2,2,1,2,2,33,31,25,10,19
194,2,2,2,2,1,29,18,18,23,41
195,2,2,1,2,2,14,11,15,17,22
196,1,1,1,1,2,27,13,1,5,12
197,1,2,1,2,2,13,24,26,2,25
198,2,1,1,2,1,25,13,0,7,26
199,2,2,1,2,2,30,24,26,6,40
200,1,3,1,2,2,16,14,10,14,27
201,1,1,1,2,1,16,14,0,4,18
202,2,2,1,2,2,45,24,2,11,24
203,1,1,1,2,1,15,15,7,4,9
204,2,3,1,2,1,14,10,1,0,6
205,2,2,2,2,2,55,47,39,56,62
206,1,2,2,2,2,14,15,17,24,15
207,1,2,1,2,1,34,15,0,1,12
208,3,2,2,3,2,32,13,6,6,10
209,2,2,1,2,2,17,14,4,0,18
210,1,1,1,2,1,15,8,2,1,12
211,1,1,1,2,1,32,19,12,10,25
212,2,2,1,2,2,20,12,6,10,24
213,1,2,1,2,1,19,18,9,8,20
214,1,1,1,2,2,9,6,0,2,2
215,1,2,1,2,2,22,16,22,39,47
216,2,2,2,2,2,36,20,13,15,17
217,1,2,1,2,2,12,9,1,0,12
218,1,2,2,2,2,24,22,8,5,22
219,2,1,1,2,1,14,13,1,16,26
220,1,1,1,2,2,29,25,24,8,32
221,1,2,1,2,1,16,29,1,8,20
222,2,2,1,3,2,28,31,24,25,28
223,1,2,1,2,2,14,11,15,11,12
224,2,2,1,2,2,15,9,2,1,7
225,1,2,1,2,1,20,12,9,3,16
226,2,2,2,3,2,40,21,12,18,28
227,2,1,1,1,2,13,9,1,0,8
228,2,2,1,2,1,22,20,10,4,9
229,1,2,2,2,2,32,25,18,25,27
230,1,2,1,3,1,16,15,1,0,9
231,2,2,1,2,1,19,17,4,3,27
232,1,2,1,2,1,17,28,8,20,34
233,1,2,1,2,1,27,14,6,3,14
234,1,1,1,2,1,17,10,3,10,13
235,1,2,1,2,2,25,20,3,27,19
236,2,2,2,2,1,15,20,4,18,41
237,2,3,2,2,3,8,6,1,1,10
238,2,2,2,2,2,15,7,1,0,12
239,3,3,2,2,3,14,16,6,7,25
240,2,2,1,2,2,9,7,6,3,15
241,2,2,1,2,1,25,20,1,1,11
242,2,1,2,2,2,28,27,25,9,16
243,2,1,1,2,1,25,24,11,0,25
244,1,1,1,2,1,9,11,0,1,16
245,2,1,1,2,1,50,33,22,14,26
246,2,2,2,2,2,12,14,25,2,13
247,1,1,1,2,1,35,23,11,12,19
248,3,2,1,2,2,21,20,5,10,15
249,2,2,2,2,2,27,33,14,23,11
250,1,2,1,2,2,13,15,11,16,27
251,1,1,1,2,1,0,0,0,2,3
252,1,1,1,2,1,13,11,1,3,17
253,2,2,1,3,2,22,13,10,3,19
254,2,3,1,2,2,23,18,14,23,20
255,1,2,1,2,2,33,37,4,11,29
256,1,2,1,2,1,28,30,3,14,19
257,1,2,1,2,1,15,16,3,12,21
258,1,1,1,1,1,22,6,7,0,22
259,1,2,2,2,2,23,11,7,30,25
260,1,2,1,2,2,32,26,9,24,36
261,2,2,2,3,2,16,23,11,14,16
262,1,2,1,2,1,16,6,0,12,13
263,3,3,2,2,2,20,14,11,5,16
264,2,2,1,2,1,37,24,32,7,19
265,1,1,1,2,2,24,34,16,16,27
266,2,2,2,2,1,12,8,2,1,18
267,2,2,1,2,1,18,13,6,1,22
268,1,2,1,2,1,26,20,7,19,47
269,1,2,2,2,2,34,21,21,12,28
270,1,2,1,2,1,28,31,6,9,19
271,2,2,1,2,2,5,2,0,3,4
272,2,3,2,3,2,18,39,9,21,33
273,2,1,1,2,1,16,14,5,2,16
274,2,2,1,2,1,20,15,16,6,23
275,2,2,1,2,2,15,27,7,6,26
276,1,2,1,2,1,12,8,3,24,28
277,1,2,2,2,1,11,6,0,2,13
278,1,2,1,2,2,44,17,0,10,15
279,1,1,1,2,2,34,20,31,5,26
280,2,1,1,2,1,16,8,2,4,16
281,2,2,1,2,1,28,14,10,2,16
282,2,2,1,3,2,27,17,9,19,26
283,1,2,1,2,1,18,6,1,0,8
284,1,2,1,2,1,23,21,5,28,24
285,2,2,2,2,2,35,24,30,34,26
286,2,2,2,2,3,29,31,8,8,26
287,1,3,1,1,2,23,31,9,13,24
288,1,2,1,2,1,16,20,6,4,12
289,2,2,1,2,1,26,21,16,12,35
290,3,3,2,3,3,21,23,3,27,33
291,2,2,1,2,1,18,11,7,3,16
292,1,2,1,2,1,37,18,5,16,15
293,2,3,2,2,2,31,21,1,8,20
294,2,2,1,2,2,25,15,6,24,18
295,1,1,1,1,1,15,6,6,2,7
296,1,2,1,2,1,10,4,10,4,9
297,1,2,1,2,1,15,8,16,14,33
298,1,2,2,2,2,10,12,3,10,24
299,2,2,1,2,1,24,14,17,15,15
300,2,2,1,2,2,12,11,0,0,12
301,2,3,1,2,3,19,22,8,11,21
302,1,2,1,2,2,31,22,12,9,23
303,1,2,2,2,1,53,24,25,18,53
304,1,2,1,1,2,14,9,8,1,11
305,2,2,2,2,3,16,9,3,5,13
306,1,2,1,2,2,19,23,27,16,26
307,2,1,1,2,2,20,14,1,3,12
308,1,1,1,1,1,10,13,1,0,9
309,2,2,1,2,1,13,4,0,11,18
310,2,3,2,2,2,19,21,11,3,22
311,2,1,1,2,2,13,7,10,9,14
312,2,2,2,2,1,25,20,5,15,22
313,1,1,1,2,2,13,12,1,2,12
314,1,2,1,2,1,12,6,0,0,12
315,2,2,2,2,2,28,19,27,20,52
316,1,1,1,2,1,27,17,10,7,16
317,2,2,1,2,1,13,17,3,3,17
318,2,2,1,2,2,12,9,2,1,13
319,1,2,1,2,1,30,47,15,3,16
320,2,2,1,2,1,28,26,15,13,22
321,2,2,1,2,2,27,25,12,9,31
322,2,2,2,2,2,22,18,14,11,28
323,1,1,1,2,1,19,18,11,4,16
324,1,2,1,2,2,33,31,4,21,27
325,1,2,1,2,2,24,20,2,3,19
326,2,2,1,2,1,18,19,7,7,34
327,2,2,2,2,3,19,17,24,22,17
328,1,3,1,2,1,19,7,4,4,6
329,2,2,1,2,2,25,23,0,2,17
330,2,2,2,2,1,8,11,10,1,13
331,1,2,2,2,2,36,13,23,29,28
332,1,2,1,2,1,23,17,19,23,16
333,1,2,1,2,2,7,3,1,1,6
334,1,2,1,2,2,16,12,5,0,17
335,1,2,1,2,1,15,8,1,1,10
336,1,2,2,3,2,51,28,18,46,35
337,2,2,1,2,2,23,14,19,16,35
338,2,2,1,2,1,19,14,44,37,29
339,2,1,1,2,1,16,14,20,13,11
340,2,2,2,2,2,14,9,4,5,25
341,2,2,1,2,1,11,8,2,9,16
342,2,2,2,3,2,20,14,33,20,18
343,2,2,1,3,2,19,21,29,7,23
344,2,2,1,2,2,26,15,9,19,20
345,1,1,1,1,1,9,6,5,0,0
346,2,2,1,2,2,25,22,20,23,21
347,2,1,1,2,1,27,27,20,5,26
348,2,2,1,2,2,30,27,4,23,23
349,2,2,1,2,2,12,6,0,1,17
350,2,2,1,2,1,31,18,18,39,24
351,2,2,1,2,2,22,16,25,6,15
352,2,2,1,2,1,19,14,5,1,11
353,2,2,1,2,2,15,9,4,7,16
354,2,3,1,2,1,17,10,10,16,22
355,1,2,1,2,1,9,2,0,1,15
356,1,2,1,2,1,10,14,1,1,10
357,1,2,1,2,1,14,17,0,7,18
358,2,2,1,2,1,37,27,17,0,16
359,2,1,1,2,1,18,34,2,15,29
360,1,2,1,2,1,11,7,0,3,24
361,2,2,2,2,2,35,20,8,4,28
362,1,2,1,2,1,22,19,20,13,23
363,1,2,1,2,1,19,19,13,10,25
364,2,3,2,3,3,31,23,22,20,55
365,1,2,1,2,2,18,12,0,0,13
366,2,2,2,2,2,22,13,15,15,13
367,2,3,2,2,2,20,18,21,19,32
368,2,2,1,2,2,8,10,1,1,7
369,2,2,1,2,2,17,32,5,9,26
370,1,2,1,2,2,18,12,8,26,37
371,1,2,1,2,1,52,33,1,37,38
372,1,1,1,2,1,12,16,1,1,13
373,2,2,2,2,2,28,15,9,11,31
374,1,2,1,3,2,18,22,8,8,17
375,1,2,2,2,2,29,12,24,31,21
376,2,2,1,3,2,14,16,8,0,13
377,1,2,1,2,1,20,15,0,3,16
378,2,2,2,3,2,41,22,31,29,29
