id,age,matching,mismatching
1,41,22.34,16.94
2,24,22.3,19.1
3,40,15.37,13.56
4,46,9.9,15.04
5,36,14.17,16.35
6,29,19.92,18.02
7,45,10.24,17.07
8,44,16.22,19.61
9,47,9.73,6.14
10,59,7.68,11.56
11,57,21.76,24.5
12,50,16.05,15.55
13,48,14.65,22.16
14,40,11.32,22.72
15,38,17.7,20.57
16,50,13.71,16.39
17,60,12.62,15.37
18,34,17.14,16.91
19,50,15.62,19.29
20,52,18.46,24.24
21,33,17.92,17.24
22,42,15.73,16.66
23,38,10.27,9.59
24,33,14.71,17.65
25,33,14,19.44
26,63,11.11,28.18
27,27,14.71,16.15
28,32,17.82,17.49
29,14,24.6,11.54
30,55,20.2,18.6
31,29,14.04,16.16
32,58,13.28,22.97
33,61,13.11,23.18
34,52,11.83,16.84
35,34,5.61,11.07
36,48,15.24,26.37
37,33,15.47,13.29
38,33,14.83,14.49
39,38,16.38,11.78
40,33,15.3,12.33
41,37,15.07,26.94
42,22,16.45,11.27
43,37,14.18,17.24
44,33,19.24,17.5
45,40,13.52,11.32
46,53,13.13,22.46
47,43,14.84,12
48,35,14.86,21.65
49,61,8.61,20.67
50,40,12.15,11.92
51,36,20.91,28.08
52,55,13.48,13.13
53,68,23.19,20.24
54,47,13.27,22.9
55,52,9.63,18.57
56,48,16.01,13.56
57,47,10.29,14.43
58,54,11.53,23.22
59,42,8.99,22.1
60,37,9.91,14.34
61,54,16.71,20.81
62,29,12.63,17.98
63,41,7.9,11.95
64,49,23.35,18.54
65,54,9.88,8.88
66,22,13.79,12.23
67,33,17.17,16.91
68,47,9.64,15.42
69,46,9.47,14.11
70,59,12.84,12.34
71,36,13.39,13.9
72,77,12.5,23.83
73,40,14.14,15.2
74,28,19.5,19.77
75,49,19.94,23.38
76,41,20.77,22.15
77,31,20.37,18.64
78,17,16.7,10.79
79,31,14.64,9.79
80,28,31.38,20.85
81,45,13.77,12.7
82,54,12.52,18.34
83,56,14.05,13.76
84,37,12.84,16.32
85,51,15.59,21.22
86,56,16.68,20.04
87,45,12.13,15.95
88,53,10.77,17.31
89,48,9.97,15.75
90,29,14.26,21.58
91,53,18.69,29.69
92,45,16.05,26.88
93,38,13.19,19.69
94,34,17.99,12.4
95,44,19.41,23.57
96,35,16.27,13.41
97,56,19.71,27.7
98,47,10.06,20.13
99,46,17.34,15.75
100,37,17.19,16.21
101,36,18.92,23.51
102,36,22.78,22.85
103,54,16.23,21.03
104,41,14.74,11.07
105,55,17.61,23.76
106,39,10,18.54
107,26,11.34,12.99
108,50,17.14,19.36
109,37,15.63,17.04
110,36,10.11,11.81
111,43,17.72,15.52
112,50,20.93,20.83
113,49,17.67,23.2
114,37,23.04,25.92
115,35,15.94,21.1
116,44,16.74,12.37
117,42,14.04,18.49
118,41,12.33,13.03
119,54,15.43,15.07
120,37,9.38,16.01
121,37,11.1,12.38
122,34,15.9,15.37
123,45,23.12,23.03
124,62,10.71,10.52
125,48,14.84,16.37
126,34,20.54,16.04
127,44,18.08,21.11
128,33,9.13,4.29
129,48,14.44,18.76
130,55,12.23,14.33
131,40,12.61,15.5
