"id","age","practice","matching","mismatching","height"
1,41,"yes",22.34,16.94,162
2,24,"yes",22.3,19.1,168
3,40,"yes",15.37,13.56,166
4,46,"yes",9.9,15.04,165
5,36,"yes",14.17,16.35,160
6,29,"yes",19.92,18.02,154
7,45,"no",10.24,17.07,179
8,44,"no",16.22,19.61,162
9,47,"yes",9.73,6.14,148
10,59,"no",7.68,11.56,153
11,57,"no",21.76,24.5,164
12,50,"yes",16.05,15.55,161
13,48,"no",14.65,22.16,146
14,40,"yes",11.32,22.72,166
15,38,"no",17.7,20.57,157
16,50,"no",13.71,16.39,156
17,60,"no",12.62,15.37,141
18,34,"yes",17.14,16.91,143
19,50,"no",15.62,19.29,168
20,52,"yes",18.46,24.24,152
21,33,"yes",17.92,17.24,164
22,42,"yes",15.73,16.66,164
23,38,"no",10.27,9.59,151
24,33,"no",14.71,17.65,159
25,33,"no",14,19.44,166
26,63,"no",11.11,28.18,149
27,27,"no",14.71,16.15,164
28,32,"yes",17.82,17.49,144
29,14,"yes",24.6,11.54,158
30,55,"no",20.2,18.6,173
31,29,"yes",14.04,16.16,135
32,58,"no",13.28,22.97,174
33,61,"no",13.11,23.18,153
34,52,"yes",11.83,16.84,168
35,34,"no",5.61,11.07,143
36,48,"no",15.24,26.37,163
37,33,"no",15.47,13.29,161
38,33,"yes",14.83,14.49,178
39,38,"yes",16.38,11.78,164
40,33,"yes",15.3,12.33,155
41,37,"no",15.07,26.94,160
42,22,"no",16.45,11.27,157
43,37,"no",14.18,17.24,166
44,33,"no",19.24,17.5,163
45,40,"yes",13.52,11.32,143
46,53,"no",13.13,22.46,177
47,43,"yes",14.84,12,155
48,35,"no",14.86,21.65,164
49,61,"no",8.61,20.67,168
50,40,"no",12.15,11.92,156
51,36,"no",20.91,28.08,171
52,55,"yes",13.48,13.13,154
53,68,"yes",23.19,20.24,154
54,47,"yes",13.27,22.9,135
55,52,"no",9.63,18.57,169
56,48,"yes",16.01,13.56,148
57,47,"no",10.29,14.43,145
58,54,"yes",11.53,23.22,152
59,42,"no",8.99,22.1,153
60,37,"yes",9.91,14.34,151
61,54,"no",16.71,20.81,163
62,29,"no",12.63,17.98,162
63,41,"no",7.9,11.95,167
64,49,"yes",23.35,18.54,165
65,54,"yes",9.88,8.88,162
66,22,"yes",13.79,12.23,166
67,33,"no",17.17,16.91,137
68,47,"no",9.64,15.42,157
69,46,"no",9.47,14.11,148
70,59,"no",12.84,12.34,164
71,36,"no",13.39,13.9,155
72,77,"yes",12.5,23.83,184
73,40,"no",14.14,15.2,152
74,28,"yes",19.5,19.77,177
75,49,"no",19.94,23.38,144
76,41,"yes",20.77,22.15,179
77,31,"yes",20.37,18.64,160
78,17,"yes",16.7,10.79,165
79,31,"yes",14.64,9.79,164
80,28,"yes",31.38,20.85,172
81,45,"yes",13.77,12.7,181
82,54,"yes",12.52,18.34,144
83,56,"yes",14.05,13.76,161
84,37,"no",12.84,16.32,168
85,51,"no",15.59,21.22,152
86,56,"no",16.68,20.04,150
87,45,"no",12.13,15.95,173
88,53,"no",10.77,17.31,166
89,48,"no",9.97,15.75,148
90,29,"no",14.26,21.58,145
91,53,"no",18.69,29.69,156
92,45,"no",16.05,26.88,174
93,38,"yes",13.19,19.69,141
94,34,"yes",17.99,12.4,162
95,44,"no",19.41,23.57,157
96,35,"yes",16.27,13.41,165
97,56,"yes",19.71,27.7,156
98,47,"no",10.06,20.13,167
99,46,"yes",17.34,15.75,184
100,37,"yes",17.19,16.21,154
101,36,"no",18.92,23.51,160
102,36,"yes",22.78,22.85,164
103,54,"yes",16.23,21.03,157
104,41,"yes",14.74,11.07,155
105,55,"no",17.61,23.76,142
106,39,"no",10,18.54,163
107,26,"no",11.34,12.99,169
108,50,"no",17.14,19.36,157
109,37,"yes",15.63,17.04,158
110,36,"yes",10.11,11.81,146
111,43,"no",17.72,15.52,175
112,50,"yes",20.93,20.83,158
113,49,"no",17.67,23.2,171
114,37,"no",23.04,25.92,170
115,35,"no",15.94,21.1,166
116,44,"yes",16.74,12.37,172
117,42,"no",14.04,18.49,151
118,41,"no",12.33,13.03,173
119,54,"no",15.43,15.07,162
120,37,"no",9.38,16.01,160
121,37,"yes",11.1,12.38,149
122,34,"yes",15.9,15.37,156
123,45,"yes",23.12,23.03,155
124,62,"yes",10.71,10.52,161
125,48,"yes",14.84,16.37,165
126,34,"no",20.54,16.04,148
127,44,"no",18.08,21.11,162
128,33,"yes",9.13,4.29,169
129,48,"no",14.44,18.76,141
130,55,"yes",12.23,14.33,157
131,40,"yes",12.61,15.5,163
