birthmonth,height,eyecolour,catdog,threewords,year,course,in_uk,gender,optimism,spirituality,ampm,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,pseudonym,sleeprating
dec,180,brown,Dog,agreeable; conscientious; excitable,2022,usmr,NA,NA,NA,10,Morning person,30,42,33,30,33,26,buddy0115,73
jul,162,brown,Dog,"Creative, Positive, Distractible",2022,usmr,NA,NA,NA,65,Evening person,34,39,36,31,33,24,Kitty,NA
nov,175,brown,Cat,"imaginative, analytical and introverted",2022,usmr,NA,NA,NA,20,Evening person,22,44,29,27,37,22,NA,75
nov,175,brown,Cat,inquisitive; introverted; creative,2022,usmr,NA,NA,NA,50,Morning person,23,40,35,20,42,22,NA,75
jul,168.5,brown,Dog,"Persistent, youthful, melancholic",2022,usmr,NA,NA,NA,44,Morning person,16,36,31,27,40,21,1208,66
may,157.48,brown,Dog,"flexible, adventurous, organized",2022,usmr,NA,NA,NA,80,Evening person,34,44,42,37,36,27,silly sausage,80
may,170,brown,Cat,"Passionate, curious, creative",2022,usmr,NA,NA,NA,60,Morning person,32,43,32,24,40,26,Nsqrl,60
aug,168,blue,Dog,"Non-judgemental, introverted, stressed",2022,usmr,NA,NA,NA,50,Morning person,32,35,43,16,28,24,April,60
jul,178,blue,Cat,"Determined, organised, honest",2022,usmr,NA,NA,NA,60,Morning person,31,42,42,20,46,26,Agirl,90
jun,166,brown,Cat,"Happy, curious, mediterranean",2022,usmr,NA,NA,NA,80,Evening person,31,43,39,36,34,23,DELL73,85
jul,189,green,Dog,"energetic, thinker, excited",2022,usmr,NA,NA,NA,90,Evening person,40,44,33,27,40,28,Casey,78
apr,180,brown,Dog,"Smart, Honest, Lazy",2022,usmr,NA,NA,NA,20,Evening person,18,44,36,25,34,18,Dreamy,60
jul,168,brown,Dog,"Rational, assertive, introverted",2022,usmr,NA,NA,NA,60,Evening person,21,31,41,24,49,23,SL,40
jul,154,brown,Cat,"Stubborn, opinionated, eccentric",2022,usmr,NA,NA,NA,70,Morning person,24,30,27,13,37,18,NA,40
aug,159,brown,Cat,sleepy all day,2022,usmr,NA,NA,NA,30,Evening person,27,39,26,27,26,20,penguin,90
nov,177,blue,Cat,"Introspective, anxious, existentialist",2022,usmr,NA,NA,NA,4,Morning person,19,41,32,34,42,23,LL8991,79
jun,161,brown,Dog,"Funny, Brave, Kind",2022,usmr,NA,NA,NA,80,Morning person,30,44,38,27,40,27,Tom,87
jan,177,blue,Dog,I am Josiah!,2022,usmr,NA,NA,NA,15,Morning person,20,38,39,31,39,22,Josiah,50
jun,188,blue,Dog,Open; Driven; Contemplative,2022,usmr,NA,NA,NA,70,Morning person,33,36,37,38,46,26,Decimus,75
sep,170,grey,Cat,"Funny, curious, moody",2022,usmr,NA,NA,NA,65,Morning person,32,NA,32,20,44,22,NA,25
sep,152.7,blue,Cat,"ambicious, , brave, curious",2022,usmr,NA,NA,NA,0,Evening person,24,29,46,14,47,30,NA,68
may,170.18,blue,Cat,"Indecisive, open, and curious.",2022,usmr,NA,NA,NA,75,Evening person,26,43,37,23,41,23,SU,50
aug,166,brown,Cat,curious passionate energetic,2022,usmr,NA,NA,NA,10,Evening person,40,43,38,21,45,22,NA,80
dec,161,other,Cat,Motivated  warm collaborated,2022,usmr,NA,NA,NA,85,Evening person,37,40,31,42,35,20,DD,90
nov,168,hazel,Cat,"Conscientious, Disagreeable, Introverted",2022,usmr,NA,NA,NA,50,Evening person,20,17,42,47,50,30,D.J.,90
nov,153,blue,Cat,"curious, sensitive, driven",2022,usmr,NA,NA,NA,75,Morning person,29,43,30,22,38,19,w,60
may,168,brown,Cat,"ideological, curious, empathetic",2022,usmr,NA,NA,NA,30,Evening person,35,44,41,18,39,19,NA,45
jun,163.8,hazel,Dog,"Emotional, stubborn, observant",2022,usmr,NA,NA,NA,15,Evening person,37,32,22,18,35,25,F0104,70
apr,181,brown,Dog,Never give up,2022,usmr,NA,NA,NA,40,Evening person,34,44,35,34,39,26,CNF,70
may,158,brown,Cat,"adventurous, shy, independent",2022,usmr,NA,NA,NA,90,Morning person,19,40,39,20,35,22,J,78
