handed,ampm,isLeft
right,night,other
right,night,other
right,night,other
left,morning,left
right,night,other
right,morning,other
right,morning,other
right,morning,other
right,night,other
right,morning,other
right,night,other
right,morning,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,night,other
left,morning,left
right,night,other
right,night,other
left,night,left
right,morning,other
right,night,other
left,morning,left
left,morning,left
right,night,other
right,night,other
right,night,other
left,morning,left
right,night,other
right,night,other
right,night,other
right,night,other
right,night,other
right,night,other
right,morning,other
right,morning,other
left,night,left
left,night,left
right,morning,other
right,night,other
right,morning,other
right,night,other
right,morning,other
right,night,other
left,morning,left
right,night,other
left,morning,left
right,morning,other
right,morning,other
right,night,other
left,night,left
left,morning,left
right,morning,other
right,night,other
right,night,other
ambi,night,other
right,night,other
right,morning,other
right,night,other
right,morning,other
ambi,night,other
left,morning,left
right,night,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,night,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,night,other
right,morning,other
right,morning,other
right,night,other
right,night,other
right,night,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,night,other
right,night,other
right,night,other
right,morning,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,morning,other
right,morning,other
right,morning,other
ambi,night,other
right,morning,other
left,morning,left
right,morning,other
right,night,other
right,night,other
right,night,other
right,night,other
right,night,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,morning,other
right,night,other
right,night,other
right,morning,other
right,night,other
left,morning,left
right,night,other
right,night,other
right,night,other
right,night,other
right,morning,other
right,morning,other
left,night,left
right,morning,other
right,night,other
right,night,other
ambi,morning,other
left,morning,left
right,morning,other
right,night,other
right,morning,other
right,night,other
right,night,other
right,night,other
left,morning,left
right,night,other
ambi,night,other
right,night,other
right,night,other
right,night,other
right,morning,other
right,morning,other
right,night,other
right,morning,other
right,morning,other
right,night,other
right,night,other
