"height","group"
103.349811054117,"control"
103.155503287851,"control"
109.286576866931,"control"
120.033668955909,"control"
126.733902679307,"control"
119.855223427029,"control"
128.089194871969,"control"
113.661140815014,"control"
118.179997838254,"control"
116.028093980021,"control"
123.901834095991,"control"
115.253655488985,"control"
113.857496765289,"control"
121.70695114802,"control"
110.518543780256,"control"
138.529991436624,"control"
123.886923602722,"control"
99.6309089765946,"control"
120.264449151073,"control"
99.4827181027514,"control"
118.344752510521,"control"
114.052248893932,"control"
106.953829475458,"control"
114.76893650166,"control"
106.351748306107,"control"
124.827914631381,"control"
126.507041718265,"control"
123.757727983753,"control"
112.632810224917,"control"
128.546004489606,"control"
96.5379744276483,"control"
103.215641115894,"control"
124.680433939202,"control"
108.635435014646,"control"
113.104233341869,"control"
116.120549022182,"control"
124.266697958401,"control"
96.5581764297166,"control"
101.024006593122,"control"
109.634344167209,"control"
116.11161691253,"control"
137.672876678808,"control"
108.722363764008,"control"
106.561006834457,"control"
117.510712441326,"control"
118.690140906552,"control"
97.8356607182243,"control"
107.576231935221,"control"
100.800016464265,"control"
119.580000942249,"control"
108.379571094059,"control"
129.315919253636,"control"
122.490390767616,"control"
123.91821990998,"control"
106.197110651445,"control"
116.627447455047,"control"
94.6297020726824,"control"
99.5649340572221,"control"
128.100368285764,"control"
120.16207929115,"control"
129.317658198787,"control"
136.666476578661,"control"
118.400075829028,"control"
121.625192890969,"control"
102.735783793551,"control"
106.150038836209,"control"
123.167673704628,"control"
114.517151037257,"control"
114.999491358498,"control"
115.028431511329,"control"
111.675056111903,"control"
113.525546123114,"control"
127.301440501574,"control"
109.595070206122,"control"
112.117941745385,"control"
106.370191158008,"control"
129.414775547981,"control"
131.526122434266,"control"
101.498491504006,"control"
116.895460757625,"control"
97.7922914145705,"control"
109.54485258648,"control"
129.89795930022,"control"
119.105185263604,"control"
102.026432317401,"control"
125.539104866412,"control"
110.335414620658,"control"
110.007196041606,"control"
117.616731198437,"control"
96.832343065943,"control"
113.411118311339,"control"
115.311967705021,"control"
124.107399395975,"control"
115.023054897598,"control"
117.512019673078,"control"
133.666226323222,"control"
114.068093736762,"control"
122.078747869604,"control"
131.951130547868,"control"
121.928873633072,"control"
117.487150596733,"control"
122.399309219917,"control"
139.597676492615,"control"
120.891455796215,"control"
113.289025305634,"control"
118.33476990086,"control"
118.573180980711,"control"
115.697369729554,"control"
110.717682440102,"control"
121.760481415807,"control"
105.607686738961,"control"
121.862858549163,"control"
95.9882670533796,"control"
117.16132608186,"control"
121.232600629462,"control"
91.2086458796784,"control"
107.906773597291,"control"
120.187263664513,"control"
132.420295764091,"control"
111.688399069063,"control"
116.843807284391,"control"
117.664517147351,"control"
122.212970108306,"control"
107.534337851285,"control"
109.767052187471,"control"
113.573881841307,"control"
120.176199983393,"control"
106.807492564269,"control"
123.558653047681,"control"
123.3243942343,"control"
125.922873520963,"control"
123.165184676626,"control"
99.6274800055086,"control"
110.911369848912,"control"
136.790144038352,"control"
119.984123573673,"control"
101.643413197109,"control"
122.46964151785,"control"
118.032930661817,"control"
99.3330436679901,"control"
117.907244834772,"control"
91.5730502332595,"control"
111.406750936959,"control"
122.923562103758,"control"
115.854670057449,"control"
123.656226256775,"control"
111.054036239875,"control"
121.588636753779,"control"
136.2750600263,"control"
110.640047964353,"control"
105.399593359939,"control"
122.755178880044,"control"
109.092224856368,"control"
121.979053202189,"control"
129.785392675508,"control"
108.544596685268,"control"
112.82973289253,"control"
95.9091516353173,"control"
126.502452480763,"control"
102.039177910452,"control"
131.992776274664,"control"
125.479298278924,"control"
123.107564613901,"control"
116.595795014351,"control"
110.355281795196,"control"
128.487246707267,"control"
122.526664584223,"control"
115.831569210429,"control"
118.087702023941,"control"
114.130798607077,"control"
128.449313320358,"control"
117.54700075747,"control"
113.169127120348,"control"
108.31586617006,"control"
120.368320006982,"control"
110.199753533327,"control"
91.7388011052829,"control"
93.9961067195659,"control"
106.525193608221,"control"
106.670889261746,"control"
120.594088919653,"control"
112.653073855751,"control"
108.281426682183,"control"
120.607013393701,"control"
120.084985472652,"control"
112.598570106771,"control"
118.959457003302,"control"
96.773691241811,"control"
103.645813856004,"control"
121.471680383197,"control"
116.790432329367,"control"
117.715319141201,"control"
109.933661049082,"control"
114.704747392617,"control"
114.767666124476,"control"
116.027471474928,"control"
122.809936106573,"control"
115.800523999051,"control"
118.826375914274,"control"
124.513054528577,"control"
100.31335487191,"control"
127.762928665189,"control"
105.932784849211,"control"
110.957424746842,"control"
116.024358155489,"control"
113.328176792052,"control"
103.388067396756,"control"
110.128605634054,"control"
95.1308560248804,"control"
121.007934583949,"control"
124.036598885579,"control"
112.935983849674,"control"
111.043524264097,"control"
105.107230321921,"control"
110.558029902843,"control"
128.281837461136,"control"
122.107929319393,"control"
127.743083146334,"control"
102.64598160624,"control"
104.303276868609,"control"
119.471852679134,"control"
119.662090077935,"control"
116.480041076553,"control"
112.944438842739,"control"
95.4802818952996,"control"
