"attitude1"	"attitude2"	"attitude3"	"attitude4"	"SN1"	"SN2"	"SN3"	"SN4"	"PBC1"	"PBC2"	"PBC3"	"PBC4"	"int1"	"int2"	"int3"	"int4"	"int5"	"beh1"	"beh2"	"beh3"	"beh4"
"1"	5	2	3	3	4	2	3	4	3	2	2	3	2	3	3	2	3	4	3	4	4
"2"	6	5	5	6	3	3	5	3	3	3	3	3	5	3	5	4	3	4	4	4	6
"3"	4	4	7	3	5	6	5	3	5	4	4	6	6	4	5	5	4	4	5	4	5
"4"	1	2	1	3	4	6	3	3	2	4	2	1	6	3	4	4	3	3	5	4	5
"5"	2	3	3	3	4	3	5	5	4	4	2	4	3	5	5	5	4	5	6	3	2
"6"	5	4	3	3	6	4	5	5	3	3	4	5	6	6	6	6	5	6	6	3	2
"7"	7	5	4	3	4	5	4	4	5	5	4	4	5	5	4	6	7	4	6	5	2
"8"	5	4	5	4	4	3	3	3	4	3	5	5	4	3	5	3	5	4	4	5	5
"9"	4	4	5	4	5	5	5	4	4	4	4	5	5	4	5	3	7	6	5	5	4
"10"	3	4	3	4	4	5	4	4	5	3	5	5	6	3	5	4	5	3	6	5	5
"11"	4	4	4	3	4	4	5	4	2	3	4	5	3	4	5	4	6	6	6	6	3
"12"	3	5	4	5	5	4	4	4	5	5	4	6	3	3	5	3	4	5	6	5	4
"13"	1	4	3	4	6	4	4	7	3	4	3	4	4	4	4	5	6	4	5	6	3
"14"	4	3	5	4	5	5	4	3	6	5	4	6	5	6	7	6	6	6	4	7	5
"15"	5	4	4	4	2	3	4	3	3	3	2	4	3	1	2	2	5	3	4	4	3
"16"	2	5	3	5	3	3	4	3	4	4	5	2	5	3	3	3	4	1	2	3	6
"17"	5	6	4	4	4	4	4	3	4	3	4	4	3	3	2	3	5	4	6	5	3
"18"	6	4	4	4	2	3	3	3	4	4	4	1	3	3	2	5	3	4	2	4	6
"19"	4	4	4	4	4	3	4	5	3	3	3	4	3	2	3	4	3	4	5	5	5
"20"	7	5	4	5	5	4	5	5	4	5	5	4	7	4	6	3	6	3	5	4	5
"21"	5	5	5	4	5	4	4	4	4	3	4	4	4	4	4	2	5	3	5	5	6
"22"	4	3	4	4	4	3	3	4	2	4	4	5	2	2	4	4	4	5	2	2	5
"23"	6	5	5	5	4	3	5	6	4	3	5	5	3	3	6	5	5	5	6	3	3
"24"	3	4	4	5	5	4	3	4	5	5	3	4	4	4	5	5	5	5	5	6	5
"25"	5	5	4	5	6	2	3	1	4	3	4	4	3	5	6	7	5	4	3	5	4
"26"	4	5	3	5	3	2	4	4	5	5	4	7	3	4	2	5	5	4	5	4	4
"27"	7	4	7	4	5	5	4	4	5	2	3	3	4	3	2	4	4	4	4	6	6
"28"	3	4	4	4	4	3	3	5	5	4	4	5	4	3	5	3	4	4	5	4	3
"29"	5	4	5	6	5	3	6	5	5	4	4	6	2	4	4	4	3	2	4	3	5
"30"	2	3	3	4	3	3	5	3	3	4	3	2	3	2	3	3	3	2	5	3	3
"31"	5	3	4	3	5	4	4	5	5	5	2	4	5	4	7	5	4	4	6	4	4
"32"	4	3	4	3	3	1	4	3	4	4	5	5	4	4	4	4	4	5	6	4	4
"33"	4	5	5	5	4	4	2	4	1	3	3	5	4	2	2	4	3	2	4	5	4
"34"	4	6	5	5	7	4	6	5	4	6	3	6	6	7	5	5	7	4	5	4	3
"35"	5	2	3	4	4	5	4	5	4	4	5	4	4	4	5	6	5	5	5	5	3
"36"	5	3	4	4	5	3	4	4	3	3	3	3	4	4	3	4	3	4	7	5	3
"37"	3	5	4	6	7	6	4	4	4	4	5	4	5	5	6	5	5	5	6	5	2
"38"	6	5	5	3	4	4	5	5	4	4	4	4	2	5	4	4	4	3	5	4	4
"39"	4	5	5	5	5	4	5	7	4	4	4	5	6	6	6	4	5	5	7	4	3
"40"	4	4	2	3	3	3	4	1	3	3	4	3	4	4	4	5	4	4	3	4	4
"41"	6	4	5	5	4	3	3	3	3	4	5	4	5	3	5	2	4	3	4	4	6
"42"	3	4	5	6	3	3	3	4	5	2	3	3	4	4	4	3	5	4	2	5	4
"43"	3	5	2	4	5	4	6	5	4	3	3	1	4	4	5	5	6	5	3	4	4
"44"	3	4	3	3	4	5	5	3	1	3	4	3	5	4	3	3	4	4	5	4	4
"45"	4	4	4	4	6	3	4	4	4	4	4	4	3	3	3	2	3	4	4	3	6
"46"	4	4	3	4	6	4	5	3	3	5	3	4	4	3	6	4	6	2	2	3	5
"47"	3	4	5	5	4	3	4	2	2	4	4	4	4	4	3	5	3	4	5	4	4
"48"	7	5	5	4	6	6	5	5	4	4	5	4	6	7	6	7	7	5	5	5	3
"49"	5	3	3	4	3	4	5	4	2	3	3	1	3	3	1	2	5	4	3	5	4
"50"	2	3	4	3	4	5	5	3	3	4	3	4	3	4	3	3	3	2	3	2	6
"51"	5	4	6	6	4	4	5	3	4	6	5	4	4	5	5	5	4	5	4	5	3
"52"	2	4	3	2	3	4	5	4	4	3	3	5	5	3	5	4	4	4	2	4	5
"53"	3	4	3	4	3	3	4	5	4	5	2	3	5	4	5	3	5	6	5	4	4
"54"	3	3	3	3	4	2	4	3	4	4	2	4	4	3	4	3	6	4	4	5	5
"55"	3	3	3	3	6	3	6	3	3	4	5	4	6	4	5	5	4	4	4	5	7
"56"	6	4	4	4	4	3	4	5	4	5	3	2	6	3	4	3	4	4	4	2	4
"57"	5	7	6	5	3	4	6	5	4	5	5	5	5	4	4	3	6	5	5	4	5
"58"	1	1	3	3	3	2	4	3	4	3	3	4	4	3	3	3	4	3	5	4	6
"59"	3	1	3	3	6	3	2	2	3	4	5	3	4	4	5	3	5	4	3	3	6
"60"	5	5	3	3	5	5	5	5	4	4	4	5	4	4	4	5	6	4	4	4	5
