age,condition,trust
20,social media,47.231862594789234
44,social media,43.749273847695264
25,social media,51.825451709949064
31,social media,50.209880213255055
23,social media,43.65174738700041
34,social media,52.78765549006169
31,social media,47.82041853699856
41,social media,48.226447540240024
21,social media,49.32503343355926
43,social media,51.00192153945496
39,social media,46.59603794856165
43,social media,48.2631758939866
37,social media,45.72178015329512
24,social media,50.988313739157974
21,social media,48.644092788007235
19,social media,46.88347719354014
26,social media,42.67276013127035
20,social media,47.19094513660197
34,social media,45.37795025946411
27,social media,49.37625227941357
27,social media,47.286365368354446
34,social media,48.17285874198897
24,social media,50.54579342244182
20,social media,45.05114872123941
26,social media,44.908676597489645
37,social media,44.385324189903784
37,social media,43.1375968219683
21,social media,46.977348418291825
36,social media,40.33820319665415
20,social media,50.65054005852852
24,social media,48.131497798674296
36,social media,39.41516250879892
28,social media,50.20369632111084
40,social media,38.86037672396783
25,social media,47.11499759338205
25,social media,54.16123586891827
18,social media,48.769671939245356
20,social media,39.639667165226385
28,social media,42.2764531023094
25,social media,47.39262832182394
39,BBC,45.9298001789007
34,BBC,44.008972875554676
24,BBC,50.35441062807203
42,BBC,46.92094548169068
21,BBC,44.784173439024826
30,BBC,48.99324410028919
35,BBC,48.230098984516346
22,BBC,47.5499136252719
22,BBC,49.033500236459936
39,BBC,44.031210272802255
44,BBC,45.62395613241651
29,BBC,50.33800095162093
25,BBC,48.66829329577625
24,BBC,43.35598686543641
24,BBC,45.553442323729975
36,BBC,42.441960908503155
43,BBC,43.8588267502378
39,BBC,50.731028286698276
24,BBC,48.600748982189835
40,BBC,42.27942691140225
30,BBC,50.474169259954394
44,BBC,47.60303853191214
29,BBC,50.95143235156678
35,BBC,45.32225821855954
25,BBC,47.13021494972474
24,BBC,51.84806139159135
30,BBC,47.50717052151873
24,BBC,48.36417645841851
24,BBC,44.62839437170682
43,BBC,48.87253134508377
31,BBC,47.35741947375621
32,BBC,47.301135234317705
32,BBC,46.37750365459913
26,BBC,43.79684069519185
37,BBC,42.10242329451736
18,BBC,50.933718424543656
34,BBC,46.874748912379026
44,BBC,43.12820553233208
36,BBC,44.14926856942468
18,BBC,41.96579996431839
43,politician,37.86470733602586
21,politician,45.77311678532297
23,politician,42.207421596726164
39,politician,42.26617288506761
27,politician,42.44983266410515
33,politician,45.12586260601058
37,politician,39.41852822673364
28,politician,45.479733796343425
34,politician,45.93393765017944
25,politician,45.13878500780848
29,politician,39.90818552357217
42,politician,40.06200821874778
31,politician,44.918966169505346
20,politician,39.94320678398944
41,politician,47.92276097430158
21,politician,39.68291279460679
44,politician,46.949518437274286
25,politician,42.14534601784512
34,politician,40.38931511229614
23,politician,46.01914647674499
24,politician,47.684643052129886
20,politician,47.788155170174136
24,politician,48.79516848251146
30,politician,39.80331325245659
40,politician,36.33602444428945
44,politician,40.99187819437058
31,politician,42.40164344391075
42,politician,35.024364762765785
27,politician,44.65001560390915
42,politician,43.87852453197873
39,politician,40.82001192371334
39,politician,46.432910436002246
38,politician,43.166097256548035
30,politician,41.29585336152997
33,politician,41.75670086771944
28,politician,42.49210673328681
31,politician,47.235251425051025
33,politician,46.308282787218126
21,politician,47.539712355376736
29,politician,42.91056792057816
