birthmonth,height,eyecolour,catdog,threewords,year,course,spirituality,ampm,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,pseudonym,sleeprating
dec,180,brown,dog,agreeable; conscientious; excitable,2022,usmr,10,Morning person,30,42,33,30,33,26,buddy0115,73
jul,162,brown,dog,"Creative, Positive, Distractible",2022,usmr,65,Evening person,34,39,36,31,33,24,Kitty,NA
nov,175,brown,cat,"imaginative, analytical and introverted",2022,usmr,20,Evening person,22,44,29,27,37,22,NA,75
nov,175,brown,cat,inquisitive; introverted; creative,2022,usmr,50,Morning person,23,40,35,20,42,22,NA,75
jul,168.5,brown,dog,"Persistent, youthful, melancholic",2022,usmr,44,Morning person,16,36,31,27,40,21,1208,66
may,157.48,brown,dog,"flexible, adventurous, organized",2022,usmr,80,Evening person,34,44,42,37,36,27,silly sausage,80
may,170,brown,cat,"Passionate, curious, creative",2022,usmr,60,Morning person,32,43,32,24,40,26,Nsqrl,60
aug,168,blue,dog,"Non-judgemental, introverted, stressed",2022,usmr,50,Morning person,32,35,43,16,28,24,April,60
jul,178,blue,cat,"Determined, organised, honest",2022,usmr,60,Morning person,31,42,42,20,46,26,Agirl,90
jun,166,brown,cat,"Happy, curious, mediterranean",2022,usmr,80,Evening person,31,43,39,36,34,23,DELL73,85
jul,189,green,dog,"energetic, thinker, excited",2022,usmr,90,Evening person,40,44,33,27,40,28,Casey,78
apr,180,brown,dog,"Smart, Honest, Lazy",2022,usmr,20,Evening person,18,44,36,25,34,18,Dreamy,60
jul,168,brown,dog,"Rational, assertive, introverted",2022,usmr,60,Evening person,21,31,41,24,49,23,SL,40
jul,154,brown,cat,"Stubborn, opinionated, eccentric",2022,usmr,70,Morning person,24,30,27,13,37,18,NA,40
aug,159,brown,cat,sleepy all day,2022,usmr,30,Evening person,27,39,26,27,26,20,penguin,90
nov,177,blue,cat,"Introspective, anxious, existentialist",2022,usmr,4,Morning person,19,41,32,34,42,23,LL8991,79
jun,161,brown,dog,"Funny, Brave, Kind",2022,usmr,80,Morning person,30,44,38,27,40,27,Tom,87
jan,177,blue,dog,I am Josiah!,2022,usmr,15,Morning person,20,38,39,31,39,22,Josiah,50
jun,188,blue,dog,Open; Driven; Contemplative,2022,usmr,70,Morning person,33,36,37,38,46,26,Decimus,75
sep,170,grey,cat,"Funny, curious, moody",2022,usmr,65,Morning person,32,34,32,20,44,22,NA,25
sep,152.7,blue,cat,"ambicious, , brave, curious",2022,usmr,0,Evening person,24,29,46,14,47,30,NA,68
may,170.18,blue,cat,"Indecisive, open, and curious.",2022,usmr,75,Evening person,26,43,37,23,41,23,SU,50
aug,166,brown,cat,curious passionate energetic,2022,usmr,10,Evening person,40,43,38,21,45,22,NA,80
dec,161,other,cat,Motivated  warm collaborated,2022,usmr,85,Evening person,37,40,31,42,35,20,DD,90
nov,168,hazel,cat,"Conscientious, Disagreeable, Introverted",2022,usmr,50,Evening person,20,17,42,47,50,30,D.J.,90
nov,153,blue,cat,"curious, sensitive, driven",2022,usmr,75,Morning person,29,43,30,22,38,19,w,60
may,168,brown,cat,"ideological, curious, empathetic",2022,usmr,30,Evening person,35,44,41,18,39,19,NA,45
jun,163.8,hazel,dog,"Emotional, stubborn, observant",2022,usmr,15,Evening person,37,32,22,18,35,25,F0104,70
apr,181,brown,dog,Never give up,2022,usmr,40,Evening person,34,44,35,34,39,26,CNF,70
may,158,brown,cat,"adventurous, shy, independent",2022,usmr,90,Morning person,19,40,39,20,35,22,J,78
oct,165,brown,dog,"bubbly, amiable, thoughtful",2022,usmr,80,Morning person,40,46,31,10,44,20,salmon,20
oct,178,brown,dog,"Happy, crazy, curious",2022,usmr,60,Morning person,34,44,29,38,31,25,Tupeaux,90
aug,175,blue,cat,"Cunning, Caring, Impulsive",2022,usmr,85,Evening person,40,41,26,27,46,21,Uncle,70
mar,157.4,brown,dog,Independent. Resourceful. Creative.,2022,usmr,85,Morning person,30,41,40,27,47,23,Matilda,75
dec,168.5,brown,dog,"Introverted, nice, interesting",2022,usmr,90,Evening person,18,41,37,28,26,15,Karen,85
aug,160,other,dog,"idealist, procrastinator, bookworm",2022,usmr,70,Morning person,29,43,36,26,34,20,77,50
oct,158,brown,dog,"Kind, silent, and calm.",2022,usmr,89,Evening person,12,35,42,22,28,18,NA,99
mar,NA,brown,cat,NA,2022,usmr,20,Morning person,27,33,33,39,26,23,NA,90
apr,164,brown,dog,positive development  free,2022,usmr,90,Evening person,33,39,31,35,30,25,LLL,85
apr,182,green,dog,"kind, empathetic, sensitive",2022,usmr,50,Morning person,26,43,35,25,30,23,susanne,75
jun,157,hazel,dog,"fun, overthinker, movie junkie",2022,usmr,50,Evening person,40,45,39,32,40,25,Hermione Granger,70
jun,156,brown,cat,"Honest, Passionate, Organised",2022,usmr,90,Morning person,36,45,39,28,37,24,Monica,80
sep,157,brown,dog,"Intelligent, witty, caring",2022,usmr,88,Evening person,40,47,47,39,45,21,Diana,78
jan,172,blue,dog,"Athletic, chatty, easygoing",2022,usmr,60,Evening person,43,40,40,28,34,21,1845,89
dec,177.8,green,dog,"curious, kind, open-minded",2022,usmr,70,Morning person,38,46,35,38,36,23,michael,80
dec,154,brown,cat,"open-minded, myopic, musical",2022,usmr,70,Evening person,28,30,36,41,36,24,NA,15
jul,162,brown,dog,"quiet, silly, curious",2022,usmr,8,Morning person,26,44,34,23,45,26,NA,7
sep,175.26,other,dog,"Caring, Enthusiastic, Respectful",2022,usmr,50,Evening person,31,41,39,38,32,24,I21J,70
apr,162.56,brown,cat,"creative, optimistic, curious",2022,usmr,0,Morning person,36,43,31,27,38,19,grace f,90
may,170,hazel,dog,Trying my best,2022,usmr,90,Morning person,17,32,29,25,26,16,NA,60
mar,178,blue,dog,"Ambitious, Weird, Loyal",2022,usmr,70,Evening person,30,36,37,24,40,24,Eliza,50
jul,167,green,cat,"Resillient, intuitive, open-minded",2022,usmr,25,Evening person,37,44,35,37,36,26,NA,75
apr,170,blue,dog,"open-minded, excitable, sociable",2022,usmr,20,Evening person,39,42,37,31,36,24,RedPandaLover123,70
mar,157,hazel,dog,"Sweet, curious, adaptable.",2022,usmr,100,Evening person,23,47,45,33,42,27,WSKYLPZ,90
feb,162.4,brown,dog,"introvert, earnest，dependent",2022,usmr,50,Evening person,15,32,27,29,35,23,cool,66
aug,157,green,dog,Fun smiley friendly,2022,usmr,100,Morning person,46,39,45,27,38,26,NEB,50
dec,164,brown,dog,"Honest, Friendly, Sensitive",2022,usmr,70,Morning person,29,45,40,26,32,21,Y,70
may,162.5,brown,dog,"anxious, curious, kind",2022,usmr,100,Evening person,26,34,29,25,29,23,dex09,65
jun,180.3,brown,cat,"tired, funny, tall",2022,usmr,80,Evening person,41,38,27,40,41,23,B,65
jan,160,green,cat,"kind, interested, anxious",2022,usmr,15,Evening person,26,44,34,19,40,26,Mila,60
nov,157,brown,cat,"sleepy, perfectionistic, clumsy",2022,usmr,80,Evening person,13,38,37,17,34,20,aww,40
mar,177,brown,cat,"patient, friendly, good-listener",2022,usmr,70,Morning person,28,33,38,40,29,23,NA,85
may,182,brown,dog,"confident, smart, outgoing",2022,usmr,80,Evening person,30,39,37,26,41,18,MeiYR,90
may,164,brown,cat,authentic slow observant,2022,usmr,90,Evening person,36,46,26,35,50,23,Niña,75
may,178,green,cat,NA,2022,usmr,99,Morning person,50,22,14,18,18,6,Definitely not Ian,3
jun,173,hazel,dog,"gameness, foodie, chitchat",2022,usmr,60,Evening person,36,33,20,31,41,16,NA,75
jul,173.4,brown,dog,extrovert helpful emotional,2022,usmr,70,Evening person,32,34,30,32,43,20,NA,45
jul,172,brown,dog,"Adventurous, energetic, positive",2022,usmr,50,Evening person,39,46,27,45,39,30,7,73
jun,174,brown,cat,NA,2022,usmr,65,Evening person,34,40,36,31,37,21,H,75
sep,152.7,blue,cat,"complicated, smart, witty",2022,usmr,17,Evening person,22,28,44,10,50,30,jackie,57
oct,164,brown,dog,"honest, introvert, curious",2022,usmr,100,Morning person,26,38,44,41,42,25,NA,90
jul,176,blue,dog,"quiet, special, coffee-lover",2022,usmr,68,Morning person,30,43,42,26,42,23,madame-avocado,43
jul,178,blue,cat,"Honest, Determined, Reliable",2022,usmr,50,Morning person,33,41,42,15,47,26,Agirl,90
mar,177,brown,cat,NA,2022,usmr,78,Morning person,27,35,38,37,27,19,NA,85
oct,155,brown,cat,"Random, forgetful, honest",2022,usmr,100,Evening person,28,40,33,13,25,18,Nebula,79
apr,181,hazel,cat,"awkward, adventurous, curious",2022,usmr,60,Morning person,32,38,28,20,36,25,Cauliflowerbrain,90
jan,172,blue,dog,NA,2022,usmr,60,Evening person,43,40,40,10,34,17,Albert,25
nov,153,blue,cat,NA,2022,usmr,75,Morning person,29,43,30,20,38,16,NA,10
jun,173,hazel,dog,NA,2022,usmr,60,Evening person,36,33,20,13,NA,14,Vincent Noone,30
apr,174,blue,dog,NA,2022,usmr,20,Evening person,39,42,37,22,36,14,NA,25
