birthmonth,ampm,height,phone_unlocks,caffeine,caffeine_type,eyecolour,catdog,sleeprating,procrastination,multitasking,threewords,course,year
feb,Morning person,170.18,NA,2,coffee,blue,dog,75,80,85,"confident, friendly, outgoing",usmr,2024
may,Evening person,165,27,2,coffee,blue,cat,30,60,40,accepting curious stressed,usmr,2024
jan,Evening person,182,214,3,energy drinks,brown,cat,75,75,80,"Nerdy, Aloof, Friendly",usmr,2024
apr,Evening person,164,33,1,other,green,cat,35,80,75,"travel, fun, peace",usmr,2024
mar,Evening person,161,85,2,coffee,brown,cat,30,20,80,"cats, travel, love",usmr,2024
apr,Evening person,173.5,NA,2,coffee,brown,cat,78,45,50,3 isn't enough,usmr,2024
nov,Evening person,163,185,1,coffee,brown,dog,60,90,23,"Ambitious, Intelligent, Compassionate",usmr,2024
aug,Evening person,158,151,0.1,coffee,brown,cat,90,50,40,"Extroverted, easygoing, adventurous",usmr,2024
aug,Evening person,167,107,1,tea,brown,dog,90,65,75,curious quiche enjoyer,usmr,2024
nov,Morning person,180,NA,1,tea,blue,cat,80,30,30,"curious, empathetic, cheerful",usmr,2024
oct,Morning person,157.5,208,2,coffee,blue,dog,8,90,90,"Organized, friendly, passionate",usmr,2024
mar,Morning person,179,NA,2,coffee,blue,dog,75,75,75,NA,usmr,2024
jun,Morning person,172,20,1,tea,brown,cat,80,70,80,"determination, relentless, chill",usmr,2024
nov,Evening person,154,NA,1,coffee,brown,cat,70,50,50,NA,usmr,2024
feb,Evening person,NA,73,1,tea,brown,cat,48,4,32,"tired, anxious, determined",usmr,2024
may,Evening person,158,15,1,coffee,brown,cat,75,50,60,"Creative, Reserved, Adaptable",usmr,2024
jun,Evening person,167,186,2,coffee,brown,cat,65,25,75,"Tenacious, stubborn, funny",usmr,2024
jun,Morning person,171,NA,2,coffee,blue,cat,70,20,30,"curious, excitable, anxious",usmr,2024
jun,Evening person,152,NA,2,coffee,brown,dog,70,25,70,"cheerful, quiet, unique",usmr,2024
dec,Evening person,176,138,2,coffee,green,cat,50,60,85,"funny, ambitious, curious",usmr,2024
apr,Morning person,165,106,2,tea,blue,dog,90,85,80,"Friendly, Organised, Hard-Working",usmr,2024
oct,Evening person,155.7528,185,3,coffee,blue,cat,65,40,70,"Confusing, fun, inquisitive",usmr,2024
apr,Evening person,164,159,1,coffee,green,cat,40,40,90,"Sociable, adventurous, curious",usmr,2024
jan,Morning person,157,NA,1,coffee,brown,dog,75,75,40,"kind, sweet and hard working",usmr,2024
sep,Evening person,161.5,NA,1,coffee,brown,cat,67,1,50,"lazy, cold, hungry",usmr,2024
nov,Evening person,157.48,187,1,coffee,green,cat,75,60,75,"ambitious, thoughtful, anxious",usmr,2024
jun,Evening person,164,74,0,i don't drink caffeine,brown,dog,95,20,60,"chatty, stylish, funny",usmr,2024
jul,Morning person,168,219,0,i don't drink caffeine,green,dog,65,60,25,"Kind, funny, loyal",usmr,2024
dec,Morning person,146,124,2,coffee,brown,dog,80,70,70,"chill, beer, and extra-small",usmr,2024
nov,Evening person,186,NA,0,i don't drink caffeine,brown,dog,50,80,50,resourceful responsible strong,usmr,2024
dec,Evening person,180,94,2,coffee,brown,dog,90,40,90,"kind, emotional, fair",usmr,2024
mar,Morning person,172,73,1,coffee,brown,dog,86,42,76,Relaxed Rational Observant,usmr,2024
nov,Morning person,172,7.5,0,i don't drink caffeine,brown,dog,90,10,70,"peaceful, resilient, high self-demand",usmr,2024
aug,Evening person,177.8,90,2,tea,brown,dog,56,20,70,"Perseverant, awkward, attentive",usmr,2024
apr,Morning person,161,8,0,coffee,brown,cat,90,70,40,introverted interesting energetic,usmr,2024
dec,Morning person,171,222,3,coffee,green,cat,88,20,10,"enthusiastic, sensitive, funny",usmr,2024
mar,Evening person,180,175,3,energy drinks,blue,dog,80,50,90,"Extroverted, optimistic, friendly!",usmr,2024
aug,Evening person,163,44,1,tea,brown,cat,45,55,60,"weird, passionate, calm",usmr,2024
feb,Evening person,155,NA,2,soft drinks (e.g. cola),brown,cat,70,50,80,Assertive Responsible Friendly,usmr,2024
oct,Evening person,160,30,0,i don't drink caffeine,brown,dog,80,50,30,"Responsible, neat, careful",usmr,2024
mar,Evening person,177,10,1,energy drinks,brown,NA,90,50,50,Kind interesting Introvert,usmr,2024
apr,Morning person,173,137,1,coffee,blue,dog,90,50,80,"curious, sleepy, silly",usmr,2024
mar,Morning person,172,NA,1,coffee,brown,dog,90,20,85,"elegant, calm, introvert",usmr,2024
nov,Evening person,184,100,1,coffee,brown,cat,90,90,70,warm friendly rational,usmr,2024
apr,Evening person,157.8,NA,1,tea,hazel,dog,80,15,68,"Lazy, funny, caring",usmr,2024
nov,Evening person,170,70,0,soft drinks (e.g. cola),brown,cat,70,30,70,Can't drink milk,usmr,2024
dec,Evening person,160,30,1,soft drinks (e.g. cola),brown,cat,65,0,65,"GOOD,NOT BAD",usmr,2024
oct,Morning person,159,50,0,i don't drink caffeine,brown,cat,70,80,50,"Fun, shy, amusing",usmr,2024
aug,Morning person,164,15,1,tea,brown,dog,90,50,60,NA,usmr,2024
dec,Evening person,165,66,2,tea,brown,dog,90,10,39,NA,usmr,2024
jun,Evening person,NA,NA,1,energy drinks,brown,cat,3,3,5,introversion  intuition thinking,usmr,2024
sep,Morning person,162,30,3,tea,blue,dog,70,70,40,NA,usmr,2024
sep,Evening person,178,NA,0,coffee,brown,dog,49,68,88,"Excited, Eager, Motivated",usmr,2024
jun,Morning person,160,NA,1,tea,brown,dog,80,55,70,"sushilover, workaholic, diver",usmr,2024
may,Evening person,175,NA,1,tea,blue,dog,75,68,83,"funny, smart, anxious",usmr,2024
feb,Evening person,167.64,116,4,coffee,brown,dog,45,25,50,"Quiet, indecisive, patient",usmr,2024
aug,Morning person,183,NA,1,coffee,blue,dog,80,50,75,"calm, adventurous, observant",usmr,2024
jul,Evening person,165,7,0,soft drinks (e.g. cola),brown,dog,65,25,30,"attentive, anxious, organised",usmr,2024
may,Evening person,192,110,2,energy drinks,blue,cat,65,20,15,imaginative energetic sensitive,usmr,2024
apr,Evening person,166,25,2,soft drinks (e.g. cola),other,dog,75,20,70,"easy-going,curious,happy",usmr,2024
feb,Evening person,151,89,0,tea,blue,cat,70,60,40,"talkative, sweet, friendly",usmr,2024
jan,Evening person,163,223,1,coffee,brown,cat,68,18,52,"cute, anxious, boring",usmr,2024
