birthmonth,height,eyecolour,catdog,threewords,year,course,in_uk,gender,optimism,spirituality,ampm,sleeprating,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,phone_unlocks,caffeine,caffeine_type,procrastination,multitasking
may,154,brown,cat,Short Passiote Compassiote,2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
sep,158,brown,cat,"creative, curious, neat",2020,usmr,,,,,,,,,,,,,,,,,
jun,158,brown,cat,"creative, reflexive, chill",2020,usmr,UK,,,,,,,,,,,,,,,,
jun,158,other,cat,smart diligent lazy,2020,usmr,,,,,,,,,,,,,,,,,
mar,159,brown,cat,"introvert, smart, honest",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
jan,160,brown,cat,"passioted, diligent, kind",2020,usmr,,,,,,,,,,,,,,,,,
apr,162,brown,cat,"Intense, eloquent, curious",2020,usmr,,,,,,,,,,,,,,,,,
jan,163,brown,cat,"Stubborn, ambitious and prudent",2020,usmr,UK,,,,,,,,,,,,,,,,
mar,163,blue,cat,,2020,usmr,UK,,,,,,,,,,,,,,,,
dec,163,brown,cat,nerdy independent friendly,2020,usmr,,,,,,,,,,,,,,,,,
jan,165,hazel,cat,"Strong, silly, open",2020,usmr,UK,,,,,,,,,,,,,,,,
apr,166,blue,cat,"Kind, Open-minded, Curious",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
dec,166,brown,cat,"Curious, emotiol, annoying",2020,usmr,,,,,,,,,,,,,,,,,
jun,167,hazel,cat,"optimistic, persistent, innovative",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
nov,167,brown,cat,,2020,usmr,,,,,,,,,,,,,,,,,
sep,167,brown,cat,"friendly, shy, gentle",2020,usmr,,,,,,,,,,,,,,,,,
sep,168,brown,cat,"athletic, responsible, curious",2020,usmr,,,,,,,,,,,,,,,,,
apr,168,brown,cat,human optimism psychology,2020,usmr,,,,,,,,,,,,,,,,,
oct,172,green,cat,Crazy but ambitious,2020,usmr,UK,,,,,,,,,,,,,,,,
aug,174,brown,cat,,2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
dec,174,brown,cat,"nice, kind, listening",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
oct,177,blue,cat,"friendly, observant, nerdy",2020,usmr,UK,,,,,,,,,,,,,,,,
jul,177,green,cat,"Open, Sincere, Curious",2020,usmr,UK,,,,,,,,,,,,,,,,
nov,178,blue,cat,"curious, distractible, funny",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
aug,185.5,brown,cat,"aggressive, independent, amiable",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
feb,188,blue,cat,"fortute, adventurous, thoughtful",2020,usmr,UK,,,,,,,,,,,,,,,,
aug,149,blue,dog,"Awkward, smart, funny.",2020,usmr,UK,,,,,,,,,,,,,,,,
jul,154,brown,dog,"Curious, Calm, Adventurous",2020,usmr,,,,,,,,,,,,,,,,,
aug,157,blue,dog,"Conscientious, Enthusiastic, Patient",2020,usmr,UK,,,,,,,,,,,,,,,,
nov,157,green,dog,Short and sweet,2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
jun,157,brown,dog,"Motivated, lazy, hard-working",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
mar,158,brown,dog,,2020,usmr,,,,,,,,,,,,,,,,,
apr,160,brown,dog,quiet deep thinker,2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
apr,160,hazel,dog,"Adventurous, Curious, Gregarious",2020,usmr,UK,,,,,,,,,,,,,,,,
nov,160,brown,dog,unrestrained diverisitied humurous,2020,usmr,UK,,,,,,,,,,,,,,,,
oct,161,brown,dog,"Caring, funny, thinker",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
apr,162,brown,dog,"Optimistic, Emotiol, Hardworking",2020,usmr,Elsewhere,,,,,,,,,,,,,,,,
nov,163,brown,dog,,2020,usmr,,,,,,,,,,,,,,,,,
sep,163,other,dog,,2020,usmr,,,,,,,,,,,,,,,,,
jul,164,brown,dog,"Curious, observant and nervous",2020,usmr,UK,,,,,,,,,,,,,,,,
aug,164,brown,dog,"Curious, Creative, Carer",2020,usmr,,,,,,,,,,,,,,,,,
jul,165,brown,dog,"warm, reliable, open-minded",2020,usmr,,,,,,,,,,,,,,,,,
feb,165,brown,dog,"confident, indepent, curious",2020,usmr,,,,,,,,,,,,,,,,,
jun,165,green,dog,"Bubbly, Charismatic, Fun",2020,usmr,UK,,,,,,,,,,,,,,,,
oct,165,blue,dog,"curious, passiote, collaborative",2020,usmr,,,,,,,,,,,,,,,,,
oct,165,blue,dog,"curious, passiote, collaborative",2020,usmr,UK,,,,,,,,,,,,,,,,
may,166,brown,dog,"dedicated, resourceful, friendly",2020,usmr,,,,,,,,,,,,,,,,,
may,166,blue,dog,"language-nerd, plant-lover, dancer",2020,usmr,UK,,,,,,,,,,,,,,,,
feb,166,blue,dog,,2020,usmr,UK,,,,,,,,,,,,,,,,
jul,167.64,brown,dog,"Quirky, Pensive, Argumentative",2020,usmr,,,,,,,,,,,,,,,,,
aug,168,brown,dog,always always sleepy,2020,usmr,UK,,,,,,,,,,,,,,,,
jul,169,hazel,dog,,2020,usmr,UK,,,,,,,,,,,,,,,,
