species,mass_brain,age
Rhesus monkey,0.449,5
Human,0.577,2
Potar monkey,0.349,30
Human,0.626,27
Potar monkey,0.316,31
Rhesus monkey,0.398,11
Potar monkey,0.228,34
Potar monkey,0.14900000000000002,30
Human,0.644,21
Rhesus monkey,0.45,13
Human,0.6040000000000001,9
Human,0.511,13
Potar monkey,0.43200000000000005,9
Rhesus monkey,0.45,33
Potar monkey,0.167,24
Rhesus monkey,0.623,11
Rhesus monkey,0.48000000000000004,20
Potar monkey,0.083,25
Human,0.6719999999999999,24
Potar monkey,0.17600000000000002,3
Human,0.7270000000000001,17
Potar monkey,0.266,19
Rhesus monkey,0.48900000000000005,17
Potar monkey,0.41500000000000004,14
Human,0.5760000000000001,28
Potar monkey,0.11800000000000001,27
Rhesus monkey,0.47800000000000004,25
Human,0.651,9
Rhesus monkey,0.15000000000000002,19
Rhesus monkey,0.534,4
Human,0.5469999999999999,15
Human,0.65,15
Human,0.649,11
Human,0.497,29
Human,0.507,5
