anonymity,asgroup,candybars
identifiable,alone,7
anonymous,alone,11
anonymous,alone,11
identifiable,alone,8
anonymous,alone,10
anonymous,alone,9
identifiable,group,7
identifiable,alone,8
anonymous,group,14
anonymous,alone,12
identifiable,alone,9
identifiable,alone,8
anonymous,alone,11
anonymous,alone,9
anonymous,alone,9
identifiable,alone,8
anonymous,alone,10
identifiable,alone,8
identifiable,group,8
identifiable,group,9
identifiable,alone,9
anonymous,group,14
identifiable,alone,8
identifiable,alone,8
identifiable,group,9
identifiable,alone,6
anonymous,group,14
anonymous,alone,10
anonymous,alone,9
identifiable,alone,9
identifiable,alone,8
anonymous,alone,10
anonymous,group,14
identifiable,group,7
identifiable,alone,7
identifiable,group,8
identifiable,group,7
identifiable,alone,7
identifiable,alone,7
identifiable,group,7
identifiable,alone,9
identifiable,alone,9
anonymous,group,11
identifiable,group,7
anonymous,alone,10
anonymous,alone,9
anonymous,alone,10
identifiable,alone,9
identifiable,alone,8
anonymous,group,13
identifiable,group,6
identifiable,group,6
anonymous,group,14
anonymous,group,15
identifiable,alone,8
anonymous,group,15
anonymous,group,15
anonymous,alone,10
anonymous,alone,10
anonymous,alone,11
