pid,name,condition,credibility
ppt_1,John,text-only,33.21503029518635
ppt_2,Wisaam,text-only,59.34221823270028
ppt_3,Charlene,text-only,63.63114016267738
ppt_4,Andrew,text-only,65.32676157237312
ppt_5,Jensen,text-only,54.28092295640453
ppt_6,Nicholas,text-only,62.95500462607083
ppt_7,Deion,text-only,63.407306415761155
ppt_8,Pamela,text-only,68.70573512779274
ppt_9,Jessica,text-only,60.77339501885199
ppt_10,Timothy,text-only,70.3446629553972
ppt_11,Yolanda,text-only,69.58908652473815
ppt_12,Danielle,text-only,64.46872909014955
ppt_13,Jason,text-only,50.56788578753765
ppt_14,Mariah,text-only,77.21437445757518
ppt_15,Talon,text-only,69.8723029632982
ppt_16,Desmond,text-only,45.532157824549124
ppt_17,Alexandra,text-only,71.02581079968144
ppt_18,Aaish,text-only,73.39606370300278
ppt_19,Muhjar,text-only,54.8136794312332
ppt_20,Taylor,text-only,54.21394218832482
ppt_21,Michaeli,text-only,45.69583681216907
ppt_22,Ghaaliba,text-only,66.33747003821594
ppt_23,Jayde,text-only,59.09741288809324
ppt_24,Oscar,text-only,77.52395487039985
ppt_25,Juan,text-only,52.03245788499385
ppt_26,Isaac,text-only,39.25918419754257
ppt_27,Mumina,text-only,50.65518666922334
ppt_28,Camille,text-only,76.99978793261438
ppt_29,Bryan,text-only,64.21526886593671
ppt_30,Alice,text-only,37.55529650676279
ppt_31,Marlyssa,text-only,54.278400526648156
ppt_32,Celina,text-only,74.32139629077298
ppt_33,Adamina,text-only,39.24514144846634
ppt_34,Thomas,text-only,38.13566443161887
ppt_35,Andy,text-only,51.40626081524602
ppt_36,Shaylynn,text-only,72.95684202363428
ppt_37,Rameika,text-only,51.396225262506896
ppt_38,Devin,text-only,71.14305353957859
ppt_39,Frank,text-only,66.19024017606009
ppt_40,Haneef,text-only,65.38520594007223
ppt_41,Makayla,text+brain,58.16596584315029
ppt_42,Jonathan,text+brain,63.78375410568711
ppt_43,John,text+brain,76.80952493867292
ppt_44,Andrew,text+brain,68.41473052989005
ppt_45,James,text+brain,64.1076930975991
ppt_46,Alawi,text+brain,67.50351779755343
ppt_47,Andrew,text+brain,73.81328815442598
ppt_48,Shakoora,text+brain,91.35404797848122
ppt_49,Michael,text+brain,51.252308057648
ppt_50,Khaalid,text+brain,67.36209970811518
