partner_time,relationship_qual,wellbeing
11.74,74,33.388191325224476
7.86,74,23.707415262192505
2.26,72,14.136772559787651
11.03,72,29.631863145396387
2.38,55,15.445291266931005
11.06,54,23.238408968252507
7.08,69,21.774358970865848
9.91,54,19.179608686396698
11.65,42,18.73361264734899
4.08,51,14.551792705778219
1.63,45,13.035545810437547
5.56,71,18.60635836529713
2.43,61,14.888224924234454
4.37,67,17.941561702577665
5.49,48,15.302758952262948
6.72,57,18.875919798509226
6.89,63,19.53696468621992
9.48,54,17.231427415179162
7,52,17.95624895153021
2.84,61,15.068718170899839
9.77,54,18.36679645799789
10.03,72,28.869665622461724
7.05,59,19.885449657109707
3.77,56,16.382833619896786
6.5,61,20.436271572320212
12.1,66,29.31322314258245
6.35,66,21.634765451727695
3.51,76,18.995146573050764
8.34,57,19.935586768541228
6.88,59,18.123916014646205
9.39,64,24.42931825896147
8.8,75,28.894831819601045
9.12,72,25.274703593987148
1.64,58,13.875737559895557
10.53,70,29.210317151762094
8.64,46,17.35322037805387
8.08,42,17.269192183900955
1.96,80,13.027302519589252
8.14,69,23.604031374618653
10.18,62,22.5900928350434
12.24,56,27.791517318822798
9.09,64,24.06622111035065
8.12,56,20.862063721626594
5.35,56,17.990864261696593
6.14,71,22.39665574774605
5.85,51,15.503794148171117
10.59,60,25.62050485466291
6.61,60,18.91832379446793
6.21,48,17.136671248743983
7.42,65,20.893316061288836
5.89,62,16.435637904186027
0.4,43,12.620151458492032
7.04,54,19.900141136372113
5.01,54,16.13236992533724
5.27,61,17.910706678276103
11.31,68,29.31936929695523
5.33,63,18.149721901894445
6.49,73,22.16247928390646
9.82,38,14.864786796352048
3.56,39,11.621256479580332
