age,anx,strategy,hr
40,0.21,1,62.4
41,-0.57,1,56.8
47,-3.18,0,51.2
23,0.08,2,50.1
43,-0.68,1,51
36,-0.9,0,57.7
51,0.75,3,61.7
38,-1.22,1,52.9
40,0.07,2,55.2
42,0.44,3,54.3
38,-1.36,1,50.2
52,1.09,3,59.6
23,-0.74,0,51.6
55,1.11,3,60.1
24,0.18,2,48.1
49,-0.87,0,56.8
55,-1.5,0,60.4
39,-1.33,0,50
23,1.13,2,53.5
32,-1.3,1,51.3
39,-0.81,1,58.6
23,-0.71,0,51.1
27,0.08,2,54
31,-0.46,2,46.5
28,0.73,3,51.5
27,-1.27,0,48
39,-1.18,1,55.8
44,-1.18,1,53.1
49,-1.4,0,51.9
34,-0.11,2,51.3
36,-0.44,1,53
25,-0.62,1,49
32,0.01,1,51.6
38,0.2,2,53.3
63,0.76,1,68.8
42,0.33,1,56.6
52,0.21,3,52
31,1.93,3,52.9
53,1.1,3,57.7
57,1.54,3,63.3
47,0.62,2,57.8
58,0.08,1,68.6
41,1.5,3,52
40,1.38,3,56.7
24,1.09,3,50.4
55,0.94,3,57.5
41,0.47,2,53.4
58,1.2,3,63.6
63,-0.2,3,51.6
23,0.65,3,47.4
24,0.24,2,50.6
36,0.1,2,52.6
37,0.18,1,51.9
30,-0.59,1,53
60,-0.32,1,64.4
26,0.85,3,45.9
42,-1.08,0,51.7
55,-0.73,1,57.6
53,-0.43,1,60.6
41,-1.02,5,53.3
34,1.78,3,54.3
50,0.36,3,55.3
46,-1.64,0,54.7
34,-0.91,1,47.7
50,-1.87,0,51.8
49,2.32,3,58
40,-0.5,1,51.4
48,-0.89,1,59.1
31,0.42,2,54.5
26,-1.86,1,50.6
47,-2.1,0,55.6
35,1.41,3,48.8
41,0.76,3,51.4
48,0.37,3,57.6
53,0.85,2,60.6
57,1.36,3,63.3
39,-1.29,1,49.3
43,-2.87,0,50.2
42,-0.78,0,56.5
35,1.25,2,55
60,0.84,3,60.5
50,-1.75,0,53.5
61,1.23,3,61.1
37,0.45,3,48.8
26,-1.45,0,53.8
24,-0.74,1,48.5
48,-1.34,0,53.7
43,1.13,1,62.9
55,-2.38,0,54.5
50,0.16,1,59.9
23,1.2,3,49.8
40,-0.56,1,52.5
64,-0.4,1,63.5
64,-0.17,1,60.7
58,-0.63,0,62
62,-1.33,0,54.9
54,0.7,1,56.7
25,0.14,1,52.5
47,-0.43,0,60.8
28,0.37,1,53.4
50,0.28,2,53.3
38,-0.29,3,55.7
42,-1.21,1,51.2
47,-0.53,0,55.1
26,-0.97,0,45.4
63,1.17,2,60.9
27,1.53,3,51.9
22,0.43,1,50.1
52,-0.12,0,61.2
27,0.64,2,50.5
48,0.08,1,59.7
23,0.21,1,53.9
53,1.25,3,57.6
49,0.12,2,61
35,-0.6,1,52.4
36,0.2,2,52
34,0.41,2,53.3
39,-0.1,1,62.1
29,-0.22,2,49.6
42,-1.26,0,57.2
29,0.1,3,48.5
55,-0.42,1,58.5
56,0.49,2,56.1
42,-0.15,0,59.5
56,-0.24,2,54.3
54,1.6,3,63.3
47,-0.31,3,52.4
27,-1.16,0,50.8
39,1.17,3,58.8
29,-1.34,0,49.3
35,0.24,3,52.2
22,1.64,3,49.5
46,-0.05,2,54.1
29,1.26,3,52.9
58,-0.08,2,64.3
51,-0.42,1,56.2
40,0.28,1,58.9
44,-0.36,1,49.8
47,0.36,2,52
44,0.77,2,57.3
62,0.73,2,60.5
31,-0.35,2,48.2
