rt,caff
482.1944026495936,yes
389.31111232407886,yes
483.90461147811186,no
600.9972614315014,no
409.3201806579664,yes
367.81898697860856,no
447.37156978556703,yes
413.1694199017366,no
358.87905842644875,no
576.6801219053488,no
510.90713351486886,no
659.1524859673184,yes
416.29820134934783,yes
331.1560936765497,no
609.4228166695074,yes
413.82865789937983,yes
578.1036000961337,no
313.64218343690936,yes
474.12289996678146,no
394.1076596567247,no
366.2458763402189,no
182.62968102977402,yes
383.6923922595362,yes
421.1516942534546,no
398.9011576744125,yes
531.2064213903757,yes
414.91811955747943,yes
413.48954615729247,yes
677.7862178637178,yes
594.9280195728069,yes
609.2930865905424,no
341.54949735285595,no
574.4339105698751,yes
300.35066154105255,yes
417.5669966874863,yes
477.9733590999995,yes
443.722592168184,no
508.1406518002169,yes
266.23200183277584,no
405.5608635031782,no
524.1242007991607,yes
436.560784277013,yes
354.921574708013,no
397.5682565930146,no
468.8367003080814,no
394.56832007974674,yes
530.5677055735875,yes
391.12285931741934,yes
433.64837340477953,no
539.7808081929103,yes
348.29084382553776,no
383.31310237986884,no
269.8228434877625,no
655.2086159425564,yes
540.1408095156573,yes
401.85215882368846,no
597.7317132755701,yes
341.03951297382235,yes
588.1573173387796,yes
415.03644690629693,no
730.9768514970298,yes
463.9666256445942,no
544.2144171164332,yes
518.6085835903486,yes
603.4148399632757,yes
397.22603209862956,no
370.49447665668936,yes
315.9620987554718,no
280.4067817595139,no
299.94081604424036,yes
337.61758698918567,no
386.8226996937052,yes
379.62384581571246,yes
504.35103265119227,yes
268.6760177127012,no
358.1272407965009,yes
476.435276099282,no
575.6443146328153,yes
556.0711141223011,yes
275.83274538645617,yes
363.46456456890724,yes
435.2465248651289,yes
471.01471405332427,no
500.67893366818436,yes
532.0636633293352,yes
386.16128323485225,yes
411.58164968877173,yes
357.8394188510884,no
325.13710461652937,no
491.2655246031804,yes
466.3872749705841,no
360.56330848392344,yes
524.5743009656503,yes
374.4952366468996,yes
433.8123919001707,no
560.4373116267129,yes
418.8624777524181,yes
310.6455937387211,no
481.73596540555405,yes
384.1030536414427,yes
