id,wpm
ppt_1,307
ppt_2,265
ppt_3,205
ppt_4,300
ppt_5,207
ppt_6,300
ppt_7,257
ppt_8,287
ppt_9,306
ppt_10,225
ppt_11,198
ppt_12,241
ppt_13,207
ppt_14,228
ppt_15,240
ppt_16,253
ppt_17,255
ppt_18,283
ppt_19,256
ppt_20,211
ppt_21,286
ppt_22,289
ppt_23,257
ppt_24,221
ppt_25,251
ppt_26,311
ppt_27,249
ppt_28,219
ppt_29,271
ppt_30,255
ppt_31,282
ppt_32,276
ppt_33,279
ppt_34,199
ppt_35,294
ppt_36,274
ppt_37,268
ppt_38,202
ppt_39,268
ppt_40,290
ppt_41,313
ppt_42,279
ppt_43,268
ppt_44,239
ppt_45,247
ppt_46,244
ppt_47,295
ppt_48,252
ppt_49,248
ppt_50,261
