col,p_h,sulphates,volatile_acidity,residual_sugar,citric_acid,alcohol,quality
red,3.51,0.56,0.7,1.9,0,9.4,5
red,3.2,0.68,0.88,2.6,0,9.8,5
red,3.26,0.65,0.76,2.3,0.04,9.8,5
red,3.16,0.58,0.28,1.9,0.56,9.8,6
red,3.51,0.56,0.7,1.9,0,9.4,5
red,3.51,0.56,0.66,1.8,0,9.4,5
red,3.3,0.46,0.6,1.6,0.06,9.4,5
red,3.39,0.47,0.65,1.2,0,10,7
red,3.36,0.57,0.58,2,0.02,9.5,7
red,3.35,0.8,0.5,6.1,0.36,10.5,5
red,3.28,0.54,0.58,1.8,0.08,9.2,5
red,3.35,0.8,0.5,6.1,0.36,10.5,5
red,3.58,0.52,0.615,1.6,0,9.9,5
red,3.26,1.56,0.61,1.6,0.29,9.1,5
red,3.16,0.88,0.62,3.8,0.18,9.2,5
red,3.17,0.93,0.62,3.9,0.19,9.2,5
red,3.3,0.75,0.28,1.8,0.56,10.5,7
red,3.11,1.28,0.56,1.7,0.28,9.3,5
red,3.38,0.5,0.59,4.4,0.08,9,4
red,3.04,1.08,0.32,1.8,0.51,9.2,6
red,3.39,0.53,0.22,1.8,0.48,9.4,6
red,3.52,0.65,0.39,2.3,0.31,9.7,5
red,3.17,0.91,0.43,1.6,0.21,9.5,5
red,3.17,0.53,0.49,2.3,0.11,9.4,5
red,3.43,0.63,0.4,2.4,0.14,9.7,6
red,3.34,0.56,0.39,1.4,0.16,9.3,5
red,3.28,0.59,0.41,1.8,0.24,9.5,5
red,3.17,0.91,0.43,1.6,0.21,9.5,5
red,3.47,0.55,0.71,1.9,0,9.4,5
red,3.38,0.59,0.645,2,0,9.8,6
red,3.35,0.54,0.675,2.4,0.07,10.1,5
red,3.46,0.57,0.685,2.5,0,10.6,6
red,3.17,0.66,0.655,2.3,0.12,9.8,5
red,3.45,0.52,0.605,10.7,0.12,9.4,6
red,3.38,0.55,0.32,1.8,0.25,9.2,5
red,3.4,0.55,0.645,5.5,0,9.6,6
red,3.42,0.6,0.6,2.4,0.14,10.8,6
red,3.23,0.73,0.38,2.1,0.28,9.7,7
red,3.5,0.48,1.13,1.5,0.09,9.8,4
red,3.33,0.83,0.45,5.9,0.36,10.5,5
red,3.33,0.83,0.45,5.9,0.36,10.5,5
red,3.26,0.51,0.61,2.8,0.3,9.3,4
red,3.21,0.9,0.49,2.6,0.2,10.5,6
red,3.3,1.2,0.66,2.2,0.22,10.3,5
red,3.48,0.52,0.67,1.8,0.02,9.5,5
red,3.9,0.56,0.52,2.1,0.15,13.1,4
red,3.25,0.73,0.935,2.2,0.43,9.2,5
red,3.25,0.58,0.29,1.6,0.52,9.5,5
red,3.34,0.56,0.4,1.6,0.23,9.2,5
red,3.32,0.58,0.31,1.4,0.37,9.2,5
red,3.15,0.74,0.66,1.7,0.26,9.2,5
red,3.4,0.63,0.52,2.2,0.04,9.4,6
red,3.39,0.64,0.5,2.1,0.04,9.4,6
red,3.2,0.56,0.38,3,0.36,9.4,5
red,3.17,0.63,0.51,2.8,0.15,10.2,6
red,3.34,0.53,0.62,3.8,0.04,9.5,5
red,3.04,0.63,0.42,3.4,0.57,9.6,5
red,3.26,0.77,0.63,5.1,0.12,9.4,5
red,3.43,0.59,0.59,2.3,0.18,10,5
red,3.41,0.54,0.39,2.4,0.31,9.4,6
red,3.44,0.64,0.4,2.2,0.4,9.2,5
red,3.21,0.71,0.69,1.8,0.49,9.3,5
red,3.38,0.62,0.52,1.9,0.16,9.5,7
red,3.39,0.57,0.735,2,0.05,9.8,5
red,3.41,0.39,0.725,4.65,0.05,10.9,5
red,3.41,0.39,0.725,4.65,0.05,10.9,5
red,3.42,0.58,0.52,1.5,0.11,9.6,5
red,3.44,0.58,0.705,1.6,0.07,10.7,5
red,3.28,0.79,0.32,2,0.57,10.7,5
red,3.34,0.95,0.705,1.9,0.05,10.5,6
red,3.32,0.54,0.63,1.9,0.08,9.5,6
red,3.32,0.48,0.67,2.1,0.23,9.5,5
red,3.31,0.48,0.69,1.9,0.22,9.5,5
red,3.31,0.53,0.675,2.1,0.26,9.2,4
red,3.28,0.82,0.32,2.5,0.54,9.6,5
red,3.54,0.66,0.41,2.2,0.64,10.5,5
red,3.54,0.66,0.41,2.2,0.64,10.5,5
red,3.52,0.55,0.785,2.4,0,10.7,6
red,3.38,0.52,0.75,2,0.12,10.1,5
red,3.16,1.12,0.625,1.5,0.2,9.1,4
red,3.41,0.56,0.45,1.6,0.2,9.2,5
red,3.13,1.28,0.43,1.9,0.7,9.4,5
red,3.36,0.57,0.5,2,0.47,9.1,5
red,3.16,1.14,0.67,1.8,0.26,9.4,5
red,3.44,0.78,0.3,1.8,0.48,10.3,6
red,3.41,0.59,0.55,2.2,0.15,10.1,5
red,2.93,1.95,0.49,1.9,0.28,9.9,6
red,3.39,0.64,0.49,1.9,0.26,9.6,5
red,3.14,1.22,0.39,2.1,0.44,9.5,5
red,3.48,0.53,0.62,1.8,0.08,9,5
red,3.23,0.54,0.52,1.9,0.26,9.5,5
red,2.93,1.95,0.49,1.9,0.28,9.9,6
red,2.93,1.98,0.49,2,0.29,9.8,5
red,3.39,0.64,0.49,1.9,0.26,9.6,5
red,3.75,0.48,1.02,1.4,0.04,10.5,4
red,3.85,0.6,0.6,2.3,0.17,12.9,6
red,3.45,0.56,0.775,3,0,10.7,5
red,3.25,0.63,0.5,2,0.25,9.2,5
red,3.39,0.56,0.9,2.5,0.06,9.8,5
red,3.3,0.59,0.545,1.9,0.18,9,6
red,3.4,0.61,0.61,2.1,0.3,10.2,6
red,3.31,0.56,0.5,1.9,0.3,10.4,6
red,3.3,0.59,0.545,1.9,0.18,9,6
red,3.29,0.51,0.575,2.1,0.22,9.2,5
red,3.33,0.48,0.49,2.2,0.24,9.4,5
red,3.29,0.51,0.575,2.1,0.22,9.2,5
red,3.08,1.31,0.41,1.7,0.68,9.3,5
red,3.46,0.79,0.63,1.7,0.31,9.3,5
red,3.37,0.8,0.33,2.5,0.53,9.6,6
red,3.21,0.69,0.785,2,0.52,9.3,5
red,3.19,0.93,0.56,1.8,0.19,9.5,5
red,3.15,0.66,0.62,2.2,0.09,9.8,5
red,3.15,0.66,0.6,2.2,0.1,9.8,5
red,3.32,0.67,0.31,2.3,0.44,9.7,6
red,3.19,0.93,0.56,1.8,0.19,9.5,5
red,3.07,0.63,0.4,2.2,0.31,10.5,6
red,3.39,0.61,0.54,1.9,0.28,10,6
red,3.37,0.5,0.56,2,0.12,9.4,6
red,3.21,0.6,0.55,2.2,0.04,10.9,6
red,3.34,0.54,0.69,1.8,0.08,9.2,6
red,3.3,0.57,1.07,1.7,0.09,9,5
red,3.21,0.6,0.55,2.2,0.04,10.9,6
red,3.49,0.52,0.695,2.5,0,9.2,5
red,3.44,0.53,0.71,2.6,0,9.5,5
red,3.39,0.48,0.5,1.6,0.17,9.5,5
red,3.16,0.7,0.62,1.9,0.04,9.4,5
red,3.53,0.49,1.33,1.7,0,10.9,5
red,3.54,0.48,1.33,1.8,0,10.9,5
red,3.42,0.92,0.59,1.8,0.16,10.5,7
red,3.42,0.57,0.38,1.8,0.15,9.4,5
red,3.24,0.66,0.745,2,0.56,9.4,5
red,3.63,0.63,0.5,2.3,0.09,13,5
red,3.63,0.63,0.5,2.3,0.09,13,5
red,3.4,0.58,0.5,1.5,0.01,9.8,6
red,3.22,0.55,1.04,2.2,0.05,9.9,6
red,3.19,0.82,0.745,1.9,0.11,9.6,5
red,3.23,0.77,0.715,1.8,0.15,9.5,5
red,3.48,0.64,0.415,2,0.36,9.2,5
red,3.33,0.54,0.56,2.1,0.19,9.5,5
red,3.32,0.54,0.56,2,0.19,9.5,5
red,3.19,0.82,0.745,1.9,0.11,9.6,5
red,3.23,0.77,0.715,1.8,0.15,9.5,5
red,3.68,0.79,0.34,1.8,0,14,6
red,3.34,0.58,0.39,1.7,0.08,9.4,5
red,3.68,0.79,0.34,1.8,0,14,6
red,3.17,0.62,0.67,1.8,0.55,9.4,5
red,3.54,0.52,0.68,1.8,0.02,10,5
red,3.11,0.8,0.49,1.6,0.26,9.3,5
red,3.42,0.58,0.49,2.3,0.1,10.2,6
red,3.53,0.61,0.4,2.8,0.44,10.5,6
red,3.33,0.53,0.33,2.1,0.47,10.3,6
red,2.74,2,0.52,3.4,1,9.4,4
red,3.35,0.54,0.6,1.8,0.03,10.1,5
red,3.35,0.54,0.6,1.8,0.03,10.1,5
red,3.42,0.72,0.43,5.5,0.42,10.5,5
red,3.42,0.71,0.43,5.5,0.42,10.5,5
red,3.42,0.72,0.43,5.5,0.42,10.5,5
red,3.42,0.71,0.43,5.5,0.42,10.5,5
red,3.48,0.5,0.68,2.2,0,9.3,5
red,3.59,0.57,0.6,1.9,0.18,9.3,6
red,3.2,0.56,0.95,2,0.03,9.6,5
red,3.17,1.08,0.68,1.3,0.02,9.2,4
red,3.33,0.56,0.53,1.7,0.04,10,6
red,3.37,0.49,0.6,7.3,0.26,9.4,5
red,3.37,0.49,0.59,7.2,0.26,9.4,5
red,3.19,0.62,0.63,1.7,0.48,9.5,5
red,3.34,0.52,0.64,2.1,0.1,10.2,5
red,3.37,0.48,0.55,1.6,0.03,9,4
red,3.47,0.55,0.63,2.1,0.07,10.4,6
red,3,1.59,0.705,1.8,0.24,9.5,5
red,3.36,0.33,0.885,1.8,0.03,9.1,4
red,3.29,0.61,0.42,2,0.17,9.2,6
red,3.29,0.61,0.42,2,0.17,9.2,6
red,3.42,0.57,0.62,1.9,0.05,11.5,6
red,3.33,0.47,0.38,2,0.21,9.5,5
red,3.35,0.78,0.5,1.5,0.04,9.5,5
red,3.33,0.47,0.38,2,0.21,9.5,5
red,3.58,0.61,0.52,2.3,0.42,10.5,6
red,3.48,0.56,0.805,2.5,0,9.6,5
red,3.19,0.59,0.61,2.4,0.14,9.5,5
red,3.19,0.59,0.61,2.4,0.14,9.5,5
red,3.12,1.02,0.61,2,0.49,9.3,5
red,3.44,0.52,0.73,2.5,0.02,9.3,5
red,3.54,0.58,0.61,1.8,0.2,9.3,5
red,3.52,0.58,0.62,1.9,0.21,9.3,6
red,3.26,0.53,0.31,2,0.57,9.7,5
red,3.34,0.55,0.39,2,0.48,9.2,5
red,3.39,0.49,0.705,2.6,0.1,9.7,5
red,3.2,0.55,0.5,2,0.33,9.5,5
red,3.2,0.55,0.49,1.9,0.32,9.5,5
red,3.23,0.62,0.5,2.9,0.35,9.4,5
red,3.57,0.62,0.37,1.9,0.25,9.8,6
red,3.28,0.61,0.63,3.8,0.12,9.5,5
red,3.28,0.55,0.55,2.2,0.21,9.7,5
red,3.28,0.55,0.55,2.2,0.21,9.7,5
red,3.25,0.54,0.59,2,0.33,9.4,5
red,3.46,0.59,0.58,2.4,0.3,10.2,5
red,3.11,0.97,0.3,2,0.6,10.1,6
red,3.57,0.85,0.835,1.2,0.08,13,7
red,3.51,0.43,1.09,2.1,0.06,11.4,4
red,3.22,0.82,0.32,1.4,0.47,10.3,7
red,3.04,1.03,0.37,2.1,0.48,9.3,5
red,3.36,0.79,0.5,1.5,0.11,9.5,5
red,3.34,0.55,0.42,1.6,0.35,9.2,5
red,3.34,0.56,0.43,1.6,0.36,9.2,6
red,3.2,0.77,0.3,2.6,0.74,10.8,7
red,3.2,0.77,0.3,2.6,0.74,10.8,7
red,3.29,0.53,0.57,1.8,0.31,9.3,5
red,3.22,0.67,0.44,2.7,0.28,9.4,5
red,3.31,0.88,0.3,2.1,0.58,10.5,7
red,3.3,0.86,0.53,2,0.6,12.4,6
red,3.35,0.56,0.725,2.8,0.24,10,6
red,3.21,0.67,0.44,2.1,0.64,10.2,6
red,3.3,0.43,0.57,2.2,0.26,10.1,5
red,3.24,0.71,0.735,2.4,0.08,9.8,6
red,3.34,0.76,0.49,5.6,0.49,10.5,5
red,3.14,0.57,0.625,2,0.16,11,5
red,3.36,0.55,0.725,2.2,0.22,9.1,5
red,3.39,0.54,0.49,1.9,0.19,9.7,5
red,3.3,0.6,0.53,2.4,0.33,9.5,5
red,3.34,0.59,0.34,2,0.37,9.4,6
red,3.15,0.57,0.53,2,0.26,9.4,5
red,3.42,0.6,0.61,1.5,0.04,9.5,5
red,3.28,0.6,0.645,2,0.25,10,6
red,3.31,0.57,0.635,2,0.36,10.4,4
red,3.37,0.58,0.43,2.6,0.25,10.5,6
red,3.04,1.61,0.59,2,0.5,9.5,6
red,3.39,0.63,0.82,2.6,0.14,9.8,5
red,3.37,0.58,0.43,2.6,0.25,10.5,6
red,3.46,0.5,0.52,2.6,0.25,11,5
red,3.54,0.62,0.48,1.6,0.04,12.2,7
red,3.37,0.52,0.38,1.8,0.06,9.9,6
red,3.34,0.7,0.37,2.8,0.2,9.6,6
red,3.46,0.5,0.52,2.6,0.25,11,5
red,3.32,0.55,1,2.3,0.09,9,6
red,3.37,0.58,0.63,1.9,0,9,6
red,3.37,0.58,0.63,1.9,0,9,6
red,3.37,0.58,0.645,1.9,0,9.2,6
red,3.37,0.58,0.63,1.9,0,9,6
red,3.32,0.55,1,2.3,0.09,9,6
red,3,1.09,0.635,1.7,0.37,9.3,5
red,3.14,0.71,0.38,2.1,0.56,10.9,6
red,3.08,0.49,0.58,1.8,0.1,9.8,6
red,3.07,0.84,0.21,2.2,0.44,9.2,7
red,3.07,0.84,0.21,2.2,0.44,9.2,7
red,3.61,0.96,0.66,2,0,9.9,6
red,3.38,0.52,0.68,1.9,0.07,9.5,5
red,3.2,0.45,0.6,2.3,0.17,9.3,5
red,3.35,0.48,0.53,1.7,0.06,9.8,6
red,3.61,0.96,0.66,2,0,9.9,6
red,3.22,0.78,0.32,1.6,0.44,10,6
red,3.47,0.7,0.6,1.8,0,9.9,6
red,3.17,0.53,0.35,3.1,0.48,10.5,5
red,3.23,0.59,0.775,1.9,0.42,9.5,5
red,3.47,0.7,0.6,1.8,0,9.9,6
red,3.26,0.57,0.57,3.2,0.23,9.3,5
red,3.22,0.62,0.34,2.2,0.37,9.2,5
red,3.49,0.67,0.695,2.1,0,9.2,5
red,3.06,1.26,0.41,1.8,0.76,9.4,5
red,3.36,0.8,0.31,2.6,0.47,10.5,7
red,3.29,0.65,0.33,1.7,0.23,9.3,5
red,3.35,0.6,0.975,2,0.04,9.4,4
red,3.34,0.57,0.52,1.7,0.03,10,5
red,3.28,0.67,0.37,1.8,0.23,9.3,5
red,3.08,0.87,0.56,2.4,0.49,10.9,5
red,3.2,0.72,0.26,1.8,0.52,10.2,7
red,3.6,0.72,0.87,3.3,0,9.8,4
red,3.35,0.86,0.35,3.6,0.46,12.8,8
red,3.69,0.91,0.54,3,0.04,9.4,6
red,3.28,0.97,0.18,4,0.51,10.1,6
red,3.36,0.67,0.545,4,0.06,10.7,6
red,3.28,0.97,0.18,4,0.51,10.1,6
red,3.22,0.78,0.37,4,0.58,10.1,5
red,3.31,0.64,0.715,2.4,0.2,9.4,5
red,3.38,0.77,0.65,7,0.18,9.4,5
red,3.36,0.67,0.545,4,0.06,10.7,6
red,3.69,0.91,0.54,3,0.04,9.4,6
red,3.28,0.97,0.18,4,0.51,10.1,6
red,3.23,0.82,0.32,6.4,0.45,12.6,8
red,3.38,0.77,0.4,5.6,0.32,10.5,7
red,3.12,0.82,0.26,3.6,0.44,9.3,6
red,3.25,1.08,0.27,3.5,0.68,9.9,7
red,3.36,0.57,0.52,3,0.12,9.1,5
red,3.38,0.77,0.4,5.6,0.32,10.5,7
red,3.31,0.71,0.59,3.4,0.07,9.8,5
red,3.31,0.71,0.59,3.4,0.07,9.8,5
red,3.1,0.76,0.45,2,0.55,10.3,6
red,3.37,0.7,0.4,3,0.12,10.3,6
red,3.34,0.86,0.52,2.5,0.09,10.6,7
red,3.2,0.95,0.42,3.3,0.53,9.2,5
red,3.34,0.86,0.52,2.5,0.09,10.6,7
red,3.3,0.71,0.2,2,0.48,10.5,5
red,3.22,0.64,0.55,2.7,0.23,10.3,6
red,3.41,0.6,0.36,2.4,0.25,10.1,6
red,3.05,0.81,0.34,3.2,0.52,9.5,6
red,3.05,0.64,0.5,2.5,0.46,9.5,5
red,3.16,0.52,0.83,2.6,0.37,9.9,5
red,3.67,0.73,0.63,2,0.06,9.6,5
red,3.67,0.8,0.65,2.3,0.02,9.7,5
red,3.68,0.71,0.67,2.1,0.06,9.6,5
red,3.38,0.59,0.53,2.6,0.06,10.7,6
red,3.22,0.64,0.18,1.5,0.48,10.1,6
red,3.51,0.72,0.705,2.6,0.12,10,5
red,3.39,0.54,0.67,1.6,0.12,9.5,5
red,3.2,0.52,0.65,2.1,0.6,9.2,5
red,3.12,0.59,0.53,2.5,0.48,9.3,6
red,3.36,0.52,0.62,2.2,0.32,9.4,5
red,3.19,0.62,0.41,2.4,0.42,9.5,6
red,3.19,0.63,0.43,2.4,0.44,9.5,6
red,3.41,0.53,0.29,1.7,0.38,9.5,6
red,3.12,0.59,0.53,2.5,0.48,9.3,6
red,3.27,0.54,0.53,2,0.24,9.4,6
red,3.32,0.63,0.46,2.8,0.31,9.5,6
red,3.3,0.53,0.47,3,0.3,9.4,5
red,3.39,0.68,0.36,2.6,0.29,11,5
red,3.42,0.65,0.35,2.5,0.29,11,6
red,3.3,0.65,0.56,3.4,0.23,10.1,5
red,3.3,0.64,0.77,2.9,0.12,10.4,6
red,3.37,0.71,0.66,3.2,0.39,11.5,7
red,3.3,0.64,0.77,2.9,0.12,10.4,6
