"religiosity","hlc","intention"
2.4,3,69
3,3,64
3,4.2,59
3.6,2.6,79
1.2,2,64
1.2,2.6,74
4.2,4.2,79
1.8,0.4,59
3.6,4.2,74
1.2,2,59
2.4,3.6,59
3.6,2.6,54
4.2,3.6,88
2.4,3.6,69
2.4,1.4,59
0.6,2.6,54
1.8,4.2,64
1.2,2,59
1.2,2.6,59
2.4,4.6,69
2.4,3,74
4.2,4.6,69
3.6,3.6,59
1.2,2,59
2.4,3,74
1.8,4.2,79
3,2,59
2.4,2.6,59
2.4,3.6,64
3,4.6,74
1.8,3,83
2.4,3.6,74
1.2,2,69
1.2,2.6,69
1.2,2.6,69
3,3.6,74
3,2.6,69
1.8,1,39
1.8,2,59
1.8,2.6,74
2.4,2.6,64
1.2,1.4,49
2.4,2,59
2.4,3,54
2.4,3,59
2.4,3.6,74
3.6,2.6,59
1.8,2,54
3.6,3.6,59
1.2,2,64
3,3.6,64
3,3.6,74
4.2,2.6,69
1.8,4.2,74
2.4,2,59
-1,2.6,69
1.8,5.2,88
2.4,1.4,49
4.6,5.8,79
1.2,2,69
2.4,3.6,64
3.6,4.6,83
1.2,2,54
3,3,64
3,3,54
3,3,64
1.2,3.6,59
1.2,3,74
2.4,2.6,64
2.4,2.6,59
3,3.6,64
1.2,3,54
1.8,1.4,54
1.2,2,59
3,3.6,88
1.8,3,59
3.6,3,69
1.8,1.4,59
3.6,3.6,74
3.6,4.2,74
2.4,3,59
1.2,1.4,44
3,4.2,79
2.4,3.6,64
1.8,3.6,69
2.4,2,54
3.6,4.6,64
4.2,3.6,83
3.6,4.6,79
4.2,4.2,79
0.6,3,69
3,3.6,64
3.6,4.6,59
3,2,69
2.4,4.2,64
1.8,1.4,49
3.6,2.6,44
3,2.6,64
0.2,1.4,44
1.8,2.6,64
