"ID","Unengaged","Onlooking","Person engagement","Object engagement","Supported joint engagement","Coordinated joint engagement"
2,NA,20,NA,43,52,8
3,35,51,27,35,20,14
4,5,16,13,12,80,150
5,NA,22,9,9,105,112
6,36,43,3,35,135,40
7,12,23,5,32,153,41
8,44,NA,NA,19,33,72
9,18,34,9,29,97,79
10,9,28,22,5,102,99
11,3,17,25,12,127,89
12,25,5,3,36,104,101
13,52,17,6,38,124,51
14,30,32,NA,4,95,117
15,5,22,6,28,87,35
16,11,33,NA,42,104,77
17,8,27,8,28,103,100
18,20,6,65,4,163,23
19,NA,41,NA,42,162,35
20,NA,26,10,17,105,109
21,NA,3,NA,6,198,71
22,20,36,5,3,44,47
23,3,24,NA,52,108,81
24,NA,15,4,19,93,145
25,5,50,19,33,102,80
26,12,13,20,4,174,57
27,34,3,NA,50,99,96
28,NA,17,20,34,103,100
29,14,23,20,115,156,137
30,1,13,3,37,109,102
31,1,23,6,13,84,150
32,17,3,37,4,129,113
33,21,15,8,12,21,106
34,NA,44,6,21,109,93
35,4,26,17,8,75,145
36,41,5,5,21,77,140
37,NA,49,36,128,131,116
38,5,27,6,32,94,100
39,NA,16,31,11,119,101
40,14,30,NA,8,92,133
41,16,38,12,18,90,87
42,NA,29,5,14,120,101
43,NA,11,23,4,83,76
44,NA,13,NA,4,126,125
45,2,34,7,27,110,84
46,NA,55,NA,90,111,176
47,7,3,NA,19,102,154
48,17,54,13,4,126,72
49,50,42,59,12,87,184
50,NA,NA,82,58,23,71
51,16,3,82,NA,21,34
52,NA,36,3,18,136,68
53,31,9,33,12,91,93
54,6,33,NA,36,93,108
55,8,3,4,10,83,171
56,19,41,NA,38,110,96
57,1,7,20,23,179,55
58,15,23,5,11,79,144
59,NA,19,24,7,101,130
60,48,85,6,14,91,56
61,7,19,NA,11,110,127
62,39,24,8,9,123,85
63,15,18,NA,4,138,110
64,14,19,5,5,127,101
65,NA,3,11,16,152,96
66,NA,3,10,17,83,167
67,16,60,15,6,39,47
68,NA,28,17,39,87,112
69,29,31,3,8,101,100
70,NA,93,NA,86,81,182
71,15,51,24,6,138,50
72,NA,19,10,16,24,103
73,18,18,NA,19,19,109
74,NA,19,NA,14,115,133
75,11,21,28,11,110,89
76,4,14,NA,7,97,151
77,21,32,18,11,106,90
78,NA,8,NA,63,110,95
79,20,25,NA,4,106,124
80,1,20,9,23,106,112
81,25,27,NA,4,93,121
82,8,3,NA,68,141,211
83,NA,13,NA,58,120,93
84,4,21,NA,13,132,105
85,1,3,NA,31,159,68
86,6,30,NA,15,111,114
87,6,23,21,16,175,31
88,NA,17,NA,10,99,162
89,8,18,34,20,45,47
90,20,43,10,7,10,47
91,6,12,7,29,97,116
92,14,14,13,12,125,93
93,15,47,NA,4,175,76
94,28,12,24,35,101,86
95,8,8,6,10,52,40
96,4,5,NA,9,110,138
97,5,44,NA,15,95,90
98,5,26,NA,22,147,74
99,5,35,24,4,119,99
100,22,19,26,21,113,62
101,26,3,20,22,218,162
102,NA,3,14,11,97,122
103,4,24,7,21,83,140
104,40,8,14,NA,NA,112
105,26,92,35,71,103,55
106,9,NA,47,NA,130,74
107,15,18,NA,47,102,76
108,NA,26,6,22,139,86
109,23,15,51,30,117,43
110,15,19,23,24,103,88
111,16,15,4,24,96,86
112,5,22,NA,25,100,122
113,NA,15,21,40,138,40
114,7,32,6,7,98,120
115,13,52,NA,18,95,100
116,NA,8,3,NA,81,124
117,15,70,11,66,78,170
118,15,11,18,29,38,42
119,20,48,NA,4,135,111
120,17,21,NA,4,86,34
121,27,67,NA,13,100,70
122,22,32,NA,6,35,67
123,22,32,NA,6,35,67
124,47,12,NA,4,130,83
125,30,40,32,74,101,142
126,NA,26,NA,19,95,134
127,29,60,6,10,82,74
128,26,30,9,10,81,124
129,3,22,28,10,101,102
130,27,36,NA,24,133,53
131,16,14,11,40,114,107
132,23,46,22,84,111,131
133,NA,13,NA,43,110,112
134,22,34,15,7,79,143
135,NA,31,3,91,100,222
136,NA,22,NA,12,98,137
137,NA,22,NA,12,98,137
138,31,29,NA,20,102,80
139,6,25,NA,22,137,86
140,5,37,NA,46,147,223
141,NA,3,NA,4,196,85
142,33,23,2,15,152,33
143,5,3,13,4,97,147
144,23,21,23,52,45,34
145,NA,3,NA,15,131,109
146,29,39,NA,25,101,73
147,9,28,NA,32,131,67
148,NA,2,NA,6,64,35
149,5,25,NA,34,103,62
150,28,66,6,16,26,28
151,15,3,NA,27,100,130
152,NA,17,NA,31,91,137
153,21,51,6,15,103,81
154,37,101,NA,26,157,109
155,84,54,63,67,139,65
156,42,27,NA,39,101,43
157,8,53,NA,34,123,82
158,NA,75,NA,75,102,187
NA,NA,NA,NA,NA,NA,NA
NA,19,9.33333333333333,29,32,50,60.6666666666667
NA,20.6639783197718,9.29157324317757,45.9673797382448,15.556349186104,28.0535202782111,69.9237680144122
NA,1.64916500779332,0.741548274145031,3.66859628824359,1.24153182556282,2.23891465971867,5.5805242164859
NA,NA,3,NA,21,21,8
NA,41,20,82,43,77,140
