"participant","iq","age","test1","test2"
"ppt_1",71,27,46,50
"ppt_2",103,38,42,29
"ppt_3",74,20,50,77
"ppt_4",108,46,50,62
"ppt_5",118,45,60,29
"ppt_6",129,33,45,45
"ppt_7",103,49,42,41
"ppt_8",120,27,63,33
"ppt_9",96,37,53,44
"ppt_10",80,26,53,21
"ppt_11",99,43,47,69
"ppt_12",86,24,31,65
"ppt_13",88,30,49,45
"ppt_14",107,40,58,66
"ppt_15",77,37,35,26
"ppt_16",117,37,39,60
"ppt_17",108,26,49,63
"ppt_18",110,20,46,72
"ppt_19",96,41,52,56
"ppt_20",103,50,53,54
"ppt_21",105,26,54,43
"ppt_22",113,37,30,56
"ppt_23",104,42,49,61
"ppt_24",92,71,48,71
"ppt_25",84,42,53,43
"ppt_26",122,23,62,65
"ppt_27",86,37,47,56
"ppt_28",115,47,45,39
"ppt_29",137,41,47,73
"ppt_30",87,48,46,73
"ppt_31",101,47,44,47
"ppt_32",97,45,41,43
"ppt_33",81,41,47,64
"ppt_34",93,26,54,56
"ppt_35",81,38,45,45
"ppt_36",85,30,44,25
"ppt_37",132,23,58,62
"ppt_38",92,34,52,36
"ppt_39",127,43,43,77
"ppt_40",128,20,40,50
"ppt_41",97,46,47,54
"ppt_42",112,45,40,64
"ppt_43",82,44,39,55
"ppt_44",100,40,51,62
"ppt_45",97,44,57,24
"ppt_46",92,35,49,62
"ppt_47",92,36,48,55
"ppt_48",111,47,59,70
"ppt_49",105,25,45,62
"ppt_50",108,40,46,64
"ppt_51",109,44,44,55
"ppt_52",81,48,37,62
"ppt_53",113,41,51,46
"ppt_54",104,33,55,40
"ppt_55",113,37,39,40
"ppt_56",90,47,50,50
"ppt_57",120,30,48,2
"ppt_58",104,26,38,39
"ppt_59",97,40,47,39
"ppt_60",113,28,48,29
"ppt_61",91,23,51,42
"ppt_62",105,44,44,44
"ppt_63",106,39,50,68
"ppt_64",71,42,48,66
"ppt_65",87,27,35,33
"ppt_66",67,20,54,62
"ppt_67",115,48,39,24
"ppt_68",58,33,51,62
"ppt_69",107,47,54,43
"ppt_70",102,31,49,62
"ppt_71",116,36,57,61
"ppt_72",98,30,66,57
"ppt_73",77,36,36,67
"ppt_74",74,24,50,41
"ppt_75",96,27,48,39
"ppt_76",99,28,49,43
"ppt_77",108,28,40,61
"ppt_78",111,33,49,48
"ppt_79",99,36,45,42
"ppt_80",106,39,55,41
"ppt_81",109,32,50,53
"ppt_82",85,35,51,54
"ppt_83",108,39,48,50
"ppt_84",123,50,57,49
"ppt_85",97,39,49,45
"ppt_86",110,45,49,48
"ppt_87",105,44,51,72
"ppt_88",97,23,61,63
"ppt_89",108,21,52,54
"ppt_90",110,21,57,44
"ppt_91",98,31,50,33
"ppt_92",88,43,53,53
"ppt_93",73,25,43,48
"ppt_94",122,30,67,26
"ppt_95",76,45,54,46
"ppt_96",92,41,63,58
"ppt_97",83,35,61,42
"ppt_98",95,45,51,56
"ppt_99",105,49,63,52
"ppt_100",90,36,56,50
"ppt_101",99,43,53,47
"ppt_102",80,48,58,60
"ppt_103",100,49,57,80
"ppt_104",73,33,37,63
"ppt_105",102,21,47,64
"ppt_106",103,24,46,56
"ppt_107",85,45,50,79
"ppt_108",107,43,62,35
"ppt_109",68,38,46,63
"ppt_110",110,48,51,57
"ppt_111",102,20,60,36
"ppt_112",100,48,54,44
"ppt_113",110,38,46,33
"ppt_114",103,49,48,38
"ppt_115",85,42,50,38
"ppt_116",120,32,52,47
"ppt_117",76,28,57,64
"ppt_118",97,37,43,32
"ppt_119",131,43,51,70
"ppt_120",107,34,46,75
