ID,Assessment,Condition,Wellbeing
101,0,4day_week,44
101,1,4day_week,39
101,2,4day_week,34
101,3,4day_week,46
102,0,4day_week,32
102,1,4day_week,45
102,2,4day_week,42
102,3,4day_week,50
103,0,4day_week,44
103,1,4day_week,35
103,2,4day_week,34
103,3,4day_week,40
104,0,4day_week,33
104,1,4day_week,39
104,2,4day_week,47
104,3,4day_week,54
105,0,4day_week,37
105,1,4day_week,42
105,2,4day_week,43
105,3,4day_week,40
106,0,4day_week,43
106,1,4day_week,44
106,2,4day_week,36
106,3,4day_week,34
107,0,4day_week,38
107,1,4day_week,48
107,2,4day_week,46
107,3,4day_week,43
108,0,4day_week,41
108,1,4day_week,39
108,2,4day_week,46
108,3,4day_week,51
109,0,4day_week,40
109,1,4day_week,33
109,2,4day_week,47
109,3,4day_week,49
110,0,4day_week,38
110,1,4day_week,32
110,2,4day_week,44
110,3,4day_week,46
111,0,4day_week,46
111,1,4day_week,46
111,2,4day_week,49
111,3,4day_week,47
112,0,4day_week,36
112,1,4day_week,39
112,2,4day_week,50
112,3,4day_week,47
113,0,4day_week,37
113,1,4day_week,41
113,2,4day_week,38
113,3,4day_week,33
114,0,4day_week,39
114,1,4day_week,32
114,2,4day_week,32
114,3,4day_week,37
115,0,4day_week,35
115,1,4day_week,39
115,2,4day_week,50
115,3,4day_week,47
116,0,4day_week,42
116,1,4day_week,44
116,2,4day_week,46
116,3,4day_week,49
117,0,4day_week,37
117,1,4day_week,39
117,2,4day_week,47
117,3,4day_week,41
118,0,4day_week,31
118,1,4day_week,39
118,2,4day_week,39
118,3,4day_week,54
119,0,4day_week,38
119,1,4day_week,45
119,2,4day_week,38
119,3,4day_week,48
120,0,4day_week,39
120,1,4day_week,39
120,2,4day_week,43
120,3,4day_week,47
121,0,4day_week,35
121,1,4day_week,46
121,2,4day_week,44
121,3,4day_week,49
122,0,4day_week,39
122,1,4day_week,42
122,2,4day_week,45
122,3,4day_week,55
123,0,4day_week,37
123,1,4day_week,40
123,2,4day_week,42
123,3,4day_week,49
124,0,4day_week,42
124,1,4day_week,35
124,2,4day_week,39
124,3,4day_week,26
125,0,4day_week,32
125,1,4day_week,46
125,2,4day_week,45
125,3,4day_week,49
126,0,4day_week,37
126,1,4day_week,40
126,2,4day_week,40
126,3,4day_week,43
127,0,4day_week,42
127,1,4day_week,36
127,2,4day_week,40
127,3,4day_week,42
128,0,4day_week,34
128,1,4day_week,39
128,2,4day_week,36
128,3,4day_week,29
129,0,4day_week,35
129,1,4day_week,37
129,2,4day_week,40
129,3,4day_week,44
130,0,4day_week,39
130,1,4day_week,45
130,2,4day_week,38
130,3,4day_week,42
131,0,4day_week,39
131,1,4day_week,37
131,2,4day_week,48
131,3,4day_week,48
132,0,4day_week,44
132,1,4day_week,41
132,2,4day_week,40
132,3,4day_week,40
133,0,4day_week,43
133,1,4day_week,40
133,2,4day_week,46
133,3,4day_week,44
134,0,4day_week,40
134,1,4day_week,42
134,2,4day_week,43
134,3,4day_week,44
135,0,4day_week,36
135,1,4day_week,28
135,2,4day_week,38
135,3,4day_week,40
136,0,4day_week,30
136,1,4day_week,40
136,2,4day_week,41
136,3,4day_week,44
137,0,4day_week,40
137,1,4day_week,38
137,2,4day_week,46
137,3,4day_week,48
138,0,4day_week,36
138,1,4day_week,36
138,2,4day_week,40
138,3,4day_week,46
139,0,4day_week,35
139,1,4day_week,45
139,2,4day_week,48
139,3,4day_week,50
140,0,4day_week,42
140,1,4day_week,38
140,2,4day_week,42
140,3,4day_week,42
141,0,4day_week,46
141,1,4day_week,41
141,2,4day_week,44
141,3,4day_week,44
142,0,4day_week,42
142,1,4day_week,39
142,2,4day_week,47
142,3,4day_week,42
143,0,4day_week,42
143,1,4day_week,39
143,2,4day_week,38
143,3,4day_week,49
144,0,4day_week,42
144,1,4day_week,42
144,2,4day_week,46
144,3,4day_week,49
145,0,4day_week,39
145,1,4day_week,39
145,2,4day_week,40
145,3,4day_week,39
146,0,4day_week,37
146,1,4day_week,38
146,2,4day_week,40
146,3,4day_week,39
147,0,4day_week,36
147,1,4day_week,36
147,2,4day_week,44
147,3,4day_week,47
148,0,4day_week,38
148,1,4day_week,44
148,2,4day_week,48
148,3,4day_week,52
149,0,4day_week,34
149,1,4day_week,39
149,2,4day_week,48
149,3,4day_week,45
150,0,4day_week,37
150,1,4day_week,42
150,2,4day_week,50
150,3,4day_week,50
151,0,4day_week,38
151,1,4day_week,37
151,2,4day_week,45
151,3,4day_week,45
152,0,4day_week,36
152,1,4day_week,38
152,2,4day_week,43
152,3,4day_week,46
153,0,4day_week,36
153,1,4day_week,44
153,2,4day_week,46
153,3,4day_week,44
154,0,4day_week,42
154,1,4day_week,35
154,2,4day_week,35
154,3,4day_week,36
155,0,4day_week,37
155,1,4day_week,45
155,2,4day_week,46
155,3,4day_week,55
