ID,DayOfWeek
1,Thursday
2,Thursday
3,Tuesday
4,Friday
5,Friday
6,Sunday
7,Friday
8,Tuesday
9,Thursday
10,Monday
11,Wednesday
12,Sunday
13,Thursday
14,Thursday
15,Sunday
16,Sunday
17,Sunday
18,Friday
19,Friday
20,Monday
21,Thursday
22,Saturday
23,Wednesday
24,Thursday
25,Monday
26,Thursday
27,Thursday
28,Monday
29,Wednesday
30,Monday
31,Wednesday
32,Tuesday
33,Tuesday
34,Monday
35,Tuesday
36,Thursday
37,Sunday
38,Thursday
39,Wednesday
40,Wednesday
41,Thursday
42,Wednesday
43,Saturday
44,Wednesday
45,Sunday
46,Friday
47,Friday
48,Friday
49,Tuesday
50,Thursday
51,Monday
52,Tuesday
53,Tuesday
54,Tuesday
55,Thursday
56,Monday
57,Sunday
58,Monday
59,Friday
60,Wednesday
61,Saturday
62,Sunday
63,Wednesday
64,Friday
65,Saturday
66,Saturday
67,Tuesday
68,Wednesday
69,Thursday
70,Friday
71,Saturday
72,Friday
73,Tuesday
74,Monday
75,Thursday
76,Sunday
77,Thursday
78,Tuesday
79,Wednesday
80,Tuesday
81,Saturday
82,Sunday
83,Monday
84,Tuesday
85,Saturday
86,Saturday
87,Tuesday
88,Sunday
89,Tuesday
90,Wednesday
91,Friday
92,Sunday
93,Thursday
94,Sunday
95,Saturday
96,Sunday
97,Wednesday
98,Saturday
99,Sunday
100,Sunday
101,Wednesday
102,Wednesday
103,Friday
104,Tuesday
105,Sunday
106,Sunday
107,Monday
108,Tuesday
109,Saturday
110,Monday
111,Sunday
112,Sunday
113,Friday
114,Tuesday
115,Saturday
116,Saturday
117,Wednesday
118,Friday
119,Tuesday
120,Thursday
121,Monday
122,Friday
123,Thursday
124,Thursday
125,Monday
126,Tuesday
127,Tuesday
128,Sunday
129,Wednesday
130,Tuesday
131,Wednesday
132,Saturday
133,Monday
134,Sunday
135,Sunday
136,Thursday
137,Tuesday
138,Wednesday
139,Friday
140,Thursday
141,Monday
142,Tuesday
143,Tuesday
144,Wednesday
145,Sunday
146,Wednesday
147,Friday
